timestamp_utc,event_type,job_id,stage,env_id,regime,method,seed,run_label,git_commit,config_hash,run_dir,final_eval_mean,final_eval_std,best_eval_mean,best_eval_step,runtime,horizon_path,bucket_path,outcome,notes
2026-04-25T19:30:00+00:00,bootstrap,1179,quadruped_clean,quadruped-run,clean,no_rhs,15,parity_300k_vec8_s15,unknown,unknown,/home/goncalo/git/horizonsearch/tdmpc2-jax/outputs/quadruped-run_no_rhs_smoke_parity_300k_vec8_s15,924.65,16.91,924.65,300000,01:15:58,,,winner,Fixed-horizon h=3 clean no-RHS baseline.
2026-04-25T20:00:00+00:00,bootstrap,1181,quadruped_chaos,quadruped-run,chaos,no_rhs,15,parity_300k_vec8_s15_chaos,unknown,unknown,/home/goncalo/git/horizonsearch/tdmpc2-jax/outputs/quadruped-run_chaos_no_rhs_parity_300k_vec8_s15_chaos,683.0,,683.0,,unknown,,,baseline,Chaos no-RHS reference from earlier campaign artifacts.
2026-04-27T21:00:00+00:00,bootstrap,1387,quadruped_clean,quadruped-run,clean,dense_rhs_sparse_hifi,15,dense_rhs_bucket_hifi_300k_vec8_s15_start20k,unknown,unknown,/home/goncalo/git/horizonsearch/tdmpc2-jax/outputs/quadruped-run_dense_rhs_clean_dense_rhs_bucket_hifi_300k_vec8_s15_start20k,915.34,24.33,915.34,300000,01:29:59,2->2->3->2->3->4,,winner,Best clean Dense-RHS so far; non-inferior to 1179 at 98 percent threshold.
2026-04-28T11:00:00+00:00,bootstrap,1600,quadruped_clean,quadruped-run,clean,dense_rhs_credible_p65_c006,15,dense_rhs_credible_hifi_300k_vec8_s15_p65_c006_start20k,unknown,unknown,/home/goncalo/git/horizonsearch/tdmpc2-jax/outputs/quadruped-run_dense_rhs_clean_dense_rhs_credible_hifi_300k_vec8_s15_p65_c006_start20k,889.66,22.17,889.66,300000,01:26:10,3->3->3->3->3->3,4,failed,Too conservative; blocked useful h=4 proposals.
2026-04-30T13:00:00+00:00,bootstrap,1618,quadruped_clean,quadruped-run,clean,dense_rhs_credible_mid_p56_c003,15,dense_rhs_credible_mid_300k_vec8_s15_p56_c003_start20k,unknown,unknown,/home/goncalo/git/horizonsearch/tdmpc2-jax/outputs/quadruped-run_dense_rhs_clean_dense_rhs_credible_mid_300k_vec8_s15_p56_c003_start20k,516.52,323.68,894.10,250000,01:38:32,3->3->4->4->4->5,4->8,failed,Late h=5 switch mapped to bucket 8 and destabilized final eval.
2026-05-01T10:15:53+00:00,launch,1644,quadruped_clean,quadruped-run,clean,dense_rhs_expected_improvement,15,dense_rhs_ei_smoke_80k_vec8_s15_risk15_c003_start20k,3f951015363345d4c34acc4a12a0c2e1f8dc3515,cda64374b41a8940,/home/goncalo/git/horizonsearch/tdmpc2-jax/outputs/quadruped-run_dense_rhs_clean_dense_rhs_ei_smoke_80k_vec8_s15_risk15_c003_start20k,,,,,,,,launched,Smoke the expected-improvement transition RFC before any full run. Requires committed/synced code; steward must refuse launch while dirty.
2026-05-01T14:29:12+00:00,completed,1644,quadruped_clean,quadruped-run,clean,dense_rhs_expected_improvement,15,dense_rhs_ei_smoke_80k_vec8_s15_risk15_c003_start20k,3f951015363345d4c34acc4a12a0c2e1f8dc3515,cda64374b41a8940,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/quadruped-run_dense_rhs_clean_dense_rhs_ei_smoke_80k_vec8_s15_risk15_c003_start20k,241.28457641601562,123.68336486816406,241.28457641601562,80000,00:39:23,3->3->3,4->4->4->4->4->4->4->4->4->4->4,ei_too_conservative,EI smoke stayed at h=3 with non-positive expected net benefit at every query; lower risk/cost should be tested before a full run.
2026-05-01T14:30:11+00:00,launch,1655,quadruped_clean,quadruped-run,clean,dense_rhs_expected_improvement,15,dense_rhs_ei_smoke_80k_vec8_s15_risk05_c002_start20k,7d199fb30df46b54286f5a8f9ad48b1560b53116,df75daf6ab3e6cd7,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/quadruped-run_dense_rhs_clean_dense_rhs_ei_smoke_80k_vec8_s15_risk05_c002_start20k,,,,,,,,launched,Auto-generated after the risk=1.5 EI smoke was too conservative. Tests a lower risk penalty and lower transition cost while preserving the same sparse HiFi query budget.
2026-05-01T15:18:52+00:00,completed,1655,quadruped_clean,quadruped-run,clean,dense_rhs_expected_improvement,15,dense_rhs_ei_smoke_80k_vec8_s15_risk05_c002_start20k,7d199fb30df46b54286f5a8f9ad48b1560b53116,df75daf6ab3e6cd7,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/quadruped-run_dense_rhs_clean_dense_rhs_ei_smoke_80k_vec8_s15_risk05_c002_start20k,286.9360656738281,150.44711303710938,286.9360656738281,80000,00:41:16,2->2->2,4->4->4->4->4->4->4->4->4->4->4,weak_smoke,"EI smoke best eval is low at `286.9360656738281`; needs a bounded parameter iteration, not a full run."
2026-05-01T15:19:24+00:00,launch,1658,quadruped_clean,quadruped-run,clean,dense_rhs_expected_improvement,15,dense_rhs_ei_smoke_80k_vec8_s15_risk10_c002_min010_start20k,61c5db6c01171304c2c9d73f52bdbb1983855a7f,7fdf2ca46adbdc43,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/quadruped-run_dense_rhs_clean_dense_rhs_ei_smoke_80k_vec8_s15_risk10_c002_min010_start20k,,,,,,,,launched,Auto-generated after the lower-risk EI smoke downshifted to h=2 and stayed weak. Tests the midpoint risk setting plus a positive expected-net threshold so switches require clearer utility evidence.
2026-05-01T16:12:26+00:00,completed,1658,quadruped_clean,quadruped-run,clean,dense_rhs_expected_improvement,15,dense_rhs_ei_smoke_80k_vec8_s15_risk10_c002_min010_start20k,61c5db6c01171304c2c9d73f52bdbb1983855a7f,7fdf2ca46adbdc43,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/quadruped-run_dense_rhs_clean_dense_rhs_ei_smoke_80k_vec8_s15_risk10_c002_min010_start20k,463.6806945800781,129.16029357910156,463.6806945800781,80000,00:43:00,3->3->3,4->4->4->4->4->4->4->4->4->4->4,weak_smoke,"EI smoke best eval is low at `463.6806945800781`; needs a bounded parameter iteration, not a full run."
2026-05-01T16:17:59+00:00,launch,1659,quadruped_clean,quadruped-run,clean,dense_rhs_sparse_hifi,15,dense_rhs_sparse_hifi_smoke_120k_vec8_s15_start20k,7a2f1fdb831160c4aac855feee0ceafe5f51a4a9,c65be80bb679181c,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/quadruped-run_dense_rhs_clean_dense_rhs_sparse_hifi_smoke_120k_vec8_s15_start20k,,,,,,,,launched,Fallback after the expected-improvement transition family produced weak 80k smokes. Re-tests the known Sparse-HiFi Dense-RHS family with a bounded 120k smoke and early-stop monitoring.
2026-05-01T17:22:26+00:00,completed,1659,quadruped_clean,quadruped-run,clean,dense_rhs_sparse_hifi,15,dense_rhs_sparse_hifi_smoke_120k_vec8_s15_start20k,7a2f1fdb831160c4aac855feee0ceafe5f51a4a9,c65be80bb679181c,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/quadruped-run_dense_rhs_clean_dense_rhs_sparse_hifi_smoke_120k_vec8_s15_start20k,640.4043579101562,58.951446533203125,640.4043579101562,120000,00:56:30,2->2,4->4->4->4->4->4->4->4->4->4->4->4->4->4,completed,Completed; no automatic classifier for this method.
2026-05-01T17:23:49+00:00,launch,1661,quadruped_chaos,quadruped-run,chaos,dense_rhs_sparse_hifi,15,dense_rhs_sparse_hifi_chaos_smoke_120k_vec8_s15_start20k,bf2b62bb45208337098d093b68d0278ba7ba5805,9d8a812d817a6f16,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/quadruped-run_dense_rhs_chaos_dense_rhs_sparse_hifi_chaos_smoke_120k_vec8_s15_start20k,,,,,,,,launched,First quadruped chaos Dense-RHS smoke after clean Sparse-HiFi recovered at 120k and clean 1387 already satisfies non-inferiority. Uses clean evaluation and chaos training.
2026-05-01T17:31:25+00:00,cancelled,1661,quadruped_chaos,quadruped-run,chaos,dense_rhs_sparse_hifi,15,dense_rhs_sparse_hifi_chaos_smoke_120k_vec8_s15_start20k,bf2b62bb45208337098d093b68d0278ba7ba5805,9d8a812d817a6f16,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/quadruped-run_dense_rhs_chaos_dense_rhs_sparse_hifi_chaos_smoke_120k_vec8_s15_start20k,,,,,00:07:22,,,postponed_clean_plus2,Chaos validation postponed until clean Dense-RHS beats the no-RHS baseline by 2%.
2026-05-01T17:34:51+00:00,launch,1662,quadruped_clean_plus2,quadruped-run,clean,dense_rhs_sparse_hifi,15,dense_rhs_plus2_sparse_hifi_margin08_300k_vec8_s15_start20k,c7ebcc476f2da8311be701b3a33ca777cc957eb9,4284e92f17e5d66c,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/quadruped-run_dense_rhs_clean_dense_rhs_plus2_sparse_hifi_margin08_300k_vec8_s15_start20k,,,,,,,,launched,Clean +2% target attempt A. Full 300k Sparse-HiFi run with stronger incumbent margin to avoid low-evidence early downshifts while preserving free adaptive horizon choice.
2026-05-01T17:35:18+00:00,launch,1663,quadruped_clean_plus2,quadruped-run,clean,dense_rhs_sparse_hifi,15,dense_rhs_plus2_sparse_hifi_start70_300k_vec8_s15,27e8b79a450f8f5ea241ef88f094adb10ff92ad1,dfd5c530f1620d73,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/quadruped-run_dense_rhs_clean_dense_rhs_plus2_sparse_hifi_start70_300k_vec8_s15,,,,,,,,launched,"Clean +2% target attempt B. Full 300k Sparse-HiFi run with moderate 70k fixed-horizon warmup, then free adaptive Dense-RHS."
