step,tag,value
0,timing/prewarm_dense_rhs_s,239.15869544586167
0,system/heartbeat,1.0
3992,episode/return,20.370649337768555
3992,episode/length,500.0
3993,episode/return,7.460683822631836
3993,episode/length,500.0
3994,episode/return,10.115187644958496
3994,episode/length,500.0
3995,episode/return,9.47007942199707
3995,episode/length,500.0
3996,episode/return,10.364070892333984
3996,episode/length,500.0
3997,episode/return,10.624218940734863
3997,episode/length,500.0
3998,episode/return,10.371207237243652
3998,episode/length,500.0
3999,episode/return,19.6968936920166
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,53.74779553152621
4000,timing/train_chunk_s,243.85004786634818
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,53.74779553152621
4000,timing/train_chunk_s,245.17442117910832
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,53.74779553152621
4000,timing/train_chunk_s,246.49867321457714
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,53.74779553152621
4000,timing/train_chunk_s,247.82241966575384
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,53.74779553152621
4000,timing/train_chunk_s,249.14796392340213
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,53.74779553152621
4000,timing/train_chunk_s,250.4730560486205
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,53.74779553152621
4000,timing/train_chunk_s,251.7988302456215
4000,system/heartbeat,1.0
7992,episode/return,68.27962493896484
7992,episode/length,500.0
7993,episode/return,52.22340774536133
7993,episode/length,500.0
7994,episode/return,57.461387634277344
7994,episode/length,500.0
7995,episode/return,42.372764587402344
7995,episode/length,500.0
7996,episode/return,56.81940460205078
7996,episode/length,500.0
7997,episode/return,60.99457931518555
7997,episode/length,500.0
7998,episode/return,65.24192810058594
7998,episode/length,500.0
7999,episode/return,59.61433029174805
7999,episode/length,500.0
