step,tag,value
3992,episode/return,20.370649337768555
3992,episode/length,500.0
3993,episode/return,7.597273349761963
3993,episode/length,500.0
3994,episode/return,9.839588165283203
3994,episode/length,500.0
3995,episode/return,9.47007942199707
3995,episode/length,500.0
3996,episode/return,14.422438621520996
3996,episode/length,500.0
3997,episode/return,10.377339363098145
3997,episode/length,500.0
3998,episode/return,10.371207237243652
3998,episode/length,500.0
3999,episode/return,19.6968936920166
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,54.467538921162486
4000,timing/train_chunk_s,240.96759202284738
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,54.467538921162486
4000,timing/train_chunk_s,242.1013328335248
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,54.467538921162486
4000,timing/train_chunk_s,243.23539716517553
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,54.467538921162486
4000,timing/train_chunk_s,244.37072544917464
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,54.467538921162486
4000,timing/train_chunk_s,245.50577893760055
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,54.467538921162486
4000,timing/train_chunk_s,246.64009594731033
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,54.467538921162486
4000,timing/train_chunk_s,247.77485587168485
4000,system/heartbeat,1.0
7992,episode/return,69.52537536621094
7992,episode/length,500.0
7993,episode/return,31.428529739379883
7993,episode/length,500.0
7994,episode/return,51.26095199584961
7994,episode/length,500.0
7995,episode/return,66.60090637207031
7995,episode/length,500.0
7996,episode/return,83.9544906616211
7996,episode/length,500.0
7997,episode/return,69.7337417602539
7997,episode/length,500.0
7998,episode/return,66.10385131835938
7998,episode/length,500.0
7999,episode/return,31.07819366455078
7999,episode/length,500.0
10000,train/consistency_loss_mean,0.0017617265824228525
10000,train/consistency_loss_std,0.0009901073456309835
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,0.6171435527324677
10000,train/grad_norm_std,0.1440829413726918
10000,train/policy_log_std_mean,-1.0085692504882813
10000,train/policy_log_std_std,0.5508494560217119
10000,train/policy_loss_mean,-1.5705585589408875
10000,train/policy_loss_std,0.7299182352215845
10000,train/reward_loss_mean,0.14469611130952836
10000,train/reward_loss_std,0.0887070454575637
10000,train/total_loss_mean,0.08133151468634606
10000,train/total_loss_std,0.032754120768692115
10000,train/value_loss_mean,0.31627372238636015
10000,train/value_loss_std,0.09222791756926449
10000,train/value_scale_mean,1.8648874496459962
10000,train/value_scale_std,1.074263173959395
10000,timing/collect_chunk_s,269.60802294360474
10000,timing/train_chunk_s,309.6729559684172
10000,dense_rhs/training_bucket_horizon,3.0
10000,system/heartbeat,1.0
11992,episode/return,128.3563232421875
11992,episode/length,500.0
11993,episode/return,76.13721466064453
11993,episode/length,500.0
11994,episode/return,49.24818801879883
11994,episode/length,500.0
11995,episode/return,92.06288146972656
11995,episode/length,500.0
11996,episode/return,60.43422317504883
11996,episode/length,500.0
11997,episode/return,57.35260009765625
11997,episode/length,500.0
11998,episode/return,138.801025390625
11998,episode/length,500.0
11999,episode/return,77.71688842773438
11999,episode/length,500.0
15992,episode/return,73.64271545410156
15992,episode/length,500.0
15993,episode/return,149.84475708007812
15993,episode/length,500.0
15994,episode/return,170.48782348632812
15994,episode/length,500.0
15995,episode/return,146.54039001464844
15995,episode/length,500.0
15996,episode/return,60.80120086669922
15996,episode/length,500.0
15997,episode/return,153.893798828125
