step,tag,value
0,timing/prewarm_dense_rhs_s,238.36039323871955
0,system/heartbeat,1.0
3992,episode/return,11.389364242553711
3992,episode/length,500.0
3993,episode/return,10.49242115020752
3993,episode/length,500.0
3994,episode/return,8.316006660461426
3994,episode/length,500.0
3995,episode/return,11.894401550292969
3995,episode/length,500.0
3996,episode/return,11.348907470703125
3996,episode/length,500.0
3997,episode/return,13.553793907165527
3997,episode/length,500.0
3998,episode/return,12.768802642822266
3998,episode/length,500.0
3999,episode/return,13.618926048278809
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,51.84979953384027
4000,timing/train_chunk_s,244.61812908295542
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,51.84979953384027
4000,timing/train_chunk_s,245.9435243490152
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,51.84979953384027
4000,timing/train_chunk_s,247.2684428030625
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,51.84979953384027
4000,timing/train_chunk_s,248.59387403121218
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,51.84979953384027
4000,timing/train_chunk_s,249.91960894688964
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,51.84979953384027
4000,timing/train_chunk_s,251.2452648645267
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,51.84979953384027
4000,timing/train_chunk_s,252.572631187737
4000,system/heartbeat,1.0
7992,episode/return,169.8644256591797
7992,episode/length,500.0
7993,episode/return,35.29226303100586
7993,episode/length,500.0
7994,episode/return,182.09402465820312
7994,episode/length,500.0
7995,episode/return,54.96753692626953
7995,episode/length,500.0
7996,episode/return,177.5319366455078
7996,episode/length,500.0
7997,episode/return,130.7419891357422
7997,episode/length,500.0
7998,episode/return,174.88067626953125
7998,episode/length,500.0
7999,episode/return,203.353271484375
7999,episode/length,500.0
10000,train/consistency_loss_mean,0.0004075258793309331
10000,train/consistency_loss_std,0.0005625724389255441
