step,tag,value
3992,episode/return,9.917376518249512
3992,episode/length,500.0
3993,episode/return,10.492218971252441
3993,episode/length,500.0
3994,episode/return,6.96135139465332
3994,episode/length,500.0
3995,episode/return,11.894401550292969
3995,episode/length,500.0
3996,episode/return,11.843733787536621
3996,episode/length,500.0
3997,episode/return,15.469069480895996
3997,episode/length,500.0
3998,episode/return,10.825143814086914
3998,episode/length,500.0
3999,episode/return,13.660767555236816
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,51.726119712460786
4000,timing/train_chunk_s,238.39039603993297
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,51.726119712460786
4000,timing/train_chunk_s,239.51895162230358
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,51.726119712460786
4000,timing/train_chunk_s,240.64657370653003
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,51.726119712460786
4000,timing/train_chunk_s,241.77625671308488
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,51.726119712460786
4000,timing/train_chunk_s,242.90615266701207
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,51.726119712460786
4000,timing/train_chunk_s,244.03800644678995
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,51.726119712460786
4000,timing/train_chunk_s,245.1712796180509
4000,system/heartbeat,1.0
7992,episode/return,155.91160583496094
7992,episode/length,500.0
7993,episode/return,185.96290588378906
7993,episode/length,500.0
7994,episode/return,140.2609405517578
7994,episode/length,500.0
7995,episode/return,180.88584899902344
7995,episode/length,500.0
7996,episode/return,135.82022094726562
7996,episode/length,500.0
7997,episode/return,181.2027130126953
7997,episode/length,500.0
7998,episode/return,153.31121826171875
7998,episode/length,500.0
7999,episode/return,196.90086364746094
7999,episode/length,500.0
10000,train/consistency_loss_mean,0.0003975983686512336
10000,train/consistency_loss_std,0.0005660579599152324
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,0.2717166826725006
10000,train/grad_norm_std,0.081977964865877
10000,train/policy_log_std_mean,-0.88891702931722
10000,train/policy_log_std_std,0.4892089139508537
10000,train/policy_loss_mean,-1.7143013724803924
10000,train/policy_loss_std,0.7463167336038832
10000,train/reward_loss_mean,0.15224875375032426
10000,train/reward_loss_std,0.0924976184856211
10000,train/total_loss_mean,0.051005185213685036
10000,train/total_loss_std,0.026307377575892636
10000,train/value_loss_mean,0.2782834146976471
10000,train/value_loss_std,0.08733065549902048
10000,train/value_scale_mean,2.2395866851806643
10000,train/value_scale_std,1.598034687685274
10000,timing/collect_chunk_s,233.56448410684243
10000,timing/train_chunk_s,305.7882389705628
10000,dense_rhs/training_bucket_horizon,3.0
10000,system/heartbeat,1.0
11992,episode/return,37.177886962890625
11992,episode/length,500.0
11993,episode/return,352.424560546875
11993,episode/length,500.0
11994,episode/return,258.8484802246094
11994,episode/length,500.0
11995,episode/return,210.6147918701172
11995,episode/length,500.0
11996,episode/return,314.982666015625
11996,episode/length,500.0
11997,episode/return,336.07977294921875
11997,episode/length,500.0
11998,episode/return,147.29205322265625
11998,episode/length,500.0
11999,episode/return,285.7260437011719
11999,episode/length,500.0
15992,episode/return,265.3222351074219
15992,episode/length,500.0
15993,episode/return,463.5602111816406
15993,episode/length,500.0
15994,episode/return,475.1265563964844
15994,episode/length,500.0
15995,episode/return,483.4199523925781
15995,episode/length,500.0
15996,episode/return,309.9521484375
15996,episode/length,500.0
15997,episode/return,473.0798034667969
15997,episode/length,500.0
15998,episode/return,469.28131103515625
15998,episode/length,500.0
15999,episode/return,312.9654846191406
15999,episode/length,500.0
19992,episode/return,537.3380126953125
19992,episode/length,500.0
19993,episode/return,539.65576171875
19993,episode/length,500.0
19994,episode/return,526.4973754882812
19994,episode/length,500.0
19995,episode/return,406.7411193847656
19995,episode/length,500.0
19996,episode/return,538.4050903320312
19996,episode/length,500.0
19997,episode/return,472.9556884765625
19997,episode/length,500.0
19998,episode/return,553.3709716796875
19998,episode/length,500.0
19999,episode/return,530.498046875
19999,episode/length,500.0
20000,train/consistency_loss_mean,0.00022109864335507156
20000,train/consistency_loss_std,2.3616535627418204e-05
20000,train/continue_loss_mean,0.0
20000,train/continue_loss_std,0.0
20000,train/grad_norm_mean,0.3247391047000885
20000,train/grad_norm_std,0.0861592762941079
20000,train/policy_log_std_mean,-0.6451539810816447
20000,train/policy_log_std_std,0.24728213470623606
20000,train/policy_loss_mean,-0.8813901155948639
20000,train/policy_loss_std,0.20785475406778284
20000,train/reward_loss_mean,0.2319052358150482
20000,train/reward_loss_std,0.015389430200495756
20000,train/total_loss_mean,0.05706697325408459
20000,train/total_loss_std,0.0029538912214985454
20000,train/value_loss_mean,0.29454475598335267
20000,train/value_loss_std,0.021261343338412026
20000,train/value_scale_mean,24.938851356506348
20000,train/value_scale_std,7.645696816515395
20000,timing/collect_chunk_s,68.39238606812432
20000,timing/train_chunk_s,21.49592851102352
20000,dense_rhs/training_bucket_horizon,3.0
20000,system/heartbeat,1.0
23992,episode/return,581.4083862304688
23992,episode/length,500.0
23993,episode/return,562.322998046875
23993,episode/length,500.0
23994,episode/return,297.8315124511719
23994,episode/length,500.0
23995,episode/return,274.574462890625
23995,episode/length,500.0
23996,episode/return,415.8506774902344
23996,episode/length,500.0
23997,episode/return,222.4324493408203
23997,episode/length,500.0
23998,episode/return,489.80426025390625
23998,episode/length,500.0
23999,episode/return,436.2256164550781
23999,episode/length,500.0
27992,episode/return,356.4345397949219
