step,tag,value
0,timing/prewarm_dense_rhs_s,290.09722163900733
0,system/heartbeat,1.0
3992,episode/return,31.488283157348633
3992,episode/length,500.0
3993,episode/return,512.9730224609375
3993,episode/length,500.0
3994,episode/return,512.7691650390625
3994,episode/length,500.0
3995,episode/return,511.141357421875
3995,episode/length,500.0
3996,episode/return,6.347840309143066
3996,episode/length,500.0
3997,episode/return,2.859440326690674
3997,episode/length,500.0
3998,episode/return,8.983120918273926
3998,episode/length,500.0
3999,episode/return,7.54844331741333
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,121.51698695821688
4000,timing/train_chunk_s,237.20150409359485
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,121.51698695821688
4000,timing/train_chunk_s,238.5319556510076
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,121.51698695821688
4000,timing/train_chunk_s,239.86394646484405
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,121.51698695821688
4000,timing/train_chunk_s,241.1936493795365
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,121.51698695821688
4000,timing/train_chunk_s,242.52316727815196
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,121.51698695821688
4000,timing/train_chunk_s,243.852991592139
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,121.51698695821688
4000,timing/train_chunk_s,245.182832704857
4000,system/heartbeat,1.0
7992,episode/return,511.7214660644531
7992,episode/length,500.0
7993,episode/return,513.20849609375
7993,episode/length,500.0
7994,episode/return,212.4008331298828
7994,episode/length,500.0
7995,episode/return,5.837235927581787
7995,episode/length,500.0
7996,episode/return,8.424566268920898
7996,episode/length,500.0
7997,episode/return,508.185546875
7997,episode/length,500.0
7998,episode/return,7.108713150024414
7998,episode/length,500.0
7999,episode/return,10.427140235900879
7999,episode/length,500.0
10000,train/consistency_loss_mean,0.002177858405560255
10000,train/consistency_loss_std,0.0011178653088679128
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,0.3705835519075394
10000,train/grad_norm_std,0.10158788609403045
10000,train/policy_log_std_mean,-0.3415361666107178
10000,train/policy_log_std_std,0.27237002113367575
10000,train/policy_loss_mean,-1.4780235223770142
10000,train/policy_loss_std,0.6599980632044236
10000,train/reward_loss_mean,0.21349780193567275
10000,train/reward_loss_std,0.09148341278649774
10000,train/total_loss_mean,0.0991212395966053
10000,train/total_loss_std,0.03618913542171183
10000,train/value_loss_mean,0.34214291183948514
10000,train/value_loss_std,0.11092145800223947
10000,train/value_scale_mean,8.97279750366211
10000,train/value_scale_std,4.24419188005735
10000,timing/collect_chunk_s,403.4269466828555
10000,timing/train_chunk_s,299.1077263401821
10000,dense_rhs/training_bucket_horizon,4.0
10000,system/heartbeat,1.0
11992,episode/return,514.2286987304688
11992,episode/length,500.0
11993,episode/return,18.70901107788086
11993,episode/length,500.0
11994,episode/return,13.320035934448242
11994,episode/length,500.0
11995,episode/return,18.578983306884766
11995,episode/length,500.0
11996,episode/return,26.173213958740234
11996,episode/length,500.0
11997,episode/return,30.587997436523438
11997,episode/length,500.0
11998,episode/return,8.534276008605957
11998,episode/length,500.0
11999,episode/return,10.067922592163086
11999,episode/length,500.0
15992,episode/return,513.5343627929688
15992,episode/length,500.0
15993,episode/return,11.129131317138672
15993,episode/length,500.0
15994,episode/return,514.1572265625
15994,episode/length,500.0
15995,episode/return,11.395506858825684
15995,episode/length,500.0
15996,episode/return,6.449069499969482
15996,episode/length,500.0
15997,episode/return,4.8629913330078125
15997,episode/length,500.0
15998,episode/return,5.119984149932861
15998,episode/length,500.0
15999,episode/return,12.763130187988281
15999,episode/length,500.0
19992,episode/return,8.055522918701172
19992,episode/length,500.0
19993,episode/return,9.009088516235352
19993,episode/length,500.0
19994,episode/return,29.05059051513672
19994,episode/length,500.0
19995,episode/return,506.92108154296875
19995,episode/length,500.0
19996,episode/return,335.8235168457031
19996,episode/length,500.0
19997,episode/return,12.167165756225586
19997,episode/length,500.0
19998,episode/return,16.318702697753906
19998,episode/length,500.0
19999,episode/return,13.379284858703613
19999,episode/length,500.0
20000,train/consistency_loss_mean,0.003004291624948382
20000,train/consistency_loss_std,0.0002583714402384144
20000,train/continue_loss_mean,0.0
20000,train/continue_loss_std,0.0
20000,train/grad_norm_mean,0.3701857372999191
20000,train/grad_norm_std,0.0330657008608531
20000,train/policy_log_std_mean,-0.2734219854990641
20000,train/policy_log_std_std,0.18587344748704332
20000,train/policy_loss_mean,-1.153734942817688
20000,train/policy_loss_std,0.3293306557654782
20000,train/reward_loss_mean,0.19684260935783388
20000,train/reward_loss_std,0.010162474157392087
20000,train/total_loss_mean,0.111297371417284
20000,train/total_loss_std,0.006953149601833838
20000,train/value_loss_mean,0.3152727761507034
20000,train/value_loss_std,0.0745873412460644
20000,train/value_scale_mean,25.41465068359375
20000,train/value_scale_std,7.490622778215247
20000,timing/collect_chunk_s,132.19468333246186
20000,timing/train_chunk_s,25.25446075759828
20000,dense_rhs/training_bucket_horizon,4.0
20000,system/heartbeat,1.0
23992,episode/return,13.83871841430664
23992,episode/length,500.0
23993,episode/return,517.3890991210938
23993,episode/length,500.0
23994,episode/return,16.08365249633789
23994,episode/length,500.0
23995,episode/return,521.4974975585938
23995,episode/length,500.0
23996,episode/return,8.285265922546387
23996,episode/length,500.0
23997,episode/return,6.819529056549072
23997,episode/length,500.0
23998,episode/return,15.325650215148926
23998,episode/length,500.0
23999,episode/return,21.837751388549805
23999,episode/length,500.0
27992,episode/return,7.091158866882324
27992,episode/length,500.0
27993,episode/return,520.8172607421875
27993,episode/length,500.0
27994,episode/return,18.56716537475586
27994,episode/length,500.0
27995,episode/return,528.8013305664062
27995,episode/length,500.0
27996,episode/return,23.027494430541992
27996,episode/length,500.0
27997,episode/return,12.211236953735352
27997,episode/length,500.0
27998,episode/return,213.50914001464844
27998,episode/length,500.0
27999,episode/return,14.156035423278809
27999,episode/length,500.0
30000,train/consistency_loss_mean,0.0035347447672858835
30000,train/consistency_loss_std,0.00012546507817393974
30000,train/continue_loss_mean,0.0
30000,train/continue_loss_std,0.0
30000,train/grad_norm_mean,0.3297565781831741
30000,train/grad_norm_std,0.029146213602893684
30000,train/policy_log_std_mean,-0.24332701917012534
30000,train/policy_log_std_std,0.16834168099901806
30000,train/policy_loss_mean,-0.5779888381004333
30000,train/policy_loss_std,0.05770826500351793
30000,train/reward_loss_mean,0.19358215066194534
