step,tag,value
3992,episode/return,31.576068878173828
3992,episode/length,500.0
3993,episode/return,513.012451171875
3993,episode/length,500.0
3994,episode/return,512.927001953125
3994,episode/length,500.0
3995,episode/return,510.5837707519531
3995,episode/length,500.0
3996,episode/return,6.20034646987915
3996,episode/length,500.0
3997,episode/return,2.8680853843688965
3997,episode/length,500.0
3998,episode/return,8.922750473022461
3998,episode/length,500.0
3999,episode/return,7.623805999755859
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,119.92213953845203
4000,timing/train_chunk_s,232.38852080190554
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,119.92213953845203
4000,timing/train_chunk_s,233.41754020564258
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,119.92213953845203
4000,timing/train_chunk_s,234.44659597799182
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,119.92213953845203
4000,timing/train_chunk_s,235.4767078962177
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,119.92213953845203
4000,timing/train_chunk_s,236.507807970047
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,119.92213953845203
4000,timing/train_chunk_s,237.53857778850943
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,119.92213953845203
4000,timing/train_chunk_s,238.56835969071835
4000,system/heartbeat,1.0
7992,episode/return,513.0757446289062
7992,episode/length,500.0
7993,episode/return,511.68170166015625
7993,episode/length,500.0
7994,episode/return,513.0421142578125
7994,episode/length,500.0
7995,episode/return,3.6028988361358643
7995,episode/length,500.0
7996,episode/return,15.519609451293945
7996,episode/length,500.0
7997,episode/return,509.20758056640625
7997,episode/length,500.0
7998,episode/return,7.6159892082214355
7998,episode/length,500.0
7999,episode/return,12.149797439575195
7999,episode/length,500.0
10000,train/consistency_loss_mean,0.0021405261820182206
10000,train/consistency_loss_std,0.0011021185593386006
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,0.3659574876308441
10000,train/grad_norm_std,0.07102373191333208
10000,train/policy_log_std_mean,-0.31004227754275004
10000,train/policy_log_std_std,0.26983711557858825
10000,train/policy_loss_mean,-1.2755048913955689
10000,train/policy_loss_std,0.5226799465692474
10000,train/reward_loss_mean,0.2155509423136711
10000,train/reward_loss_std,0.09066641254688568
10000,train/total_loss_mean,0.09858786902427673
10000,train/total_loss_std,0.03538987542130825
10000,train/value_loss_mean,0.3422224993467331
10000,train/value_loss_std,0.11041123869218458
10000,train/value_scale_mean,9.73678293762207
10000,train/value_scale_std,3.935504620135677
10000,timing/collect_chunk_s,405.8342565763742
10000,timing/train_chunk_s,296.7148070866242
10000,dense_rhs/training_bucket_horizon,3.0
10000,system/heartbeat,1.0
11992,episode/return,507.20440673828125
11992,episode/length,500.0
11993,episode/return,10.81143856048584
11993,episode/length,500.0
11994,episode/return,12.786103248596191
11994,episode/length,500.0
11995,episode/return,12.727846145629883
11995,episode/length,500.0
11996,episode/return,83.74036407470703
11996,episode/length,500.0
11997,episode/return,23.562532424926758
11997,episode/length,500.0
11998,episode/return,4.712576866149902
11998,episode/length,500.0
11999,episode/return,8.575257301330566
11999,episode/length,500.0
15992,episode/return,518.3681640625
15992,episode/length,500.0
15993,episode/return,16.914615631103516
15993,episode/length,500.0
15994,episode/return,82.46537780761719
15994,episode/length,500.0
15995,episode/return,12.380348205566406
15995,episode/length,500.0
15996,episode/return,6.639271259307861
15996,episode/length,500.0
15997,episode/return,5.807126522064209
15997,episode/length,500.0
15998,episode/return,5.345465660095215
15998,episode/length,500.0
15999,episode/return,13.465270042419434
15999,episode/length,500.0
19992,episode/return,7.045675277709961
19992,episode/length,500.0
19993,episode/return,7.447031497955322
19993,episode/length,500.0
19994,episode/return,34.87037658691406
19994,episode/length,500.0
19995,episode/return,510.5207824707031
19995,episode/length,500.0
19996,episode/return,105.35148620605469
19996,episode/length,500.0
19997,episode/return,13.414824485778809
19997,episode/length,500.0
19998,episode/return,12.691640853881836
19998,episode/length,500.0
19999,episode/return,7.621402263641357
19999,episode/length,500.0
20000,train/consistency_loss_mean,0.0030276624768972396
20000,train/consistency_loss_std,0.00025160838455576235
20000,train/continue_loss_mean,0.0
20000,train/continue_loss_std,0.0
20000,train/grad_norm_mean,0.3683361329555511
20000,train/grad_norm_std,0.030575731593089978
20000,train/policy_log_std_mean,-0.3670350233078003
20000,train/policy_log_std_std,0.2088350552980973
20000,train/policy_loss_mean,-1.7474007076263427
20000,train/policy_loss_std,0.4013517382501728
20000,train/reward_loss_mean,0.1907112454891205
20000,train/reward_loss_std,0.011500576972212023
20000,train/total_loss_mean,0.11389728562235832
20000,train/total_loss_std,0.005254632405796068
20000,train/value_loss_mean,0.3427290980577469
20000,train/value_loss_std,0.03417630103757946
20000,train/value_scale_mean,17.643211364746094
20000,train/value_scale_std,3.735891142883102
20000,timing/collect_chunk_s,127.05771494330838
20000,timing/train_chunk_s,19.5444064559415
20000,dense_rhs/training_bucket_horizon,3.0
20000,system/heartbeat,1.0
23992,episode/return,13.35960865020752
23992,episode/length,500.0
23993,episode/return,53.512393951416016
23993,episode/length,500.0
23994,episode/return,19.42868423461914
23994,episode/length,500.0
23995,episode/return,514.6990356445312
23995,episode/length,500.0
23996,episode/return,8.383581161499023
23996,episode/length,500.0
23997,episode/return,11.7724609375
23997,episode/length,500.0
23998,episode/return,16.653385162353516
23998,episode/length,500.0
23999,episode/return,23.678457260131836
23999,episode/length,500.0
27992,episode/return,8.410615921020508
27992,episode/length,500.0
27993,episode/return,251.09288024902344
27993,episode/length,500.0
27994,episode/return,14.265499114990234
27994,episode/length,500.0
27995,episode/return,524.5361938476562
27995,episode/length,500.0
27996,episode/return,27.69254493713379
27996,episode/length,500.0
27997,episode/return,17.992794036865234
27997,episode/length,500.0
27998,episode/return,254.913818359375
27998,episode/length,500.0
27999,episode/return,10.029494285583496
27999,episode/length,500.0
30000,train/consistency_loss_mean,0.0035287070063874126
30000,train/consistency_loss_std,0.00010740927905183629
30000,train/continue_loss_mean,0.0
30000,train/continue_loss_std,0.0
30000,train/grad_norm_mean,0.33065791614055634
30000,train/grad_norm_std,0.026067997941261873
30000,train/policy_log_std_mean,-0.34742974427541096
30000,train/policy_log_std_std,0.214530305242979
30000,train/policy_loss_mean,-1.2087560227394103
30000,train/policy_loss_std,0.16726085935561594
30000,train/reward_loss_mean,0.18172348152399062
30000,train/reward_loss_std,0.0091220825818119
30000,train/total_loss_mean,0.12104005269408226
30000,train/total_loss_std,0.006226148626450654
30000,train/value_loss_mean,0.3229356146335602
30000,train/value_loss_std,0.05356294663579319
30000,train/value_scale_mean,27.72900275115967
30000,train/value_scale_std,3.56406775816247
30000,timing/collect_chunk_s,127.87231579748914
30000,timing/train_chunk_s,19.627985771279782
30000,dense_rhs/training_bucket_horizon,3.0
30000,system/heartbeat,1.0
31992,episode/return,153.0397491455078
31992,episode/length,500.0
31993,episode/return,10.85716438293457
31993,episode/length,500.0
31994,episode/return,512.6146850585938
31994,episode/length,500.0
31995,episode/return,504.0224304199219
31995,episode/length,500.0
31996,episode/return,17.134490966796875
31996,episode/length,500.0
31997,episode/return,10.482192993164062
31997,episode/length,500.0
31998,episode/return,518.5772705078125
31998,episode/length,500.0
31999,episode/return,7.108210563659668
31999,episode/length,500.0
35992,episode/return,363.55120849609375
35992,episode/length,500.0
35993,episode/return,12.698756217956543
35993,episode/length,500.0
35994,episode/return,370.9427185058594
35994,episode/length,500.0
35995,episode/return,18.029165267944336
35995,episode/length,500.0
35996,episode/return,13.883389472961426
35996,episode/length,500.0
35997,episode/return,13.5192232131958
35997,episode/length,500.0
35998,episode/return,39.50721740722656
35998,episode/length,500.0
35999,episode/return,31.944149017333984
35999,episode/length,500.0
39992,episode/return,451.90789794921875
39992,episode/length,500.0
39993,episode/return,20.84113121032715
39993,episode/length,500.0
39994,episode/return,519.7001953125
39994,episode/length,500.0
39995,episode/return,18.873437881469727
39995,episode/length,500.0
39996,episode/return,528.7782592773438
39996,episode/length,500.0
39997,episode/return,24.37609100341797
39997,episode/length,500.0
