step,tag,value
0,timing/prewarm_dense_rhs_s,289.0874998187646
0,system/heartbeat,1.0
3992,episode/return,29.721769332885742
3992,episode/length,500.0
3993,episode/return,512.21826171875
3993,episode/length,500.0
3994,episode/return,513.4743041992188
3994,episode/length,500.0
3995,episode/return,510.5533752441406
3995,episode/length,500.0
3996,episode/return,5.765721321105957
3996,episode/length,500.0
3997,episode/return,2.6919307708740234
3997,episode/length,500.0
3998,episode/return,8.434309005737305
3998,episode/length,500.0
3999,episode/return,7.318615913391113
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,117.41433587111533
4000,timing/train_chunk_s,236.87676764745265
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,117.41433587111533
4000,timing/train_chunk_s,238.13593027740717
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,117.41433587111533
4000,timing/train_chunk_s,239.3940448113717
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,117.41433587111533
4000,timing/train_chunk_s,240.66217150958255
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,117.41433587111533
4000,timing/train_chunk_s,241.91979538230225
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,117.41433587111533
4000,timing/train_chunk_s,243.1857596989721
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,117.41433587111533
4000,timing/train_chunk_s,244.44492024881765
4000,system/heartbeat,1.0
7992,episode/return,38.06584167480469
7992,episode/length,500.0
7993,episode/return,151.795166015625
7993,episode/length,500.0
7994,episode/return,160.40135192871094
7994,episode/length,500.0
7995,episode/return,8.467864036560059
7995,episode/length,500.0
7996,episode/return,14.999321937561035
7996,episode/length,500.0
7997,episode/return,180.6790313720703
7997,episode/length,500.0
7998,episode/return,10.345827102661133
7998,episode/length,500.0
7999,episode/return,18.46473503112793
7999,episode/length,500.0
10000,train/consistency_loss_mean,0.001179786484874785
10000,train/consistency_loss_std,0.0008460418766258473
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,0.19903067626953125
10000,train/grad_norm_std,0.07582042068555384
10000,train/policy_log_std_mean,-0.30975819580078123
10000,train/policy_log_std_std,0.2506018992218201
10000,train/policy_loss_mean,-1.0827909914016725
10000,train/policy_loss_std,0.5398811820862954
10000,train/reward_loss_mean,0.20418377302885055
10000,train/reward_loss_std,0.09167154964893003
10000,train/total_loss_mean,0.07732658741474152
10000,train/total_loss_std,0.03226338246089299
10000,train/value_loss_mean,0.3331247944355011
10000,train/value_loss_std,0.107135300858324
10000,train/value_scale_mean,11.152851300811768
10000,train/value_scale_std,4.052841859348029
10000,timing/collect_chunk_s,367.6501360074617
10000,timing/train_chunk_s,297.6277336603962
10000,dense_rhs/training_bucket_horizon,4.0
10000,system/heartbeat,1.0
11992,episode/return,40.9378776550293
11992,episode/length,500.0
11993,episode/return,20.38571548461914
11993,episode/length,500.0
11994,episode/return,22.209989547729492
11994,episode/length,500.0
