step,tag,value
3992,episode/return,29.793397903442383
3992,episode/length,500.0
3993,episode/return,512.7092895507812
3993,episode/length,500.0
3994,episode/return,513.646728515625
3994,episode/length,500.0
3995,episode/return,511.2447204589844
3995,episode/length,500.0
3996,episode/return,5.887063026428223
3996,episode/length,500.0
3997,episode/return,2.6318864822387695
3997,episode/length,500.0
3998,episode/return,8.628070831298828
3998,episode/length,500.0
3999,episode/return,7.312201976776123
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,118.34309378406033
4000,timing/train_chunk_s,232.23593176528811
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,118.34309378406033
4000,timing/train_chunk_s,233.25802329555154
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,118.34309378406033
4000,timing/train_chunk_s,234.27981458650902
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,118.34309378406033
4000,timing/train_chunk_s,235.30307093961164
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,118.34309378406033
4000,timing/train_chunk_s,236.3265483584255
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,118.34309378406033
4000,timing/train_chunk_s,237.35021273512393
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,118.34309378406033
4000,timing/train_chunk_s,238.37441287375987
4000,system/heartbeat,1.0
7992,episode/return,133.56419372558594
7992,episode/length,500.0
7993,episode/return,33.3507080078125
7993,episode/length,500.0
7994,episode/return,147.45635986328125
7994,episode/length,500.0
7995,episode/return,5.0909223556518555
7995,episode/length,500.0
7996,episode/return,9.969256401062012
7996,episode/length,500.0
7997,episode/return,129.06460571289062
7997,episode/length,500.0
7998,episode/return,6.5899786949157715
7998,episode/length,500.0
7999,episode/return,13.581890106201172
7999,episode/length,500.0
10000,train/consistency_loss_mean,0.00120486711114645
10000,train/consistency_loss_std,0.0008607392722950357
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,0.20467101498842238
10000,train/grad_norm_std,0.09237195416044579
10000,train/policy_log_std_mean,-0.2109502752304077
10000,train/policy_log_std_std,0.2031342585109377
10000,train/policy_loss_mean,-0.4215458637714386
10000,train/policy_loss_std,0.18781201882041584
10000,train/reward_loss_mean,0.1930693086862564
10000,train/reward_loss_std,0.09331700321893872
10000,train/total_loss_mean,0.07823842725157738
10000,train/total_loss_std,0.03292006042080369
10000,train/value_loss_mean,0.34834152941703794
10000,train/value_loss_std,0.12536004082514032
10000,train/value_scale_mean,20.896270611572266
10000,train/value_scale_std,9.201752928930176
10000,timing/collect_chunk_s,375.178811580874
10000,timing/train_chunk_s,295.62956328317523
10000,dense_rhs/training_bucket_horizon,3.0
10000,system/heartbeat,1.0
11992,episode/return,510.4972229003906
11992,episode/length,500.0
11993,episode/return,12.474872589111328
11993,episode/length,500.0
11994,episode/return,12.796738624572754
11994,episode/length,500.0
11995,episode/return,14.470953941345215
11995,episode/length,500.0
11996,episode/return,20.382862091064453
11996,episode/length,500.0
11997,episode/return,21.329011917114258
11997,episode/length,500.0
11998,episode/return,6.710023403167725
11998,episode/length,500.0
11999,episode/return,9.533920288085938
11999,episode/length,500.0
15992,episode/return,219.95565795898438
15992,episode/length,500.0
15993,episode/return,14.7933931350708
15993,episode/length,500.0
15994,episode/return,429.8923034667969
15994,episode/length,500.0
15995,episode/return,14.614435195922852
15995,episode/length,500.0
15996,episode/return,7.817967891693115
15996,episode/length,500.0
15997,episode/return,6.622622013092041
15997,episode/length,500.0
15998,episode/return,6.786438941955566
15998,episode/length,500.0
15999,episode/return,17.457725524902344
15999,episode/length,500.0
19992,episode/return,10.580302238464355
19992,episode/length,500.0
19993,episode/return,8.76791763305664
19993,episode/length,500.0
19994,episode/return,24.362539291381836
19994,episode/length,500.0
19995,episode/return,31.001428604125977
19995,episode/length,500.0
19996,episode/return,122.53996276855469
19996,episode/length,500.0
19997,episode/return,16.460107803344727
19997,episode/length,500.0
19998,episode/return,19.27508544921875
19998,episode/length,500.0
19999,episode/return,10.948628425598145
19999,episode/length,500.0
20000,train/consistency_loss_mean,0.0010629065309651197
20000,train/consistency_loss_std,0.00010380249338293721
20000,train/continue_loss_mean,0.0
20000,train/continue_loss_std,0.0
20000,train/grad_norm_mean,0.15801481129527092
20000,train/grad_norm_std,0.03013812261856266
20000,train/policy_log_std_mean,-0.21258463114102683
20000,train/policy_log_std_std,0.1565438131221555
20000,train/policy_loss_mean,-0.6013440693616867
20000,train/policy_loss_std,0.10918400021537422
20000,train/reward_loss_mean,0.16532823598384858
20000,train/reward_loss_std,0.008322277506348504
20000,train/total_loss_mean,0.06803189008235931
20000,train/total_loss_std,0.008176222225317888
20000,train/value_loss_mean,0.30240934190750124
20000,train/value_loss_std,0.07999751582681291
20000,train/value_scale_mean,37.115517013549805
20000,train/value_scale_std,4.933063824024059
20000,timing/collect_chunk_s,101.37598403403535
20000,timing/train_chunk_s,19.50065600965172
20000,dense_rhs/training_bucket_horizon,3.0
20000,system/heartbeat,1.0
23992,episode/return,19.929988861083984
23992,episode/length,500.0
23993,episode/return,520.2673950195312
23993,episode/length,500.0
23994,episode/return,24.58567237854004
23994,episode/length,500.0
23995,episode/return,519.85400390625
23995,episode/length,500.0
23996,episode/return,12.42142105102539
23996,episode/length,500.0
23997,episode/return,12.618377685546875
23997,episode/length,500.0
23998,episode/return,25.840984344482422
23998,episode/length,500.0
23999,episode/return,36.18825149536133
23999,episode/length,500.0
27992,episode/return,16.512744903564453
27992,episode/length,500.0
27993,episode/return,387.82855224609375
27993,episode/length,500.0
27994,episode/return,20.864585876464844
27994,episode/length,500.0
27995,episode/return,144.5286102294922
27995,episode/length,500.0
27996,episode/return,27.870655059814453
27996,episode/length,500.0
27997,episode/return,18.341157913208008
27997,episode/length,500.0
27998,episode/return,447.19683837890625
27998,episode/length,500.0
27999,episode/return,17.501663208007812
27999,episode/length,500.0
