step,tag,value
3992,episode/return,13.535736083984375
3992,episode/length,500.0
3993,episode/return,21.795455932617188
3993,episode/length,500.0
3994,episode/return,14.886930465698242
3994,episode/length,500.0
3995,episode/return,21.94482421875
3995,episode/length,500.0
3996,episode/return,9.216166496276855
3996,episode/length,500.0
3997,episode/return,17.794902801513672
3997,episode/length,500.0
3998,episode/return,12.10688591003418
3998,episode/length,500.0
3999,episode/return,12.837281227111816
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,54.099394384305924
4000,timing/train_chunk_s,239.57168505713344
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,54.099394384305924
4000,timing/train_chunk_s,240.70040707709268
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,54.099394384305924
4000,timing/train_chunk_s,241.8292461046949
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,54.099394384305924
4000,timing/train_chunk_s,242.95916275214404
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,54.099394384305924
4000,timing/train_chunk_s,244.0880916514434
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,54.099394384305924
4000,timing/train_chunk_s,245.21701465174556
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,54.099394384305924
4000,timing/train_chunk_s,246.34759052284062
4000,system/heartbeat,1.0
7992,episode/return,52.92923355102539
7992,episode/length,500.0
7993,episode/return,61.51670455932617
7993,episode/length,500.0
7994,episode/return,60.832862854003906
7994,episode/length,500.0
7995,episode/return,73.52526092529297
7995,episode/length,500.0
7996,episode/return,64.39972686767578
7996,episode/length,500.0
7997,episode/return,48.217811584472656
7997,episode/length,500.0
7998,episode/return,63.43218231201172
7998,episode/length,500.0
7999,episode/return,60.246585845947266
7999,episode/length,500.0
10000,train/consistency_loss_mean,0.0018193200438283384
10000,train/consistency_loss_std,0.0009750964137615732
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,0.6377812771320343
10000,train/grad_norm_std,0.13958441364618623
10000,train/policy_log_std_mean,-1.24617879931132
10000,train/policy_log_std_std,0.643059570058065
10000,train/policy_loss_mean,-2.269004638648033
10000,train/policy_loss_std,1.1352803436066674
10000,train/reward_loss_mean,0.16665460399389267
10000,train/reward_loss_std,0.08928969955536072
10000,train/total_loss_mean,0.08405183593034744
10000,train/total_loss_std,0.03240780607971731
10000,train/value_loss_mean,0.3099997309446335
10000,train/value_loss_std,0.08947895212888132
10000,train/value_scale_mean,1.1866957052230835
10000,train/value_scale_std,0.2584119463751011
10000,timing/collect_chunk_s,267.32022107439116
10000,timing/train_chunk_s,306.4729096740484
10000,dense_rhs/training_bucket_horizon,3.0
10000,system/heartbeat,1.0
11992,episode/return,109.8215560913086
11992,episode/length,500.0
11993,episode/return,125.04132080078125
11993,episode/length,500.0
11994,episode/return,80.46918487548828
11994,episode/length,500.0
11995,episode/return,118.76564025878906
11995,episode/length,500.0
11996,episode/return,115.05413818359375
11996,episode/length,500.0
11997,episode/return,118.92527770996094
11997,episode/length,500.0
11998,episode/return,114.81974029541016
11998,episode/length,500.0
11999,episode/return,111.40385437011719
11999,episode/length,500.0
15992,episode/return,167.67977905273438
15992,episode/length,500.0
15993,episode/return,118.352783203125
15993,episode/length,500.0
15994,episode/return,163.32679748535156
15994,episode/length,500.0
15995,episode/return,165.90487670898438
15995,episode/length,500.0
15996,episode/return,179.0095672607422
15996,episode/length,500.0
15997,episode/return,63.03887939453125
15997,episode/length,500.0
15998,episode/return,0.2780523896217346
15998,episode/length,500.0
15999,episode/return,168.2986297607422
15999,episode/length,500.0
19992,episode/return,153.54000854492188
19992,episode/length,500.0
19993,episode/return,191.4285430908203
19993,episode/length,500.0
19994,episode/return,188.00607299804688
19994,episode/length,500.0
19995,episode/return,150.3415069580078
19995,episode/length,500.0
19996,episode/return,216.6580352783203
19996,episode/length,500.0
19997,episode/return,176.54974365234375
19997,episode/length,500.0
19998,episode/return,229.11366271972656
19998,episode/length,500.0
19999,episode/return,171.16595458984375
19999,episode/length,500.0
20000,train/consistency_loss_mean,0.001922045338805765
20000,train/consistency_loss_std,0.00010447279435856963
20000,train/continue_loss_mean,0.0
20000,train/continue_loss_std,0.0
20000,train/grad_norm_mean,0.582860592508316
20000,train/grad_norm_std,0.05496684379463442
20000,train/policy_log_std_mean,-1.3331829681396485
20000,train/policy_log_std_std,0.5389712053206839
20000,train/policy_loss_mean,-2.2352799458503725
20000,train/policy_loss_std,0.43503171553962333
20000,train/reward_loss_mean,0.2285703182220459
20000,train/reward_loss_std,0.010933686786511677
20000,train/total_loss_mean,0.09013291809558868
20000,train/total_loss_std,0.003045792854356968
20000,train/value_loss_mean,0.2883497817993164
20000,train/value_loss_std,0.013255492700352811
20000,train/value_scale_mean,4.72438773765564
20000,train/value_scale_std,1.8669381755654773
20000,timing/collect_chunk_s,98.6264287950471
20000,timing/train_chunk_s,21.42969075869769
20000,dense_rhs/training_bucket_horizon,3.0
20000,system/heartbeat,1.0
23992,episode/return,276.50390625
23992,episode/length,500.0
23993,episode/return,143.79420471191406
23993,episode/length,500.0
23994,episode/return,164.79734802246094
23994,episode/length,500.0
23995,episode/return,269.3414001464844
23995,episode/length,500.0
23996,episode/return,190.10626220703125
23996,episode/length,500.0
23997,episode/return,258.52099609375
23997,episode/length,500.0
23998,episode/return,168.71505737304688
23998,episode/length,500.0
23999,episode/return,179.89906311035156
23999,episode/length,500.0
27992,episode/return,229.5681915283203
27992,episode/length,500.0
27993,episode/return,251.5589141845703
27993,episode/length,500.0
27994,episode/return,239.50559997558594
27994,episode/length,500.0
27995,episode/return,178.3592529296875
27995,episode/length,500.0
27996,episode/return,318.1423034667969
27996,episode/length,500.0
27997,episode/return,151.44700622558594
27997,episode/length,500.0
27998,episode/return,165.40138244628906
27998,episode/length,500.0
27999,episode/return,254.73455810546875
27999,episode/length,500.0
30000,train/consistency_loss_mean,0.0020452980292961003
30000,train/consistency_loss_std,6.412192849195367e-05
30000,train/continue_loss_mean,0.0
30000,train/continue_loss_std,0.0
30000,train/grad_norm_mean,0.5319383813381195
30000,train/grad_norm_std,0.040649727008276466
30000,train/policy_log_std_mean,-1.078228231048584
30000,train/policy_log_std_std,0.4196672254886697
30000,train/policy_loss_mean,-1.1716413635253906
30000,train/policy_loss_std,0.2063545784101216
30000,train/reward_loss_mean,0.24605973923206328
30000,train/reward_loss_std,0.009350935198290224
30000,train/total_loss_mean,0.09519337381124496
30000,train/total_loss_std,0.002290787978485953
30000,train/value_loss_mean,0.2968143789052963
30000,train/value_loss_std,0.014248396772038183
30000,train/value_scale_mean,15.945695735168457
30000,train/value_scale_std,3.944147169722562
30000,timing/collect_chunk_s,98.42723836749792
30000,timing/train_chunk_s,21.501498346682638
30000,dense_rhs/training_bucket_horizon,3.0
30000,system/heartbeat,1.0
31992,episode/return,189.12454223632812
31992,episode/length,500.0
31993,episode/return,312.2374572753906
31993,episode/length,500.0
31994,episode/return,274.40081787109375
31994,episode/length,500.0
31995,episode/return,247.1802215576172
31995,episode/length,500.0
31996,episode/return,210.07484436035156
