step,tag,value
0,timing/prewarm_dense_rhs_s,217.8227795693092
0,system/heartbeat,1.0
3992,episode/return,0.0
3992,episode/length,500.0
3993,episode/return,0.0
3993,episode/length,500.0
3994,episode/return,0.0
3994,episode/length,500.0
3995,episode/return,0.0
3995,episode/length,500.0
3996,episode/return,541.0
3996,episode/length,500.0
3997,episode/return,0.0
3997,episode/length,500.0
3998,episode/return,1.0
3998,episode/length,500.0
3999,episode/return,771.0
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,45.24780546082184
4000,timing/train_chunk_s,232.15770543226972
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,45.24780546082184
4000,timing/train_chunk_s,233.2356697502546
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,45.24780546082184
4000,timing/train_chunk_s,234.31413998361677
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,45.24780546082184
4000,timing/train_chunk_s,235.3921118248254
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,45.24780546082184
4000,timing/train_chunk_s,236.47021531360224
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,45.24780546082184
4000,timing/train_chunk_s,237.5479843360372
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,45.24780546082184
4000,timing/train_chunk_s,238.6254188134335
4000,system/heartbeat,1.0
7992,episode/return,0.0
7992,episode/length,500.0
7993,episode/return,0.0
7993,episode/length,500.0
7994,episode/return,0.0
7994,episode/length,500.0
7995,episode/return,0.0
7995,episode/length,500.0
7996,episode/return,0.0
7996,episode/length,500.0
7997,episode/return,0.0
7997,episode/length,500.0
7998,episode/return,0.0
7998,episode/length,500.0
7999,episode/return,0.0
7999,episode/length,500.0
10000,train/consistency_loss_mean,0.0002281559106952045
10000,train/consistency_loss_std,0.00041193546401529
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,0.7431725781679154
10000,train/grad_norm_std,0.95763337466725
10000,train/policy_log_std_mean,-0.4602339106976986
10000,train/policy_log_std_std,0.4613354189776145
10000,train/policy_loss_mean,-0.2986697918891907
10000,train/policy_loss_std,0.13194032860529883
10000,train/reward_loss_mean,0.06672899653613568
10000,train/reward_loss_std,0.10392187430731549
10000,train/total_loss_mean,0.04416065334528685
10000,train/total_loss_std,0.0292463237177033
10000,train/value_loss_mean,0.32924634243249895
10000,train/value_loss_std,0.1297216129763253
10000,train/value_scale_mean,42.21437816162109
10000,train/value_scale_std,25.51183632736431
10000,timing/collect_chunk_s,216.048281643074
10000,timing/train_chunk_s,295.92002394329756
10000,dense_rhs/training_bucket_horizon,3.0
10000,system/heartbeat,1.0
11992,episode/return,0.0
11992,episode/length,500.0
11993,episode/return,0.0
11993,episode/length,500.0
11994,episode/return,0.0
11994,episode/length,500.0
11995,episode/return,25.0
11995,episode/length,500.0
11996,episode/return,0.0
11996,episode/length,500.0
11997,episode/return,0.0
11997,episode/length,500.0
11998,episode/return,0.0
11998,episode/length,500.0
11999,episode/return,775.0
11999,episode/length,500.0
15992,episode/return,0.0
15992,episode/length,500.0
15993,episode/return,0.0
15993,episode/length,500.0
15994,episode/return,0.0
15994,episode/length,500.0
15995,episode/return,0.0
15995,episode/length,500.0
15996,episode/return,850.0
15996,episode/length,500.0
15997,episode/return,0.0
15997,episode/length,500.0
15998,episode/return,0.0
15998,episode/length,500.0
15999,episode/return,239.0
15999,episode/length,500.0
19992,episode/return,0.0
19992,episode/length,500.0
19993,episode/return,250.0
19993,episode/length,500.0
19994,episode/return,255.0
19994,episode/length,500.0
19995,episode/return,0.0
19995,episode/length,500.0
19996,episode/return,0.0
19996,episode/length,500.0
19997,episode/return,0.0
19997,episode/length,500.0
19998,episode/return,0.0
19998,episode/length,500.0
19999,episode/return,987.0
19999,episode/length,500.0
20000,train/consistency_loss_mean,0.0001122857359063346
20000,train/consistency_loss_std,3.469586537829981e-05
20000,train/continue_loss_mean,0.0
20000,train/continue_loss_std,0.0
20000,train/grad_norm_mean,0.4892952564239502
20000,train/grad_norm_std,0.4673115851707891
20000,train/policy_log_std_mean,-0.5865004284381866
20000,train/policy_log_std_std,0.34419258597084096
20000,train/policy_loss_mean,-0.3973553155660629
20000,train/policy_loss_std,0.12178889607119922
20000,train/reward_loss_mean,0.04082766557633877
20000,train/reward_loss_std,0.008775182167183442
20000,train/total_loss_mean,0.036823227310180666
20000,train/total_loss_std,0.0036827208735485334
20000,train/value_loss_mean,0.3049474546670914
20000,train/value_loss_std,0.03382739029886426
20000,train/value_scale_mean,106.72141346435546
20000,train/value_scale_std,17.344943077381032
20000,timing/collect_chunk_s,67.83609222015366
20000,timing/train_chunk_s,20.470867672003806
20000,dense_rhs/training_bucket_horizon,3.0
20000,system/heartbeat,1.0
23992,episode/return,779.0
23992,episode/length,500.0
23993,episode/return,0.0
23993,episode/length,500.0
23994,episode/return,38.0
23994,episode/length,500.0
23995,episode/return,0.0
23995,episode/length,500.0
23996,episode/return,948.0
23996,episode/length,500.0
23997,episode/return,0.0
23997,episode/length,500.0
23998,episode/return,0.0
23998,episode/length,500.0
23999,episode/return,0.0
23999,episode/length,500.0
27992,episode/return,0.0
27992,episode/length,500.0
27993,episode/return,957.0
27993,episode/length,500.0
27994,episode/return,0.0
27994,episode/length,500.0
27995,episode/return,0.0
27995,episode/length,500.0
27996,episode/return,0.0
27996,episode/length,500.0
27997,episode/return,648.0
27997,episode/length,500.0
27998,episode/return,0.0
27998,episode/length,500.0
27999,episode/return,0.0
27999,episode/length,500.0
30000,train/consistency_loss_mean,7.966278448002412e-05
30000,train/consistency_loss_std,2.445257627594904e-05
30000,train/continue_loss_mean,0.0
30000,train/continue_loss_std,0.0
30000,train/grad_norm_mean,0.23957850833535194
30000,train/grad_norm_std,0.19395612386604433
30000,train/policy_log_std_mean,-0.7013272727012634
30000,train/policy_log_std_std,0.31894803967685853
30000,train/policy_loss_mean,-0.4196476329088211
30000,train/policy_loss_std,0.02847850577317953
30000,train/reward_loss_mean,0.05666492854654789
30000,train/reward_loss_std,0.009821969677736844
30000,train/total_loss_mean,0.038328087988495824
30000,train/total_loss_std,0.0020842652831442187
30000,train/value_loss_mean,0.31068338782787325
30000,train/value_loss_std,0.017155470739444355
30000,train/value_scale_mean,130.43111677246094
30000,train/value_scale_std,4.596425852078837
30000,timing/collect_chunk_s,67.7075975923799
30000,timing/train_chunk_s,20.54521857947111
30000,dense_rhs/training_bucket_horizon,3.0
30000,system/heartbeat,1.0
31992,episode/return,547.0
31992,episode/length,500.0
31993,episode/return,0.0
31993,episode/length,500.0
31994,episode/return,0.0
31994,episode/length,500.0
31995,episode/return,734.0
31995,episode/length,500.0
31996,episode/return,0.0
31996,episode/length,500.0
31997,episode/return,3.0
31997,episode/length,500.0
31998,episode/return,983.0
31998,episode/length,500.0
31999,episode/return,607.0
31999,episode/length,500.0
35992,episode/return,549.0
35992,episode/length,500.0
35993,episode/return,992.0
35993,episode/length,500.0
35994,episode/return,0.0
35994,episode/length,500.0
35995,episode/return,973.0
35995,episode/length,500.0
35996,episode/return,106.0
