step,tag,value
3992,episode/return,0.0
3992,episode/length,500.0
3993,episode/return,0.0
3993,episode/length,500.0
3994,episode/return,0.0
3994,episode/length,500.0
3995,episode/return,51.0
3995,episode/length,500.0
3996,episode/return,0.0
3996,episode/length,500.0
3997,episode/return,0.0
3997,episode/length,500.0
3998,episode/return,0.0
3998,episode/length,500.0
3999,episode/return,0.0
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,47.6410070033744
4000,timing/train_chunk_s,237.87643000902608
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,47.6410070033744
4000,timing/train_chunk_s,239.0126024610363
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,47.6410070033744
4000,timing/train_chunk_s,240.1497273906134
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,47.6410070033744
4000,timing/train_chunk_s,241.28619897877797
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,47.6410070033744
4000,timing/train_chunk_s,242.4219845952466
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,47.6410070033744
4000,timing/train_chunk_s,243.55566509021446
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,47.6410070033744
4000,timing/train_chunk_s,244.69139112858102
4000,system/heartbeat,1.0
7992,episode/return,0.0
7992,episode/length,500.0
7993,episode/return,939.0
7993,episode/length,500.0
7994,episode/return,0.0
7994,episode/length,500.0
7995,episode/return,0.0
7995,episode/length,500.0
7996,episode/return,0.0
7996,episode/length,500.0
7997,episode/return,422.0
7997,episode/length,500.0
7998,episode/return,0.0
7998,episode/length,500.0
7999,episode/return,928.0
7999,episode/length,500.0
10000,train/consistency_loss_mean,0.00023826495900284498
10000,train/consistency_loss_std,0.00041477145748755834
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,0.4003700594782829
10000,train/grad_norm_std,0.2624532782006501
10000,train/policy_log_std_mean,-0.5433783168792725
10000,train/policy_log_std_std,0.5495542033391138
10000,train/policy_loss_mean,-0.1779643963575363
10000,train/policy_loss_std,0.08364574857387277
10000,train/reward_loss_mean,0.03647524721324444
10000,train/reward_loss_std,0.08897773903732374
10000,train/total_loss_mean,0.041691250577569006
10000,train/total_loss_std,0.023541601905816074
10000,train/value_loss_mean,0.3327842543363571
10000,train/value_loss_std,0.08462135074715152
10000,train/value_scale_mean,29.791469847106935
10000,train/value_scale_std,23.987978031273286
10000,timing/collect_chunk_s,223.39324109535664
10000,timing/train_chunk_s,306.0791121274233
10000,dense_rhs/training_bucket_horizon,3.0
10000,system/heartbeat,1.0
11992,episode/return,920.0
11992,episode/length,500.0
11993,episode/return,0.0
11993,episode/length,500.0
11994,episode/return,0.0
11994,episode/length,500.0
11995,episode/return,0.0
11995,episode/length,500.0
11996,episode/return,0.0
11996,episode/length,500.0
11997,episode/return,590.0
11997,episode/length,500.0
11998,episode/return,0.0
11998,episode/length,500.0
11999,episode/return,16.0
11999,episode/length,500.0
15992,episode/return,0.0
15992,episode/length,500.0
15993,episode/return,0.0
15993,episode/length,500.0
15994,episode/return,586.0
15994,episode/length,500.0
15995,episode/return,925.0
15995,episode/length,500.0
15996,episode/return,753.0
15996,episode/length,500.0
15997,episode/return,449.0
15997,episode/length,500.0
15998,episode/return,0.0
15998,episode/length,500.0
15999,episode/return,0.0
15999,episode/length,500.0
19992,episode/return,5.0
19992,episode/length,500.0
19993,episode/return,0.0
19993,episode/length,500.0
19994,episode/return,0.0
19994,episode/length,500.0
19995,episode/return,0.0
19995,episode/length,500.0
19996,episode/return,0.0
19996,episode/length,500.0
19997,episode/return,975.0
19997,episode/length,500.0
19998,episode/return,0.0
19998,episode/length,500.0
19999,episode/return,0.0
19999,episode/length,500.0
20000,train/consistency_loss_mean,0.0001353515477734618
20000,train/consistency_loss_std,3.254973641330345e-05
20000,train/continue_loss_mean,0.0
20000,train/continue_loss_std,0.0
20000,train/grad_norm_mean,0.2676594766378403
20000,train/grad_norm_std,0.15884331924509418
20000,train/policy_log_std_mean,-0.8292101130485535
20000,train/policy_log_std_std,0.5259697337807415
