step,tag,value
3992,episode/return,nan
3992,episode/length,500.0
3993,episode/return,nan
3993,episode/length,500.0
3994,episode/return,nan
3994,episode/length,500.0
3995,episode/return,nan
3995,episode/length,500.0
3996,episode/return,nan
3996,episode/length,500.0
3997,episode/return,nan
3997,episode/length,500.0
3998,episode/return,nan
3998,episode/length,500.0
3999,episode/return,nan
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,37.851247331593186
4000,timing/train_chunk_s,243.78256217204034
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,37.851247331593186
4000,timing/train_chunk_s,244.89064254658297
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,37.851247331593186
4000,timing/train_chunk_s,245.99827345926315
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,37.851247331593186
4000,timing/train_chunk_s,247.10766454879194
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,37.851247331593186
4000,timing/train_chunk_s,248.2167835808359
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,37.851247331593186
4000,timing/train_chunk_s,249.32655438687652
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,37.851247331593186
4000,timing/train_chunk_s,250.43671945808455
4000,system/heartbeat,1.0
7992,episode/return,nan
7992,episode/length,500.0
7993,episode/return,nan
7993,episode/length,500.0
7994,episode/return,nan
7994,episode/length,500.0
7995,episode/return,nan
7995,episode/length,500.0
7996,episode/return,nan
7996,episode/length,500.0
7997,episode/return,nan
7997,episode/length,500.0
7998,episode/return,nan
7998,episode/length,500.0
7999,episode/return,nan
7999,episode/length,500.0
10000,train/consistency_loss_mean,nan
10000,train/consistency_loss_std,nan
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,nan
10000,train/grad_norm_std,nan
10000,train/policy_log_std_mean,nan
10000,train/policy_log_std_std,nan
10000,train/policy_loss_mean,nan
10000,train/policy_loss_std,nan
10000,train/reward_loss_mean,nan
10000,train/reward_loss_std,nan
10000,train/total_loss_mean,nan
10000,train/total_loss_std,nan
10000,train/value_loss_mean,nan
10000,train/value_loss_std,nan
10000,train/value_scale_mean,nan
10000,train/value_scale_std,nan
10000,timing/collect_chunk_s,231.3126505096443
10000,timing/train_chunk_s,310.3610144890845
10000,dense_rhs/training_bucket_horizon,3.0
10000,system/heartbeat,1.0
11992,episode/return,nan
11992,episode/length,500.0
11993,episode/return,nan
11993,episode/length,500.0
11994,episode/return,nan
11994,episode/length,500.0
11995,episode/return,nan
11995,episode/length,500.0
11996,episode/return,nan
11996,episode/length,500.0
11997,episode/return,nan
11997,episode/length,500.0
11998,episode/return,nan
11998,episode/length,500.0
11999,episode/return,nan
11999,episode/length,500.0
15992,episode/return,nan
15992,episode/length,500.0
15993,episode/return,nan
15993,episode/length,500.0
15994,episode/return,nan
15994,episode/length,500.0
15995,episode/return,nan
15995,episode/length,500.0
15996,episode/return,nan
15996,episode/length,500.0
15997,episode/return,nan
15997,episode/length,500.0
15998,episode/return,nan
15998,episode/length,500.0
15999,episode/return,nan
15999,episode/length,500.0
19992,episode/return,nan
19992,episode/length,500.0
19993,episode/return,nan
19993,episode/length,500.0
19994,episode/return,nan
19994,episode/length,500.0
19995,episode/return,nan
19995,episode/length,500.0
19996,episode/return,nan
19996,episode/length,500.0
19997,episode/return,nan
19997,episode/length,500.0
19998,episode/return,nan
19998,episode/length,500.0
19999,episode/return,nan
19999,episode/length,500.0
20000,train/consistency_loss_mean,nan
20000,train/consistency_loss_std,nan
20000,train/continue_loss_mean,0.0
20000,train/continue_loss_std,0.0
20000,train/grad_norm_mean,nan
20000,train/grad_norm_std,nan
20000,train/policy_log_std_mean,nan
20000,train/policy_log_std_std,nan
20000,train/policy_loss_mean,nan
20000,train/policy_loss_std,nan
20000,train/reward_loss_mean,nan
20000,train/reward_loss_std,nan
20000,train/total_loss_mean,nan
20000,train/total_loss_std,nan
20000,train/value_loss_mean,nan
20000,train/value_loss_std,nan
20000,train/value_scale_mean,nan
20000,train/value_scale_std,nan
20000,timing/collect_chunk_s,92.96483175316826
20000,timing/train_chunk_s,21.055529431439936
20000,dense_rhs/training_bucket_horizon,3.0
20000,system/heartbeat,1.0
23992,episode/return,nan
23992,episode/length,500.0
23993,episode/return,nan
23993,episode/length,500.0
23994,episode/return,nan
23994,episode/length,500.0
23995,episode/return,nan
23995,episode/length,500.0
23996,episode/return,nan
23996,episode/length,500.0
23997,episode/return,nan
23997,episode/length,500.0
