step,env_index,episode_index,episode_return,episode_length,selected_horizon
3992,0,0,69.87959289550781,500,3
3993,1,0,45.227264404296875,500,3
3994,2,0,53.373451232910156,500,3
3995,3,0,76.87657928466797,500,3
3996,4,0,15.104839324951172,500,3
3997,5,0,101.1830062866211,500,3
3998,6,0,3.3455557823181152,500,3
3999,7,0,91.02069854736328,500,3
7992,0,1,61.597373962402344,500,3
7993,1,1,98.53480529785156,500,3
7994,2,1,91.17633819580078,500,3
7995,3,1,107.62100219726562,500,3
7996,4,1,104.64031982421875,500,3
7997,5,1,100.80399322509766,500,3
7998,6,1,89.36988067626953,500,3
7999,7,1,102.6197738647461,500,3
11992,0,2,436.83697509765625,500,3
11993,1,2,46.60543441772461,500,3
11994,2,2,16.715145111083984,500,3
11995,3,2,88.86945343017578,500,3
11996,4,2,5.045592784881592,500,3
11997,5,2,17.623382568359375,500,3
11998,6,2,106.13428497314453,500,3
11999,7,2,85.82190704345703,500,3
15992,0,3,76.46284484863281,500,3
15993,1,3,68.6786117553711,500,3
15994,2,3,81.5801773071289,500,3
15995,3,3,60.549076080322266,500,3
15996,4,3,87.97452545166016,500,3
15997,5,3,66.48965454101562,500,3
15998,6,3,76.4377670288086,500,3
15999,7,3,96.52952575683594,500,3
19992,0,4,67.94294738769531,500,3
19993,1,4,23.998958587646484,500,3
19994,2,4,15.923789024353027,500,3
19995,3,4,97.26423645019531,500,3
19996,4,4,79.30472564697266,500,3
19997,5,4,72.8078842163086,500,3
19998,6,4,64.29442596435547,500,3
19999,7,4,50.253517150878906,500,3
23992,0,5,48.23554611206055,500,3
23993,1,5,18.779449462890625,500,3
23994,2,5,53.354679107666016,500,3
23995,3,5,46.539981842041016,500,3
23996,4,5,21.92310333251953,500,3
23997,5,5,86.0051040649414,500,3
23998,6,5,84.3453369140625,500,3
23999,7,5,15.278755187988281,500,3
27992,0,6,143.66651916503906,500,3
27993,1,6,42.301658630371094,500,3
27994,2,6,83.1167984008789,500,3
27995,3,6,73.06531524658203,500,3
27996,4,6,66.14424133300781,500,3
27997,5,6,39.6336784362793,500,3
27998,6,6,560.5459594726562,500,3
27999,7,6,35.53860855102539,500,3
31992,0,7,313.86016845703125,500,3
31993,1,7,86.70379638671875,500,3
31994,2,7,393.83489990234375,500,3
31995,3,7,63.024658203125,500,3
31996,4,7,98.64476013183594,500,3
31997,5,7,86.78336334228516,500,3
31998,6,7,63.03366470336914,500,3
31999,7,7,49.81374740600586,500,3
35992,0,8,162.3010711669922,500,3
35993,1,8,33.29154586791992,500,3
35994,2,8,93.71150207519531,500,3
35995,3,8,97.73941802978516,500,3
35996,4,8,95.21478271484375,500,3
35997,5,8,74.59008026123047,500,3
35998,6,8,79.64262390136719,500,3
35999,7,8,366.4316101074219,500,3
39992,0,9,85.68618774414062,500,3
39993,1,9,130.48867797851562,500,3
39994,2,9,93.88204193115234,500,3
39995,3,9,53.202247619628906,500,3
39996,4,9,96.89596557617188,500,3
39997,5,9,38.01725387573242,500,3
39998,6,9,407.29998779296875,500,3
39999,7,9,87.27020263671875,500,3
43992,0,10,59.782493591308594,500,3
43993,1,10,110.45925903320312,500,3
43994,2,10,88.57302856445312,500,3
43995,3,10,290.2557067871094,500,3
43996,4,10,220.2003631591797,500,3
43997,5,10,37.21790313720703,500,3
43998,6,10,67.5052719116211,500,3
43999,7,10,99.66718292236328,500,3
47992,0,11,116.2009048461914,500,3
47993,1,11,15.607870101928711,500,3
47994,2,11,402.53533935546875,500,3
47995,3,11,96.66557312011719,500,3
47996,4,11,104.21192169189453,500,3
47997,5,11,609.593017578125,500,3
47998,6,11,37.10360336303711,500,3
47999,7,11,32.28019332885742,500,3
51992,0,12,56.546966552734375,500,3
51993,1,12,187.9231719970703,500,3
51994,2,12,116.61446380615234,500,3
51995,3,12,40.496864318847656,500,3
51996,4,12,17.592117309570312,500,3
51997,5,12,47.6496696472168,500,3
51998,6,12,95.77206420898438,500,3
51999,7,12,113.82125091552734,500,3
55992,0,13,57.192840576171875,500,3
55993,1,13,17.351993560791016,500,3
55994,2,13,642.7958984375,500,3
55995,3,13,68.52819061279297,500,3
55996,4,13,69.18080139160156,500,3
55997,5,13,101.665771484375,500,3
55998,6,13,211.14163208007812,500,3
55999,7,13,650.6926879882812,500,3
59992,0,14,26.62314796447754,500,3
59993,1,14,78.18201446533203,500,3
59994,2,14,136.3389892578125,500,3
59995,3,14,105.7470703125,500,3
59996,4,14,453.2882995605469,500,3
59997,5,14,335.907958984375,500,3
59998,6,14,103.46823120117188,500,3
59999,7,14,349.4444580078125,500,3
63992,0,15,73.76830291748047,500,3
63993,1,15,99.5683364868164,500,3
63994,2,15,249.86660766601562,500,3
63995,3,15,339.23321533203125,500,3
63996,4,15,605.364501953125,500,3
63997,5,15,221.3059539794922,500,3
63998,6,15,188.6673583984375,500,3
63999,7,15,315.74444580078125,500,3
67992,0,16,349.7331848144531,500,3
67993,1,16,186.84803771972656,500,3
67994,2,16,489.99334716796875,500,3
67995,3,16,112.88227844238281,500,3
67996,4,16,100.04802703857422,500,3
67997,5,16,742.882568359375,500,3
67998,6,16,290.02362060546875,500,3
67999,7,16,108.4264144897461,500,3
71992,0,17,62.14876174926758,500,3
71993,1,17,617.6740112304688,500,3
71994,2,17,497.0348815917969,500,3
71995,3,17,64.67573547363281,500,3
71996,4,17,261.57489013671875,500,3
71997,5,17,51.555625915527344,500,3
71998,6,17,460.7864074707031,500,3
71999,7,17,52.40882873535156,500,3
75992,0,18,95.36925506591797,500,3
75993,1,18,407.5754699707031,500,3
75994,2,18,116.36365509033203,500,3
75995,3,18,113.73960876464844,500,3
75996,4,18,66.00691223144531,500,3
75997,5,18,334.4571228027344,500,3
75998,6,18,71.58023071289062,500,3
75999,7,18,32.547481536865234,500,3
79992,0,19,403.65423583984375,500,3
79993,1,19,55.85980224609375,500,3
79994,2,19,837.1926879882812,500,3
79995,3,19,115.42701721191406,500,3
79996,4,19,310.9471740722656,500,3
79997,5,19,687.7202758789062,500,3
79998,6,19,361.9745178222656,500,3
79999,7,19,689.181884765625,500,3
83992,0,20,51.720115661621094,500,3
83993,1,20,597.263427734375,500,3
83994,2,20,133.0404052734375,500,3
83995,3,20,261.7221984863281,500,3
83996,4,20,34.91983413696289,500,3
83997,5,20,80.48405456542969,500,3
83998,6,20,296.9977722167969,500,3
83999,7,20,443.1573791503906,500,3
87992,0,21,40.47797393798828,500,3
87993,1,21,540.5911865234375,500,3
87994,2,21,577.6947021484375,500,3
87995,3,21,73.50390625,500,3
87996,4,21,68.16143035888672,500,3
87997,5,21,250.8677215576172,500,3
87998,6,21,181.43255615234375,500,3
87999,7,21,66.28691101074219,500,3
91992,0,22,757.0440063476562,500,3
91993,1,22,265.7393798828125,500,3
91994,2,22,695.8187866210938,500,3
91995,3,22,690.8724365234375,500,3
91996,4,22,213.29420471191406,500,3
91997,5,22,570.2092895507812,500,3
91998,6,22,63.04326629638672,500,3
91999,7,22,707.1765747070312,500,3
95992,0,23,79.16470336914062,500,3
95993,1,23,83.49794006347656,500,3
95994,2,23,652.4324340820312,500,3
95995,3,23,716.9842529296875,500,3
95996,4,23,470.34814453125,500,3
95997,5,23,85.58940124511719,500,3
95998,6,23,33.87433624267578,500,3
95999,7,23,667.6962280273438,500,3
99992,0,24,270.295166015625,500,3
99993,1,24,106.59626770019531,500,3
99994,2,24,111.38204193115234,500,3
99995,3,24,108.79361724853516,500,3
99996,4,24,54.74545669555664,500,3
99997,5,24,778.9303588867188,500,3
99998,6,24,102.27676391601562,500,3
99999,7,24,561.8311767578125,500,3
103992,0,25,727.8416748046875,500,3
103993,1,25,292.63140869140625,500,3
103994,2,25,74.29053497314453,500,3
103995,3,25,807.3945922851562,500,3
103996,4,25,687.5867309570312,500,3
103997,5,25,67.25431823730469,500,3
103998,6,25,848.1220703125,500,3
103999,7,25,839.7080688476562,500,3
107992,0,26,559.3126831054688,500,3
107993,1,26,662.13134765625,500,3
107994,2,26,558.9949951171875,500,3
107995,3,26,662.86181640625,500,3
107996,4,26,592.0552368164062,500,3
107997,5,26,524.8282470703125,500,3
107998,6,26,882.5448608398438,500,3
107999,7,26,696.7459106445312,500,3
111992,0,27,503.21484375,500,3
111993,1,27,655.5137939453125,500,3
111994,2,27,591.8968505859375,500,3
111995,3,27,556.4620971679688,500,3
111996,4,27,480.455322265625,500,3
111997,5,27,89.45768737792969,500,3
111998,6,27,149.96070861816406,500,3
111999,7,27,87.1877670288086,500,3
115992,0,28,656.6808471679688,500,3
115993,1,28,63.80116271972656,500,3
115994,2,28,595.9938354492188,500,3
115995,3,28,761.7833862304688,500,3
115996,4,28,308.0516357421875,500,3
115997,5,28,746.1795654296875,500,3
115998,6,28,378.04693603515625,500,3
115999,7,28,606.083251953125,500,3
119992,0,29,639.8551635742188,500,3
119993,1,29,753.1271362304688,500,3
119994,2,29,93.80088806152344,500,3
119995,3,29,648.6243896484375,500,3
119996,4,29,426.6968994140625,500,3
119997,5,29,646.1316528320312,500,3
119998,6,29,411.5672302246094,500,3
119999,7,29,829.7958374023438,500,3
123992,0,30,419.3623962402344,500,3
123993,1,30,773.0796508789062,500,3
123994,2,30,583.8033447265625,500,3
123995,3,30,491.89617919921875,500,3
123996,4,30,795.0411376953125,500,3
123997,5,30,728.9542846679688,500,3
123998,6,30,671.6170654296875,500,3
123999,7,30,787.9940795898438,500,3
127992,0,31,132.565185546875,500,3
127993,1,31,559.933349609375,500,3
127994,2,31,334.5105285644531,500,3
127995,3,31,817.9790649414062,500,3
127996,4,31,698.0921020507812,500,3
127997,5,31,589.2955932617188,500,3
127998,6,31,747.8793334960938,500,3
127999,7,31,70.89622497558594,500,3
131992,0,32,48.45927429199219,500,3
131993,1,32,748.9505615234375,500,3
131994,2,32,416.2627258300781,500,3
131995,3,32,797.8584594726562,500,3
131996,4,32,798.3135375976562,500,3
131997,5,32,518.8506469726562,500,3
131998,6,32,105.56541442871094,500,3
131999,7,32,735.6602172851562,500,3
135992,0,33,776.3443603515625,500,3
135993,1,33,770.9198608398438,500,3
135994,2,33,725.4325561523438,500,3
135995,3,33,551.7266845703125,500,3
135996,4,33,815.024658203125,500,3
135997,5,33,49.549320220947266,500,3
135998,6,33,621.7661743164062,500,3
135999,7,33,627.5940551757812,500,3
139992,0,34,566.4962768554688,500,3
139993,1,34,367.4249267578125,500,3
139994,2,34,408.7036437988281,500,3
139995,3,34,756.864990234375,500,3
139996,4,34,347.91339111328125,500,3
139997,5,34,570.5953369140625,500,3
139998,6,34,340.8305358886719,500,3
139999,7,34,767.9581298828125,500,3
143992,0,35,730.7224731445312,500,3
143993,1,35,584.2401123046875,500,3
143994,2,35,761.927001953125,500,3
143995,3,35,562.332763671875,500,3
143996,4,35,851.2175903320312,500,3
143997,5,35,620.4004516601562,500,3
143998,6,35,684.2175903320312,500,3
143999,7,35,682.3843383789062,500,3
147992,0,36,654.986083984375,500,3
147993,1,36,157.49832153320312,500,3
147994,2,36,562.0518798828125,500,3
147995,3,36,710.297607421875,500,3
147996,4,36,562.552001953125,500,3
147997,5,36,807.6187744140625,500,3
147998,6,36,775.8258056640625,500,3
147999,7,36,405.4873046875,500,3
151992,0,37,560.2207641601562,500,3
151993,1,37,50.81089782714844,500,3
151994,2,37,760.4686889648438,500,3
151995,3,37,370.47222900390625,500,3
151996,4,37,751.4441528320312,500,3
151997,5,37,520.5498657226562,500,3
151998,6,37,574.9453735351562,500,3
151999,7,37,407.1568908691406,500,3
155992,0,38,587.055908203125,500,3
155993,1,38,53.26776885986328,500,3
155994,2,38,754.1801147460938,500,3
155995,3,38,401.73114013671875,500,3
155996,4,38,573.3206787109375,500,3
155997,5,38,572.8580932617188,500,3
155998,6,38,754.4550170898438,500,3
155999,7,38,796.1071166992188,500,3
159992,0,39,672.3605346679688,500,3
159993,1,39,685.1585083007812,500,3
159994,2,39,583.172119140625,500,3
159995,3,39,720.7509765625,500,3
159996,4,39,296.6258850097656,500,3
159997,5,39,780.8316650390625,500,3
159998,6,39,791.4573974609375,500,3
159999,7,39,672.9759521484375,500,3
163992,0,40,573.2223510742188,500,3
163993,1,40,102.41497039794922,500,3
163994,2,40,537.27294921875,500,3
163995,3,40,776.5072631835938,500,3
163996,4,40,201.35511779785156,500,3
163997,5,40,744.2932739257812,500,3
163998,6,40,649.8261108398438,500,3
163999,7,40,832.27099609375,500,3
167992,0,41,710.7438354492188,500,3
167993,1,41,274.7033386230469,500,3
167994,2,41,548.145751953125,500,3
167995,3,41,453.8362731933594,500,3
167996,4,41,179.24012756347656,500,3
167997,5,41,890.2832641601562,500,3
167998,6,41,832.171875,500,3
167999,7,41,611.5985107421875,500,3
171992,0,42,625.5279541015625,500,3
171993,1,42,658.48388671875,500,3
171994,2,42,822.7694702148438,500,3
171995,3,42,857.6192626953125,500,3
171996,4,42,113.27567291259766,500,3
171997,5,42,736.2315673828125,500,3
171998,6,42,819.8851928710938,500,3
171999,7,42,815.8272094726562,500,3
175992,0,43,527.7866821289062,500,3
175993,1,43,696.8936767578125,500,3
175994,2,43,586.9705810546875,500,3
175995,3,43,592.94677734375,500,3
175996,4,43,827.9395751953125,500,3
175997,5,43,458.9414367675781,500,3
175998,6,43,813.5741577148438,500,3
175999,7,43,407.8916015625,500,3
179992,0,44,749.5825805664062,500,3
179993,1,44,714.5606079101562,500,3
179994,2,44,710.75390625,500,3
179995,3,44,712.6668701171875,500,3
179996,4,44,668.5768432617188,500,3
179997,5,44,353.5218811035156,500,3
179998,6,44,863.3745727539062,500,3
179999,7,44,821.7682495117188,500,3
183992,0,45,69.6269760131836,500,3
183993,1,45,708.8218383789062,500,3
183994,2,45,464.1671142578125,500,3
183995,3,45,734.9375,500,3
183996,4,45,649.882568359375,500,3
183997,5,45,525.2728881835938,500,3
183998,6,45,586.5147094726562,500,3
183999,7,45,740.1671752929688,500,3
187992,0,46,662.1138916015625,500,3
187993,1,46,664.8963623046875,500,3
187994,2,46,257.44732666015625,500,3
187995,3,46,834.5826416015625,500,3
187996,4,46,415.4585876464844,500,3
187997,5,46,720.3541259765625,500,3
