step,env_index,episode_index,episode_return,episode_length,selected_horizon
3992,0,0,12.186235427856445,500,3
3993,1,0,3.2855725288391113,500,3
3994,2,0,11.268387794494629,500,3
3995,3,0,511.3230285644531,500,3
3996,4,0,3.1462767124176025,500,3
3997,5,0,4.099926471710205,500,3
3998,6,0,7.248892307281494,500,3
3999,7,0,511.1392517089844,500,3
7992,0,1,43.302024841308594,500,3
7993,1,1,13.716209411621094,500,3
7994,2,1,23.077133178710938,500,3
7995,3,1,79.7120132446289,500,3
7996,4,1,13.017805099487305,500,3
7997,5,1,42.114341735839844,500,3
7998,6,1,15.057462692260742,500,3
7999,7,1,13.35974407196045,500,3
11992,0,2,507.7366943359375,500,3
11993,1,2,26.6613826751709,500,3
11994,2,2,8.014178276062012,500,3
11995,3,2,16.04615020751953,500,3
11996,4,2,30.33179473876953,500,3
11997,5,2,25.446308135986328,500,3
11998,6,2,8.742632865905762,500,3
11999,7,2,19.20382308959961,500,3
15992,0,3,11.649413108825684,500,3
15993,1,3,29.259624481201172,500,3
15994,2,3,10.342371940612793,500,3
15995,3,3,381.36737060546875,500,3
15996,4,3,291.37408447265625,500,3
15997,5,3,24.69774627685547,500,3
15998,6,3,21.4549617767334,500,3
15999,7,3,319.0093688964844,500,3
19992,0,4,17.963193893432617,500,3
19993,1,4,24.207246780395508,500,3
19994,2,4,20.579378128051758,500,3
19995,3,4,422.6048889160156,500,3
19996,4,4,515.0291748046875,500,3
19997,5,4,514.5341796875,500,3
19998,6,4,44.186927795410156,500,3
19999,7,4,17.830415725708008,500,3
23992,0,5,18.63306999206543,500,3
23993,1,5,18.591352462768555,500,3
23994,2,5,15.325180053710938,500,3
23995,3,5,21.03915786743164,500,3
23996,4,5,14.135384559631348,500,3
23997,5,5,15.168275833129883,500,3
23998,6,5,14.040679931640625,500,3
23999,7,5,28.958454132080078,500,3
27992,0,6,524.0333251953125,500,3
27993,1,6,13.862421035766602,500,3
27994,2,6,531.283203125,500,3
27995,3,6,13.055804252624512,500,3
27996,4,6,29.767087936401367,500,3
27997,5,6,35.63201904296875,500,3
27998,6,6,51.23365783691406,500,3
27999,7,6,14.252279281616211,500,3
31992,0,7,24.873615264892578,500,3
31993,1,7,31.342195510864258,500,3
31994,2,7,23.379968643188477,500,3
31995,3,7,155.2583770751953,500,3
31996,4,7,18.363277435302734,500,3
31997,5,7,17.26434898376465,500,3
31998,6,7,268.6083068847656,500,3
31999,7,7,21.659643173217773,500,3
35992,0,8,17.283090591430664,500,3
35993,1,8,526.3425903320312,500,3
35994,2,8,15.797710418701172,500,3
35995,3,8,526.6759033203125,500,3
35996,4,8,20.185102462768555,500,3
35997,5,8,523.405517578125,500,3
35998,6,8,18.753803253173828,500,3
35999,7,8,527.90869140625,500,3
39992,0,9,534.252685546875,500,3
39993,1,9,3.038311004638672,500,3
39994,2,9,534.669677734375,500,3
39995,3,9,537.1978149414062,500,3
39996,4,9,3.7906031608581543,500,3
39997,5,9,12.98403549194336,500,3
39998,6,9,12.941120147705078,500,3
39999,7,9,3.3056325912475586,500,3
43992,0,10,30.859390258789062,500,3
43993,1,10,440.1282043457031,500,3
43994,2,10,31.05645751953125,500,3
43995,3,10,29.69232940673828,500,3
43996,4,10,28.90140151977539,500,3
43997,5,10,30.273731231689453,500,3
43998,6,10,555.7530517578125,500,3
