step,tag,value
0,timing/prewarm_dense_rhs_s,276.28441576240584
0,system/heartbeat,1.0
3992,episode/return,12.186235427856445
3992,episode/length,500.0
3993,episode/return,3.2855725288391113
3993,episode/length,500.0
3994,episode/return,11.268387794494629
3994,episode/length,500.0
3995,episode/return,511.3230285644531
3995,episode/length,500.0
3996,episode/return,3.1462767124176025
3996,episode/length,500.0
3997,episode/return,4.099926471710205
3997,episode/length,500.0
3998,episode/return,7.248892307281494
3998,episode/length,500.0
3999,episode/return,511.1392517089844
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,116.11989014176652
4000,timing/train_chunk_s,227.1065251417458
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,116.11989014176652
4000,timing/train_chunk_s,228.12427422124892
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,116.11989014176652
4000,timing/train_chunk_s,229.14154705544934
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,116.11989014176652
4000,timing/train_chunk_s,230.1597088491544
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,116.11989014176652
4000,timing/train_chunk_s,231.17797821108252
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,116.11989014176652
4000,timing/train_chunk_s,232.19618276553228
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,116.11989014176652
4000,timing/train_chunk_s,233.21360515756533
4000,system/heartbeat,1.0
7992,episode/return,43.302024841308594
7992,episode/length,500.0
7993,episode/return,13.716209411621094
7993,episode/length,500.0
7994,episode/return,23.077133178710938
7994,episode/length,500.0
7995,episode/return,79.7120132446289
7995,episode/length,500.0
7996,episode/return,13.017805099487305
7996,episode/length,500.0
7997,episode/return,42.114341735839844
7997,episode/length,500.0
7998,episode/return,15.057462692260742
7998,episode/length,500.0
7999,episode/return,13.35974407196045
7999,episode/length,500.0
10000,train/consistency_loss_mean,0.0012270949899218977
10000,train/consistency_loss_std,0.0008855814305876324
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,0.1942246350288391
10000,train/grad_norm_std,0.10601292136572804
10000,train/policy_log_std_mean,-0.2411520123799642
10000,train/policy_log_std_std,0.20880416622623102
10000,train/policy_loss_mean,-0.5927852277755737
10000,train/policy_loss_std,0.4558902786822783
10000,train/reward_loss_mean,0.16464902764558792
10000,train/reward_loss_std,0.09222340284758859
10000,train/total_loss_mean,0.07585168479681015
10000,train/total_loss_std,0.03198807580259987
10000,train/value_loss_mean,0.34844880249500276
10000,train/value_loss_std,0.11452122649714637
10000,train/value_scale_mean,17.6420725692749
10000,train/value_scale_std,7.8381674140629
10000,timing/collect_chunk_s,362.9487696136348
10000,timing/train_chunk_s,288.21684847120196
10000,dense_rhs/training_bucket_horizon,3.0
10000,system/heartbeat,1.0
11992,episode/return,507.7366943359375
11992,episode/length,500.0
11993,episode/return,26.6613826751709
11993,episode/length,500.0
11994,episode/return,8.014178276062012
11994,episode/length,500.0
11995,episode/return,16.04615020751953
11995,episode/length,500.0
11996,episode/return,30.33179473876953
11996,episode/length,500.0
11997,episode/return,25.446308135986328
11997,episode/length,500.0
11998,episode/return,8.742632865905762
11998,episode/length,500.0
11999,episode/return,19.20382308959961
11999,episode/length,500.0
15992,episode/return,11.649413108825684
15992,episode/length,500.0
15993,episode/return,29.259624481201172
15993,episode/length,500.0
15994,episode/return,10.342371940612793
15994,episode/length,500.0
15995,episode/return,381.36737060546875
15995,episode/length,500.0
15996,episode/return,291.37408447265625
15996,episode/length,500.0
15997,episode/return,24.69774627685547
15997,episode/length,500.0
15998,episode/return,21.4549617767334
15998,episode/length,500.0
15999,episode/return,319.0093688964844
15999,episode/length,500.0
19992,episode/return,17.963193893432617
19992,episode/length,500.0
19993,episode/return,24.207246780395508
19993,episode/length,500.0
19994,episode/return,20.579378128051758
19994,episode/length,500.0
19995,episode/return,422.6048889160156
19995,episode/length,500.0
19996,episode/return,515.0291748046875
19996,episode/length,500.0
19997,episode/return,514.5341796875
19997,episode/length,500.0
19998,episode/return,44.186927795410156
19998,episode/length,500.0
19999,episode/return,17.830415725708008
19999,episode/length,500.0
20000,train/consistency_loss_mean,0.0011282449333928526
20000,train/consistency_loss_std,8.359515760281952e-05
20000,train/continue_loss_mean,0.0
20000,train/continue_loss_std,0.0
20000,train/grad_norm_mean,0.16446415110826493
20000,train/grad_norm_std,0.02757551922337164
20000,train/policy_log_std_mean,-0.2867511156717936
20000,train/policy_log_std_std,0.1950455933385787
20000,train/policy_loss_mean,-1.2435865506172181
20000,train/policy_loss_std,0.8982384079163716
20000,train/reward_loss_mean,0.17245610721111299
20000,train/reward_loss_std,0.013840556646991117
20000,train/total_loss_mean,0.07041331496834755
20000,train/total_loss_std,0.0071939237511666615
20000,train/value_loss_mean,0.306028039097786
20000,train/value_loss_std,0.06885887520701701
20000,train/value_scale_mean,27.738337423706053
20000,train/value_scale_std,8.978406614365722
20000,timing/collect_chunk_s,98.65698835905641
20000,timing/train_chunk_s,19.479842122644186
20000,dense_rhs/training_bucket_horizon,3.0
20000,system/heartbeat,1.0
23992,episode/return,18.63306999206543
23992,episode/length,500.0
23993,episode/return,18.591352462768555
23993,episode/length,500.0
23994,episode/return,15.325180053710938
23994,episode/length,500.0
23995,episode/return,21.03915786743164
23995,episode/length,500.0
23996,episode/return,14.135384559631348
23996,episode/length,500.0
23997,episode/return,15.168275833129883
23997,episode/length,500.0
23998,episode/return,14.040679931640625
23998,episode/length,500.0
23999,episode/return,28.958454132080078
23999,episode/length,500.0
27992,episode/return,524.0333251953125
27992,episode/length,500.0
27993,episode/return,13.862421035766602
27993,episode/length,500.0
27994,episode/return,531.283203125
27994,episode/length,500.0
27995,episode/return,13.055804252624512
27995,episode/length,500.0
27996,episode/return,29.767087936401367
27996,episode/length,500.0
27997,episode/return,35.63201904296875
27997,episode/length,500.0
27998,episode/return,51.23365783691406
27998,episode/length,500.0
27999,episode/return,14.252279281616211
27999,episode/length,500.0
30000,train/consistency_loss_mean,0.0009185641281306743
30000,train/consistency_loss_std,5.064198153273694e-05
30000,train/continue_loss_mean,0.0
30000,train/continue_loss_std,0.0
30000,train/grad_norm_mean,0.11920888476967811
30000,train/grad_norm_std,0.01777008265195316
30000,train/policy_log_std_mean,-0.3009374050140381
30000,train/policy_log_std_std,0.1882185402979132
30000,train/policy_loss_mean,-1.416131585264206
30000,train/policy_loss_std,0.3376432300681475
30000,train/reward_loss_mean,0.19404860042333602
30000,train/reward_loss_std,0.009546299243668004
30000,train/total_loss_mean,0.0680450536698103
30000,train/total_loss_std,0.006587123853485441
30000,train/value_loss_mean,0.3026890992164612
30000,train/value_loss_std,0.06683095581898764
30000,train/value_scale_mean,26.35511767578125
30000,train/value_scale_std,5.997523750964141
30000,timing/collect_chunk_s,102.0656038466841
30000,timing/train_chunk_s,19.49870918923989
30000,dense_rhs/training_bucket_horizon,3.0
30000,system/heartbeat,1.0
31992,episode/return,24.873615264892578
31992,episode/length,500.0
31993,episode/return,31.342195510864258
31993,episode/length,500.0
31994,episode/return,23.379968643188477
31994,episode/length,500.0
31995,episode/return,155.2583770751953
31995,episode/length,500.0
31996,episode/return,18.363277435302734
31996,episode/length,500.0
31997,episode/return,17.26434898376465
31997,episode/length,500.0
31998,episode/return,268.6083068847656
31998,episode/length,500.0
31999,episode/return,21.659643173217773
31999,episode/length,500.0
35992,episode/return,17.283090591430664
35992,episode/length,500.0
35993,episode/return,526.3425903320312
35993,episode/length,500.0
35994,episode/return,15.797710418701172
35994,episode/length,500.0
35995,episode/return,526.6759033203125
35995,episode/length,500.0
35996,episode/return,20.185102462768555
35996,episode/length,500.0
35997,episode/return,523.405517578125
35997,episode/length,500.0
35998,episode/return,18.753803253173828
35998,episode/length,500.0
35999,episode/return,527.90869140625
35999,episode/length,500.0
39992,episode/return,534.252685546875
39992,episode/length,500.0
39993,episode/return,3.038311004638672
39993,episode/length,500.0
39994,episode/return,534.669677734375
39994,episode/length,500.0
39995,episode/return,537.1978149414062
39995,episode/length,500.0
39996,episode/return,3.7906031608581543
39996,episode/length,500.0
39997,episode/return,12.98403549194336
39997,episode/length,500.0
39998,episode/return,12.941120147705078
39998,episode/length,500.0
39999,episode/return,3.3056325912475586
39999,episode/length,500.0
40000,train/consistency_loss_mean,0.0007325727781280875
40000,train/consistency_loss_std,5.274443962037723e-05
40000,train/continue_loss_mean,0.0
40000,train/continue_loss_std,0.0
40000,train/grad_norm_mean,0.09041726133227349
40000,train/grad_norm_std,0.011118298576732735
40000,train/policy_log_std_mean,-0.35216859119733174
40000,train/policy_log_std_std,0.1984818062758477
40000,train/policy_loss_mean,-2.04892238740921
40000,train/policy_loss_std,0.6237473428644966
40000,train/reward_loss_mean,0.2063056892991066
40000,train/reward_loss_std,0.008887397208179567
40000,train/total_loss_mean,0.06218855162858963
40000,train/total_loss_std,0.007964478377981534
40000,train/value_loss_mean,0.2690652577161789
40000,train/value_loss_std,0.08080645639284882
40000,train/value_scale_mean,21.465247302246095
40000,train/value_scale_std,4.854955667430305
40000,timing/collect_chunk_s,100.36573201511055
40000,timing/train_chunk_s,19.52375659858808
40000,dense_rhs/training_bucket_horizon,3.0
40000,system/heartbeat,1.0
43992,episode/return,30.859390258789062
43992,episode/length,500.0
43993,episode/return,440.1282043457031
43993,episode/length,500.0
43994,episode/return,31.05645751953125
43994,episode/length,500.0
43995,episode/return,29.69232940673828
43995,episode/length,500.0
43996,episode/return,28.90140151977539
43996,episode/length,500.0
43997,episode/return,30.273731231689453
43997,episode/length,500.0
43998,episode/return,555.7530517578125
43998,episode/length,500.0
43999,episode/return,25.15508460998535
43999,episode/length,500.0
47992,episode/return,171.79196166992188
47992,episode/length,500.0
47993,episode/return,36.231712341308594
47993,episode/length,500.0
47994,episode/return,217.8099822998047
47994,episode/length,500.0
47995,episode/return,33.02708435058594
47995,episode/length,500.0
47996,episode/return,472.6710205078125
47996,episode/length,500.0
47997,episode/return,37.799678802490234
47997,episode/length,500.0
47998,episode/return,27.773096084594727
47998,episode/length,500.0
47999,episode/return,35.74463653564453
47999,episode/length,500.0
50000,train/consistency_loss_mean,0.0005440988224232569
50000,train/consistency_loss_std,5.591644170782656e-05
50000,train/continue_loss_mean,0.0
50000,train/continue_loss_std,0.0
50000,train/grad_norm_mean,0.07133571422994137
50000,train/grad_norm_std,0.01270741079933725
50000,train/policy_log_std_mean,-0.3554172562599182
50000,train/policy_log_std_std,0.2123232836787843
50000,train/policy_loss_mean,-1.705891381549835
50000,train/policy_loss_std,0.1632913421266865
50000,train/reward_loss_mean,0.2147725347995758
50000,train/reward_loss_std,0.009114656954721046
50000,train/total_loss_mean,0.05805304157733917
50000,train/total_loss_std,0.006726064348242512
50000,train/value_loss_mean,0.2569381040453911
50000,train/value_loss_std,0.06998385710538611
50000,train/value_scale_mean,24.59494937438965
50000,train/value_scale_std,2.1750304612897557
50000,timing/collect_chunk_s,101.01001761853695
50000,timing/train_chunk_s,19.532245804090053
50000,dense_rhs/training_bucket_horizon,3.0
50000,system/heartbeat,1.0
50000,timing/checkpoint_blocking_s,0.5186864933930337
50000,eval/return_mean,140.32699584960938
50000,eval/return_std,92.52450561523438
50000,eval/return_max,416.2396240234375
50000,eval/return_min,31.100425720214844
50000,dense_rhs/deployment_utility_last_observed_gain,0.0
50000,dense_rhs/deployment_utility_observations,0.0
50000,timing/eval_s,157.63307177415118
