scope,env_id,regime,n,mean_pct_delta,std_pct_delta,sem_pct_delta,rhs_win_rate,mean_rhs_wall_hours,mean_baseline_wall_hours,mean_runtime_ratio
cartpole-swingup | chaos,cartpole-swingup,chaos,3,0.34481187193822765,0.2224038445311581,0.1284049195088718,1.0,2.1225333333333336,1.7863,1.1880458338249733
cartpole-swingup | clean,cartpole-swingup,clean,3,0.09131581329872385,1.8865571369933076,1.0892042708846958,0.6666666666666666,1.8112000000000001,1.3705666666666667,1.3212167952806972
cheetah-run | chaos,cheetah-run,chaos,3,19.800819412472546,19.799473972623005,11.431231627906882,1.0,2.219333333333333,1.9421333333333333,1.1427420750299502
cheetah-run | clean,cheetah-run,clean,3,2.8380468719215006,3.340341421247651,1.9285470187425886,0.6666666666666666,1.6289999999999998,1.5019333333333333,1.0846213698058549
finger-turn_hard | chaos,finger-turn_hard,chaos,3,20.377006555488613,44.58780721616979,25.74278249883077,0.6666666666666666,2.107133333333333,1.9516,1.0799572381838727
finger-turn_hard | clean,finger-turn_hard,clean,3,11.994939198777658,6.950199288798551,4.0126994303093895,1.0,1.6212,1.4985333333333333,1.0818938041381587
hopper-hop | chaos,hopper-hop,chaos,3,2.980887948334434,57.66142199897469,33.29083751296465,0.3333333333333333,2.5303666666666667,2.1495333333333337,1.1772086406564952
hopper-hop | clean,hopper-hop,clean,3,-13.249491410258399,20.881101700009527,12.055709687476453,0.3333333333333333,1.8527666666666667,1.7220000000000002,1.0759364613173192
quadruped-run | chaos,quadruped-run,chaos,3,13.630986867049332,25.707163644673106,14.84203785035378,0.6666666666666666,2.5878666666666668,2.421366666666667,1.0687485746595524
quadruped-run | clean,quadruped-run,clean,3,0.1761162261256016,4.179640986377072,2.4131168486007954,0.6666666666666666,2.1590666666666665,1.9563,1.1035024170116936
