env_id,regime,seed,baseline_score,rhs_score,pct_delta,rhs_won,baseline_wall_hours,rhs_wall_hours,runtime_ratio,baseline_run_dir,rhs_run_dir
cartpole-swingup,chaos,1,814.0921630859375,816.386474609375,0.281824543641419,True,1.7642,2.0417,1.1572950912594944,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cartpole-swingup/chaos/paper_horizon/s1,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cartpole-swingup/chaos/adaptive_rhs/s1
cartpole-swingup,chaos,15,859.1907348632812,860.5714111328125,0.16069496719502568,True,1.8119,2.1781,1.2021082841216404,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cartpole-swingup/chaos/paper_horizon/s15,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cartpole-swingup/chaos/adaptive_rhs/s15
cartpole-swingup,chaos,7,856.4693603515625,861.5389404296875,0.5919161049782382,True,1.7828,2.1478,1.2047341260937852,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cartpole-swingup/chaos/paper_horizon/s7,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cartpole-swingup/chaos/adaptive_rhs/s7
cartpole-swingup,clean,1,882.1182861328125,864.9244384765625,-1.9491544304820452,False,1.375,1.9489,1.4173818181818183,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cartpole-swingup/clean/paper_horizon/s1,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cartpole-swingup/clean/adaptive_rhs/s1
cartpole-swingup,clean,15,864.4862060546875,879.806640625,1.7722011598347387,True,1.3714,1.8614,1.3572991103981333,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cartpole-swingup/clean/paper_horizon/s15,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cartpole-swingup/clean/adaptive_rhs/s15
cartpole-swingup,clean,7,878.4229736328125,882.3837890625,0.450900710543478,True,1.3653,1.6233,1.18896945726214,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cartpole-swingup/clean/paper_horizon/s7,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cartpole-swingup/clean/adaptive_rhs/s7
cheetah-run,chaos,1,354.4768981933594,501.057373046875,41.351206693746,True,1.9397,2.3636,1.2185389493220602,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cheetah-run/chaos/paper_horizon/s1,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cheetah-run/chaos/adaptive_rhs/s1
cheetah-run,chaos,15,528.18994140625,540.9439697265625,2.414667020420011,True,1.9486,2.1908,1.124294365185261,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cheetah-run/chaos/paper_horizon/s15,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cheetah-run/chaos/adaptive_rhs/s15
cheetah-run,chaos,7,515.3593139648438,595.9439086914062,15.636584523251623,True,1.9381,2.1036,1.0853929105825293,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cheetah-run/chaos/paper_horizon/s7,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cheetah-run/chaos/adaptive_rhs/s7
cheetah-run,clean,1,926.1539306640624,946.55224609375,2.2024757175151004,True,1.5064,1.6178,1.0739511417950078,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cheetah-run/clean/paper_horizon/s1,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cheetah-run/clean/adaptive_rhs/s1
cheetah-run,clean,15,850.7359619140625,905.61279296875,6.450512675074962,True,1.4961,1.6339,1.0921061426375243,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cheetah-run/clean/paper_horizon/s15,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cheetah-run/clean/adaptive_rhs/s15
cheetah-run,clean,7,943.9610595703124,942.650390625,-0.1388477768255608,False,1.5033,1.6353,1.0878068249850328,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cheetah-run/clean/paper_horizon/s7,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cheetah-run/clean/adaptive_rhs/s7
finger-turn_hard,chaos,1,651.0,448.7000122070313,-31.075266942084284,False,1.9503,2.0511,1.0516843562528841,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/finger-turn_hard/chaos/paper_horizon/s1,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/finger-turn_hard/chaos/adaptive_rhs/s1
finger-turn_hard,chaos,15,510.1000061035156,753.4500122070312,47.706332717457784,True,1.9692,2.0622,1.047227300426569,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/finger-turn_hard/chaos/paper_horizon/s15,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/finger-turn_hard/chaos/adaptive_rhs/s15
finger-turn_hard,chaos,7,580.4500122070312,838.75,44.49995389109234,True,1.9353,2.2081,1.1409600578721646,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/finger-turn_hard/chaos/paper_horizon/s7,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/finger-turn_hard/chaos/adaptive_rhs/s7
finger-turn_hard,clean,1,772.7000122070312,918.7999877929688,18.907722696760175,True,1.4947,1.6567,1.1083829531009568,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/finger-turn_hard/clean/paper_horizon/s1,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/finger-turn_hard/clean/adaptive_rhs/s1
finger-turn_hard,clean,15,884.5999755859375,928.9000244140624,5.007918839109352,True,1.4978,1.6033,1.0704366404059287,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/finger-turn_hard/clean/paper_horizon/s15,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/finger-turn_hard/clean/adaptive_rhs/s15
finger-turn_hard,clean,7,818.2000122070312,916.9500122070312,12.069176060463445,True,1.5031,1.6036,1.066861818907591,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/finger-turn_hard/clean/paper_horizon/s7,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/finger-turn_hard/clean/adaptive_rhs/s7
hopper-hop,chaos,1,166.8194122314453,278.0970153808594,66.70542813987828,True,2.145,2.4625,1.148018648018648,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/hopper-hop/chaos/paper_horizon/s1,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/hopper-hop/chaos/adaptive_rhs/s1
hopper-hop,chaos,15,158.22964477539062,138.97103881835938,-12.17130075996134,False,2.1658,2.5467,1.1758703481392556,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/hopper-hop/chaos/paper_horizon/s15,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/hopper-hop/chaos/adaptive_rhs/s15
hopper-hop,chaos,7,292.3993835449219,159.09022521972656,-45.591463534913636,False,2.1378,2.5819,1.207736925811582,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/hopper-hop/chaos/paper_horizon/s7,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/hopper-hop/chaos/adaptive_rhs/s7
hopper-hop,clean,1,542.8048706054688,570.1458740234375,5.0369856459599145,True,1.7208,1.8286,1.062645281264528,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/hopper-hop/clean/paper_horizon/s1,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/hopper-hop/clean/adaptive_rhs/s1
hopper-hop,clean,15,559.2755126953125,357.9227294921875,-36.00243147295095,False,1.7308,1.8725,1.0818696556505663,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/hopper-hop/clean/paper_horizon/s15,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/hopper-hop/clean/adaptive_rhs/s15
hopper-hop,clean,7,514.8854370117188,469.6629028320313,-8.783028403784158,False,1.7144,1.8572,1.0832944470368642,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/hopper-hop/clean/paper_horizon/s7,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/hopper-hop/clean/adaptive_rhs/s7
quadruped-run,chaos,1,660.83251953125,732.8848876953125,10.90327216571781,True,2.4253,2.64,1.08852513091164,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/quadruped-run/chaos/paper_horizon/s1,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/quadruped-run/chaos/adaptive_rhs/s1
quadruped-run,chaos,15,576.1348876953125,810.0067138671875,40.59324147291659,True,2.4244,2.5639,1.0575400098993566,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/quadruped-run/chaos/paper_horizon/s15,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/quadruped-run/chaos/adaptive_rhs/s15
quadruped-run,chaos,7,807.7684936523438,722.1163330078125,-10.603553037486401,False,2.4144,2.5597,1.0601805831676605,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/quadruped-run/chaos/paper_horizon/s7,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/quadruped-run/chaos/adaptive_rhs/s7
quadruped-run,clean,1,881.8361206054688,913.6036376953124,3.6024286539807484,True,1.9267,2.1294,1.1052057922873306,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/quadruped-run/clean/paper_horizon/s1,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/quadruped-run/clean/adaptive_rhs/s1
quadruped-run,clean,15,910.9554443359376,923.7684326171876,1.4065439051841147,True,1.9872,2.2486,1.1315418679549114,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/quadruped-run/clean/paper_horizon/s15,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/quadruped-run/clean/adaptive_rhs/s15
quadruped-run,clean,7,879.2933349609375,839.8955078125,-4.480623880788058,False,1.955,2.0992,1.073759590792839,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/quadruped-run/clean/paper_horizon/s7,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/quadruped-run/clean/adaptive_rhs/s7
