env_id,regime,method,seed,job_id,wall_hours,slurm_state,checkpoint_ok
cheetah-run,clean,adaptive_rhs,15,2010,1.6339,COMPLETED,True
cheetah-run,chaos,adaptive_rhs,15,2011,2.1908,COMPLETED,True
quadruped-run,clean,adaptive_rhs,15,2008,2.2486,COMPLETED,True
quadruped-run,chaos,adaptive_rhs,15,2009,2.5639,COMPLETED,True
cheetah-run,clean,paper_horizon,15,2018,1.4961,COMPLETED,True
cheetah-run,chaos,paper_horizon,15,2019,1.9486,COMPLETED,True
quadruped-run,clean,paper_horizon,15,2016,1.9872,COMPLETED,True
quadruped-run,chaos,paper_horizon,15,2017,2.4244,COMPLETED,True
hopper-hop,clean,paper_horizon,15,2020,1.7308,COMPLETED,True
hopper-hop,clean,adaptive_rhs,15,2022,1.8725,COMPLETED,True
hopper-hop,chaos,paper_horizon,15,2024,2.1658,COMPLETED,True
finger-turn_hard,clean,paper_horizon,15,2031,1.4978,COMPLETED,True
hopper-hop,chaos,adaptive_rhs,15,2029,2.5467,COMPLETED,True
finger-turn_hard,clean,adaptive_rhs,15,2032,1.6033,COMPLETED,True
finger-turn_hard,chaos,paper_horizon,15,2033,1.9692,COMPLETED,True
fish-swim,clean,paper_horizon,15,2035,1.3894,COMPLETED,True
finger-turn_hard,chaos,adaptive_rhs,15,2034,2.0622,COMPLETED,True
fish-swim,clean,adaptive_rhs,15,2036,1.5189,COMPLETED,True
fish-swim,chaos,paper_horizon,15,2037,1.8586,COMPLETED,True
cartpole-swingup,clean,paper_horizon,15,2039,1.3714,COMPLETED,True
fish-swim,chaos,adaptive_rhs,15,2038,1.8678,COMPLETED,True
cartpole-swingup,clean,adaptive_rhs,15,2040,1.8614,COMPLETED,True
cartpole-swingup,chaos,paper_horizon,15,2041,1.8119,COMPLETED,True
quadruped-run,clean,paper_horizon,1,2043,1.9267,COMPLETED,True
cartpole-swingup,chaos,adaptive_rhs,15,2042,2.1781,COMPLETED,True
quadruped-run,clean,adaptive_rhs,1,2044,2.1294,COMPLETED,True
cheetah-run,clean,paper_horizon,1,2047,1.5064,COMPLETED,True
quadruped-run,chaos,paper_horizon,1,2045,2.4253,COMPLETED,True
cheetah-run,clean,adaptive_rhs,1,2048,1.6178,COMPLETED,True
quadruped-run,chaos,adaptive_rhs,1,2046,2.6400,COMPLETED,True
cheetah-run,chaos,paper_horizon,1,2049,1.9397,COMPLETED,True
cheetah-run,chaos,adaptive_rhs,1,2050,2.3636,COMPLETED,True
hopper-hop,clean,paper_horizon,1,2051,1.7208,COMPLETED,True
hopper-hop,clean,adaptive_rhs,1,2052,1.8286,COMPLETED,True
hopper-hop,chaos,paper_horizon,1,2053,2.1450,COMPLETED,True
finger-turn_hard,clean,paper_horizon,1,2055,1.4947,COMPLETED,True
finger-turn_hard,clean,adaptive_rhs,1,2056,1.6567,COMPLETED,True
hopper-hop,chaos,adaptive_rhs,1,2054,2.4625,COMPLETED,True
finger-turn_hard,chaos,paper_horizon,1,2057,1.9503,COMPLETED,True
fish-swim,clean,paper_horizon,1,2059,1.4044,COMPLETED,True
finger-turn_hard,chaos,adaptive_rhs,1,2058,2.0511,COMPLETED,True
fish-swim,clean,adaptive_rhs,1,2060,1.5214,COMPLETED,True
fish-swim,chaos,paper_horizon,1,2061,1.8300,COMPLETED,True
fish-swim,chaos,adaptive_rhs,1,2062,1.8769,COMPLETED,True
cartpole-swingup,clean,paper_horizon,1,2064,1.3750,COMPLETED,True
cartpole-swingup,clean,adaptive_rhs,1,2065,1.9489,COMPLETED,True
cartpole-swingup,chaos,paper_horizon,1,2066,1.7642,COMPLETED,True
cartpole-swingup,chaos,adaptive_rhs,1,2068,2.0417,COMPLETED,True
quadruped-run,clean,paper_horizon,7,2072,1.9550,COMPLETED,True
quadruped-run,clean,adaptive_rhs,7,2073,2.0992,COMPLETED,True
quadruped-run,chaos,paper_horizon,7,2074,2.4144,COMPLETED,True
cheetah-run,clean,paper_horizon,7,2076,1.5033,COMPLETED,True
cheetah-run,clean,adaptive_rhs,7,2077,1.6353,COMPLETED,True
quadruped-run,chaos,adaptive_rhs,7,2075,2.5597,COMPLETED,True
cheetah-run,chaos,paper_horizon,7,2078,1.9381,COMPLETED,True
hopper-hop,clean,paper_horizon,7,2082,1.7144,COMPLETED,True
cheetah-run,chaos,adaptive_rhs,7,2081,2.1036,COMPLETED,True
hopper-hop,clean,adaptive_rhs,7,2083,1.8572,COMPLETED,True
hopper-hop,chaos,paper_horizon,7,2084,2.1378,COMPLETED,True
finger-turn_hard,clean,paper_horizon,7,2086,1.5031,COMPLETED,True
finger-turn_hard,clean,adaptive_rhs,7,2087,1.6036,COMPLETED,True
hopper-hop,chaos,adaptive_rhs,7,2085,2.5819,COMPLETED,True
finger-turn_hard,chaos,paper_horizon,7,2088,1.9353,COMPLETED,True
fish-swim,clean,paper_horizon,7,2090,1.4208,COMPLETED,True
finger-turn_hard,chaos,adaptive_rhs,7,2089,2.2081,COMPLETED,True
fish-swim,clean,adaptive_rhs,7,2091,1.5108,COMPLETED,True
fish-swim,chaos,paper_horizon,7,2092,1.8397,COMPLETED,True
cartpole-swingup,clean,paper_horizon,7,2094,1.3653,COMPLETED,True
fish-swim,chaos,adaptive_rhs,7,2093,1.9403,COMPLETED,True
cartpole-swingup,clean,adaptive_rhs,7,2095,1.6233,COMPLETED,True
cartpole-swingup,chaos,paper_horizon,7,2096,1.7828,COMPLETED,True
cartpole-swingup,chaos,adaptive_rhs,7,2097,2.1478,COMPLETED,True
