env_id,regime,method,seed,paper_horizon,final_step,final_score,best_score,job_id,wall_hours,checkpoint_ok,run_dir
cheetah-run,clean,adaptive_rhs,15,3,500000,905.613,933.242,2010,1.6339,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cheetah-run/clean/adaptive_rhs/s15
cheetah-run,chaos,adaptive_rhs,15,3,500000,540.944,582.939,2011,2.1908,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cheetah-run/chaos/adaptive_rhs/s15
quadruped-run,clean,adaptive_rhs,15,3,500000,923.768,923.768,2008,2.2486,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/quadruped-run/clean/adaptive_rhs/s15
quadruped-run,chaos,adaptive_rhs,15,3,500000,810.007,810.007,2009,2.5639,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/quadruped-run/chaos/adaptive_rhs/s15
cheetah-run,clean,paper_horizon,15,3,500000,850.736,946.516,2018,1.4961,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cheetah-run/clean/paper_horizon/s15
cheetah-run,chaos,paper_horizon,15,3,500000,528.19,575.208,2019,1.9486,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cheetah-run/chaos/paper_horizon/s15
quadruped-run,clean,paper_horizon,15,3,500000,910.955,911.559,2016,1.9872,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/quadruped-run/clean/paper_horizon/s15
quadruped-run,chaos,paper_horizon,15,3,500000,576.135,675.891,2017,2.4244,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/quadruped-run/chaos/paper_horizon/s15
hopper-hop,clean,paper_horizon,15,3,500000,559.276,567.306,2020,1.7308,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/hopper-hop/clean/paper_horizon/s15
hopper-hop,clean,adaptive_rhs,15,3,500000,357.923,562.039,2022,1.8725,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/hopper-hop/clean/adaptive_rhs/s15
hopper-hop,chaos,paper_horizon,15,3,500000,158.23,158.23,2024,2.1658,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/hopper-hop/chaos/paper_horizon/s15
finger-turn_hard,clean,paper_horizon,15,3,500000,884.6,973.1,2031,1.4978,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/finger-turn_hard/clean/paper_horizon/s15
hopper-hop,chaos,adaptive_rhs,15,3,500000,138.971,155.995,2029,2.5467,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/hopper-hop/chaos/adaptive_rhs/s15
finger-turn_hard,clean,adaptive_rhs,15,3,500000,928.9,978.15,2032,1.6033,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/finger-turn_hard/clean/adaptive_rhs/s15
