scope,n,mean_pct_delta_vs_baseline,var_pct_delta_vs_baseline,std_pct_delta_vs_baseline,rhs_wins,rhs_win_rate
all_valid_pairs,33,4.72128,541.169,23.263,22,0.666667
regime=chaos,15,11.4269,984.241,31.3726,11,0.733333
regime=clean,18,-0.866737,135.382,11.6354,11,0.611111
env=cartpole-swingup,6,0.218064,1.4627,1.20942,5,0.833333
env=cheetah-run,6,11.3194,247.592,15.735,5,0.833333
env=finger-turn_hard,6,16.186,835.629,28.9072,5,0.833333
env=fish-swim,3,-7.05135,75.1301,8.66776,1,0.333333
env=hopper-hop,6,-5.1343,1583.37,39.7916,2,0.333333
env=quadruped-run,6,6.90355,325.641,18.0455,4,0.666667
"env=cartpole-swingup,regime=chaos",3,0.344812,0.0494635,0.222404,3,1
"env=cartpole-swingup,regime=clean",3,0.0913158,3.5591,1.88656,2,0.666667
"env=cheetah-run,regime=chaos",3,19.8008,392.019,19.7995,3,1
"env=cheetah-run,regime=clean",3,2.83805,11.1579,3.34034,2,0.666667
"env=finger-turn_hard,regime=chaos",3,20.377,1988.07,44.5878,2,0.666667
"env=finger-turn_hard,regime=clean",3,11.9949,48.3053,6.9502,3,1
"env=fish-swim,regime=clean",3,-7.05135,75.1301,8.66776,1,0.333333
"env=hopper-hop,regime=chaos",3,2.98089,3324.84,57.6614,1,0.333333
"env=hopper-hop,regime=clean",3,-13.2495,436.02,20.8811,1,0.333333
"env=quadruped-run,regime=chaos",3,13.631,660.858,25.7072,2,0.666667
"env=quadruped-run,regime=clean",3,0.176116,17.4694,4.17964,2,0.666667
