step,tag,value
0,timing/prewarm_dense_rhs_s,224.33133181929588
0,system/heartbeat,1.0
3992,episode/return,9.792936427055476e-12
3992,episode/length,500.0
3993,episode/return,0.0026445193216204643
3993,episode/length,500.0
3994,episode/return,11.618054389953613
3994,episode/length,500.0
3995,episode/return,1.7584891054411855e-07
3995,episode/length,500.0
3996,episode/return,3.8871711183219304e-08
3996,episode/length,500.0
3997,episode/return,0.6870405673980713
3997,episode/length,500.0
3998,episode/return,0.006526640150696039
3998,episode/length,500.0
3999,episode/return,0.0019410429522395134
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,48.163464904762805
4000,timing/train_chunk_s,245.49364487128332
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,48.163464904762805
4000,timing/train_chunk_s,246.57558132568374
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,48.163464904762805
4000,timing/train_chunk_s,247.6595245692879
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,48.163464904762805
4000,timing/train_chunk_s,248.7427927753888
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,48.163464904762805
4000,timing/train_chunk_s,249.82286410033703
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,48.163464904762805
4000,timing/train_chunk_s,250.90198154002428
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,48.163464904762805
4000,timing/train_chunk_s,251.98110074503347
4000,system/heartbeat,1.0
7992,episode/return,3.5761446952819824
7992,episode/length,500.0
7993,episode/return,67.3520736694336
7993,episode/length,500.0
7994,episode/return,52.51655578613281
7994,episode/length,500.0
7995,episode/return,17.31680679321289
7995,episode/length,500.0
7996,episode/return,9.274603843688965
7996,episode/length,500.0
7997,episode/return,0.09028929471969604
7997,episode/length,500.0
7998,episode/return,6.424864292144775
7998,episode/length,500.0
7999,episode/return,51.87081527709961
7999,episode/length,500.0
10000,train/consistency_loss_mean,7.976072010933422e-05
10000,train/consistency_loss_std,0.000323101726735257
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,0.2031598553419113
10000,train/grad_norm_std,0.19147550219223097
10000,train/policy_log_std_mean,-0.2738497292742133
10000,train/policy_log_std_std,0.6199671972886747
10000,train/policy_loss_mean,-0.04769001122117043
10000,train/policy_loss_std,0.04387668321818055
10000,train/reward_loss_mean,0.022335792689025403
10000,train/reward_loss_std,0.08650468323019048
10000,train/total_loss_mean,0.01972176388502121
10000,train/total_loss_std,0.02297340025586995
10000,train/value_loss_mean,0.15892969869375229
10000,train/value_loss_std,0.08493010767219906
10000,train/value_scale_mean,1.604166296195984
