step,env_index,episode_index,episode_return,episode_length,selected_horizon
3992,0,0,6.19243252231172e-08,500,3
3993,1,0,0.40157994627952576,500,3
3994,2,0,0.13785238564014435,500,3
3995,3,0,3.7750769621425206e-08,500,3
3996,4,0,0.31590536236763,500,3
3997,5,0,3.4338372643105686e-06,500,3
3998,6,0,0.210135817527771,500,3
3999,7,0,1.7891914467327297e-05,500,3
7992,0,1,0.14503011107444763,500,3
7993,1,1,84.02764892578125,500,3
7994,2,1,34.4981803894043,500,3
7995,3,1,22.608129501342773,500,3
7996,4,1,7.776474952697754,500,3
7997,5,1,134.19873046875,500,3
7998,6,1,0.4012588560581207,500,3
7999,7,1,108.9292984008789,500,3
11992,0,2,70.2615737915039,500,3
11993,1,2,48.767616271972656,500,3
11994,2,2,53.892677307128906,500,3
11995,3,2,1.5519075393676758,500,3
11996,4,2,1.406152367591858,500,3
11997,5,2,42.06462478637695,500,3
11998,6,2,32.480247497558594,500,3
11999,7,2,46.75484085083008,500,3
15992,0,3,105.24810791015625,500,3
15993,1,3,30.177162170410156,500,3
15994,2,3,25.558286666870117,500,3
15995,3,3,104.83291625976562,500,3
15996,4,3,23.533802032470703,500,3
15997,5,3,28.854333877563477,500,3
15998,6,3,41.74421310424805,500,3
15999,7,3,15.95147705078125,500,3
19992,0,4,69.53509521484375,500,3
19993,1,4,5.672092914581299,500,3
19994,2,4,10.59304428100586,500,3
19995,3,4,27.47203826904297,500,3
19996,4,4,233.7467041015625,500,3
19997,5,4,141.21041870117188,500,3
19998,6,4,112.71739959716797,500,3
19999,7,4,108.5135726928711,500,3
23992,0,5,197.19586181640625,500,3
23993,1,5,49.285179138183594,500,3
23994,2,5,4.722990989685059,500,3
23995,3,5,0.17395378649234772,500,3
23996,4,5,126.8801498413086,500,3
23997,5,5,166.3721923828125,500,3
23998,6,5,38.210533142089844,500,3
23999,7,5,296.3529968261719,500,3
27992,0,6,80.8292236328125,500,3
27993,1,6,241.95550537109375,500,3
27994,2,6,148.25389099121094,500,3
27995,3,6,112.09679412841797,500,3
27996,4,6,0.07022333890199661,500,3
27997,5,6,37.74665069580078,500,3
27998,6,6,0.015227055177092552,500,3
27999,7,6,282.0514831542969,500,3
31992,0,7,100.04755401611328,500,3
31993,1,7,181.23419189453125,500,3
31994,2,7,0.06764796376228333,500,3
31995,3,7,0.32922834157943726,500,3
31996,4,7,422.3237609863281,500,3
31997,5,7,149.3296356201172,500,3
31998,6,7,150.76199340820312,500,3
31999,7,7,0.06407137215137482,500,3
35992,0,8,202.61473083496094,500,3
35993,1,8,202.95005798339844,500,3
35994,2,8,270.7801208496094,500,3
35995,3,8,40.283042907714844,500,3
35996,4,8,126.44693756103516,500,3
35997,5,8,161.19134521484375,500,3
35998,6,8,164.8132781982422,500,3
35999,7,8,108.68644714355469,500,3
39992,0,9,88.1418228149414,500,3
39993,1,9,185.573486328125,500,3
39994,2,9,188.95953369140625,500,3
39995,3,9,96.2523193359375,500,3
39996,4,9,116.64067840576172,500,3
39997,5,9,92.87152862548828,500,3
39998,6,9,65.52677154541016,500,3
39999,7,9,164.704345703125,500,3
43992,0,10,387.1446228027344,500,3
43993,1,10,0.07632004469633102,500,3
43994,2,10,118.00801849365234,500,3
43995,3,10,82.89130401611328,500,3
43996,4,10,166.32427978515625,500,3
43997,5,10,101.6455078125,500,3
43998,6,10,248.34642028808594,500,3
43999,7,10,250.25233459472656,500,3
47992,0,11,405.11883544921875,500,3
47993,1,11,423.5134582519531,500,3
47994,2,11,181.57904052734375,500,3
47995,3,11,339.61981201171875,500,3
47996,4,11,0.07374424487352371,500,3
47997,5,11,338.720947265625,500,3
47998,6,11,0.09064806252717972,500,3
47999,7,11,222.90757751464844,500,3
51992,0,12,149.16647338867188,500,3
51993,1,12,40.78726577758789,500,3
51994,2,12,202.5997772216797,500,3
51995,3,12,215.3068389892578,500,3
51996,4,12,342.3809814453125,500,3
51997,5,12,415.8962097167969,500,3
51998,6,12,288.6465759277344,500,3
51999,7,12,9.96187686920166,500,3
55992,0,13,329.5834655761719,500,3
55993,1,13,278.206787109375,500,3
55994,2,13,412.96978759765625,500,3
55995,3,13,116.14002990722656,500,3
55996,4,13,74.39752197265625,500,3
55997,5,13,350.61517333984375,500,3
55998,6,13,415.3022155761719,500,3
55999,7,13,243.6247100830078,500,3
59992,0,14,444.2376708984375,500,3
59993,1,14,368.3076171875,500,3
59994,2,14,301.96722412109375,500,3
59995,3,14,4.814292609012227e-08,500,3
59996,4,14,388.8499450683594,500,3
59997,5,14,391.5218505859375,500,3
59998,6,14,298.8970031738281,500,3
59999,7,14,218.8470458984375,500,3
63992,0,15,352.0086669921875,500,3
63993,1,15,443.09326171875,500,3
63994,2,15,552.5804443359375,500,3
63995,3,15,170.27606201171875,500,3
63996,4,15,410.529541015625,500,3
63997,5,15,381.6472473144531,500,3
63998,6,15,275.9223937988281,500,3
63999,7,15,343.753662109375,500,3
67992,0,16,194.74880981445312,500,3
67993,1,16,399.33258056640625,500,3
67994,2,16,330.0279235839844,500,3
67995,3,16,302.965087890625,500,3
67996,4,16,107.4736557006836,500,3
67997,5,16,503.3104248046875,500,3
67998,6,16,206.31024169921875,500,3
67999,7,16,293.548095703125,500,3
71992,0,17,548.4228515625,500,3
71993,1,17,163.07186889648438,500,3
71994,2,17,390.15289306640625,500,3
71995,3,17,624.9714965820312,500,3
71996,4,17,134.34439086914062,500,3
71997,5,17,157.33023071289062,500,3
71998,6,17,334.5812683105469,500,3
71999,7,17,396.5754089355469,500,3
75992,0,18,437.3987121582031,500,3
75993,1,18,410.587158203125,500,3
75994,2,18,400.04241943359375,500,3
75995,3,18,398.4363708496094,500,3
75996,4,18,287.32208251953125,500,3
75997,5,18,386.6856384277344,500,3
75998,6,18,507.9855041503906,500,3
75999,7,18,203.8692626953125,500,3
79992,0,19,425.3155212402344,500,3
79993,1,19,295.158935546875,500,3
79994,2,19,354.8712463378906,500,3
79995,3,19,492.5316467285156,500,3
79996,4,19,333.1354675292969,500,3
79997,5,19,104.48020935058594,500,3
79998,6,19,216.0009307861328,500,3
79999,7,19,428.6734619140625,500,3
83992,0,20,466.34356689453125,500,3
83993,1,20,307.1104431152344,500,3
83994,2,20,419.6143798828125,500,3
83995,3,20,418.3376770019531,500,3
83996,4,20,526.3795776367188,500,3
83997,5,20,255.01942443847656,500,3
83998,6,20,502.2689208984375,500,3
83999,7,20,192.7470703125,500,3
87992,0,21,325.613525390625,500,3
87993,1,21,516.214111328125,500,3
87994,2,21,331.8840637207031,500,3
87995,3,21,151.8756561279297,500,3
87996,4,21,519.6409301757812,500,3
87997,5,21,420.1837463378906,500,3
87998,6,21,370.2156066894531,500,3
87999,7,21,402.63568115234375,500,3
91992,0,22,578.3876342773438,500,3
91993,1,22,362.5085144042969,500,3
91994,2,22,526.1111450195312,500,3
91995,3,22,412.27276611328125,500,3
91996,4,22,469.25897216796875,500,3
91997,5,22,275.6533508300781,500,3
91998,6,22,409.0054626464844,500,3
