step,tag,value
3992,episode/return,1.4106543064117432
3992,episode/length,500.0
3993,episode/return,0.1616779863834381
3993,episode/length,500.0
3994,episode/return,2.243086161257679e-09
3994,episode/length,500.0
3995,episode/return,0.03907155245542526
3995,episode/length,500.0
3996,episode/return,3.956389904022217
3996,episode/length,500.0
3997,episode/return,0.04463925212621689
3997,episode/length,500.0
3998,episode/return,0.0002722698845900595
3998,episode/length,500.0
3999,episode/return,0.004045827779918909
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,50.442776451818645
4000,timing/train_chunk_s,247.33494126005098
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,50.442776451818645
4000,timing/train_chunk_s,248.45032835006714
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,50.442776451818645
4000,timing/train_chunk_s,249.56578345783055
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,50.442776451818645
4000,timing/train_chunk_s,250.6801806166768
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,50.442776451818645
4000,timing/train_chunk_s,251.7941256603226
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,50.442776451818645
4000,timing/train_chunk_s,252.9061184572056
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,50.442776451818645
4000,timing/train_chunk_s,254.01921712001786
4000,system/heartbeat,1.0
7992,episode/return,28.67755126953125
7992,episode/length,500.0
7993,episode/return,64.57077026367188
7993,episode/length,500.0
7994,episode/return,4.266627311706543
7994,episode/length,500.0
7995,episode/return,15.322077751159668
7995,episode/length,500.0
7996,episode/return,0.07678138464689255
7996,episode/length,500.0
7997,episode/return,5.170695781707764
7997,episode/length,500.0
7998,episode/return,12.038081169128418
7998,episode/length,500.0
7999,episode/return,45.62981033325195
7999,episode/length,500.0
10000,train/consistency_loss_mean,8.15331734745996e-05
10000,train/consistency_loss_std,0.0003317882153677172
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,0.24203164415359496
10000,train/grad_norm_std,0.20218604934692203
10000,train/policy_log_std_mean,-0.3433454623222351
10000,train/policy_log_std_std,0.4833945434349539
10000,train/policy_loss_mean,-0.05283110211193562
10000,train/policy_loss_std,0.04041974965165528
10000,train/reward_loss_mean,0.023568630811572074
10000,train/reward_loss_std,0.08689967751508992
10000,train/total_loss_mean,0.019689519818127155
10000,train/total_loss_std,0.023361637792074758
10000,train/value_loss_mean,0.1570199290037155
10000,train/value_loss_std,0.08794639769177949
10000,train/value_scale_mean,1.8335403148651124
10000,train/value_scale_std,1.566054159543103
10000,timing/collect_chunk_s,263.8074035933241
