step,tag,value
0,timing/prewarm_dense_rhs_s,224.08274410106242
0,system/heartbeat,1.0
3992,episode/return,2.9671101570129395
3992,episode/length,500.0
3993,episode/return,1.8004542589187622
3993,episode/length,500.0
3994,episode/return,2.381190356004481e-09
3994,episode/length,500.0
3995,episode/return,0.023023422807455063
3995,episode/length,500.0
3996,episode/return,9.273876190185547
3996,episode/length,500.0
3997,episode/return,0.03735721856355667
3997,episode/length,500.0
3998,episode/return,0.00028447105432860553
3998,episode/length,500.0
3999,episode/return,0.0040039680898189545
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,48.52415681025013
4000,timing/train_chunk_s,245.05467047775164
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,48.52415681025013
4000,timing/train_chunk_s,246.16931358492002
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,48.52415681025013
4000,timing/train_chunk_s,247.28328229812905
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,48.52415681025013
4000,timing/train_chunk_s,248.39796384237707
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,48.52415681025013
4000,timing/train_chunk_s,249.51297138165683
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,48.52415681025013
4000,timing/train_chunk_s,250.6275219451636
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,48.52415681025013
4000,timing/train_chunk_s,251.74100279202685
4000,system/heartbeat,1.0
7992,episode/return,83.18964385986328
7992,episode/length,500.0
7993,episode/return,36.861568450927734
7993,episode/length,500.0
7994,episode/return,0.07318276166915894
7994,episode/length,500.0
7995,episode/return,2.725440740585327
7995,episode/length,500.0
7996,episode/return,15.446264266967773
7996,episode/length,500.0
7997,episode/return,9.049351692199707
7997,episode/length,500.0
7998,episode/return,0.33991700410842896
7998,episode/length,500.0
7999,episode/return,0.08174210786819458
7999,episode/length,500.0
10000,train/consistency_loss_mean,7.590435737365625e-05
10000,train/consistency_loss_std,0.0003300609675474107
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,0.27170267845392226
10000,train/grad_norm_std,0.2078096995088418
10000,train/policy_log_std_mean,-0.5302967096328736
10000,train/policy_log_std_std,0.5224840639330056
10000,train/policy_loss_mean,-0.08642188742160797
10000,train/policy_loss_std,0.04399887594232838
10000,train/reward_loss_mean,0.028757589474320413
10000,train/reward_loss_std,0.08678471878163777
10000,train/total_loss_mean,0.02710184800773859
10000,train/total_loss_std,0.022787894778224325
10000,train/value_loss_mean,0.2270800141096115
10000,train/value_loss_std,0.0817077672984908
10000,train/value_scale_mean,1.7103854606628417
10000,train/value_scale_std,0.8383365733221159
10000,timing/collect_chunk_s,228.60008440958336
10000,timing/train_chunk_s,311.04225099040195
10000,dense_rhs/training_bucket_horizon,3.0
10000,system/heartbeat,1.0
11992,episode/return,57.14460754394531
11992,episode/length,500.0
11993,episode/return,27.64748191833496
11993,episode/length,500.0
11994,episode/return,26.292739868164062
11994,episode/length,500.0
11995,episode/return,21.628416061401367
11995,episode/length,500.0
11996,episode/return,6.638126373291016
11996,episode/length,500.0
11997,episode/return,76.54395294189453
11997,episode/length,500.0
11998,episode/return,29.112422943115234
11998,episode/length,500.0
11999,episode/return,21.8017578125
11999,episode/length,500.0
15992,episode/return,0.17864421010017395
15992,episode/length,500.0
15993,episode/return,140.35714721679688
15993,episode/length,500.0
15994,episode/return,34.989009857177734
15994,episode/length,500.0
15995,episode/return,100.17524719238281
15995,episode/length,500.0
15996,episode/return,126.06322479248047
15996,episode/length,500.0
15997,episode/return,37.43812561035156
15997,episode/length,500.0
15998,episode/return,58.036529541015625
15998,episode/length,500.0
15999,episode/return,113.6760482788086
15999,episode/length,500.0
19992,episode/return,71.53759002685547
19992,episode/length,500.0
19993,episode/return,105.33146667480469
19993,episode/length,500.0
19994,episode/return,64.09156036376953
19994,episode/length,500.0
19995,episode/return,163.2235565185547
19995,episode/length,500.0
19996,episode/return,24.09538459777832
19996,episode/length,500.0
19997,episode/return,187.2581787109375
19997,episode/length,500.0
19998,episode/return,80.44841766357422
19998,episode/length,500.0
19999,episode/return,161.57330322265625
19999,episode/length,500.0
20000,train/consistency_loss_mean,5.571523657999933e-05
20000,train/consistency_loss_std,1.5084451596813267e-05
20000,train/continue_loss_mean,0.0
20000,train/continue_loss_std,0.0
20000,train/grad_norm_mean,0.7642703244686126
20000,train/grad_norm_std,0.36461629382313715
20000,train/policy_log_std_mean,-0.6498386365175247
20000,train/policy_log_std_std,0.41544983697417703
20000,train/policy_loss_mean,-0.11261673732995987
20000,train/policy_loss_std,0.022265183597326235
20000,train/reward_loss_mean,0.05855787228345871
20000,train/reward_loss_std,0.010835139386511426
