step,env_index,episode_index,episode_return,episode_length,selected_horizon
3992,0,0,9.668925382566584e-12,500,3
3993,1,0,0.002711946377530694,500,3
3994,2,0,11.426204681396484,500,3
3995,3,0,1.7191571544117323e-07,500,3
3996,4,0,3.892300171060015e-08,500,3
3997,5,0,0.6422036290168762,500,3
3998,6,0,0.003240379970520735,500,3
3999,7,0,0.0019479070324450731,500,3
7992,0,1,5.822540760040283,500,3
7993,1,1,45.547035217285156,500,3
7994,2,1,23.500099182128906,500,3
7995,3,1,85.16500854492188,500,3
7996,4,1,0.20919767022132874,500,3
7997,5,1,33.52769088745117,500,3
7998,6,1,66.04615783691406,500,3
7999,7,1,3.2800252437591553,500,3
11992,0,2,26.85088539123535,500,3
11993,1,2,71.86336517333984,500,3
11994,2,2,76.31060028076172,500,3
11995,3,2,53.3284912109375,500,3
11996,4,2,85.760986328125,500,3
11997,5,2,0.06072242930531502,500,3
11998,6,2,69.2603988647461,500,3
11999,7,2,0.0924309492111206,500,3
15992,0,3,0.09510080516338348,500,3
15993,1,3,159.59117126464844,500,3
15994,2,3,55.4611701965332,500,3
15995,3,3,135.4043731689453,500,3
15996,4,3,67.08578491210938,500,3
15997,5,3,97.73795318603516,500,3
15998,6,3,40.94596862792969,500,3
15999,7,3,7.0932512283325195,500,3
19992,0,4,95.9587631225586,500,3
19993,1,4,128.5408935546875,500,3
19994,2,4,124.36345672607422,500,3
19995,3,4,58.35055923461914,500,3
19996,4,4,34.260963439941406,500,3
19997,5,4,39.62749481201172,500,3
19998,6,4,19.714073181152344,500,3
19999,7,4,5.238114356994629,500,3
23992,0,5,60.12965774536133,500,3
23993,1,5,241.99761962890625,500,3
23994,2,5,78.35690307617188,500,3
23995,3,5,11.596341133117676,500,3
23996,4,5,154.96585083007812,500,3
23997,5,5,166.38548278808594,500,3
23998,6,5,231.05398559570312,500,3
23999,7,5,12.749029159545898,500,3
27992,0,6,260.936767578125,500,3
27993,1,6,160.45303344726562,500,3
27994,2,6,437.37432861328125,500,3
27995,3,6,260.2866516113281,500,3
27996,4,6,155.65704345703125,500,3
27997,5,6,38.103553771972656,500,3
27998,6,6,0.06713946163654327,500,3
27999,7,6,162.7309112548828,500,3
31992,0,7,320.6280212402344,500,3
31993,1,7,134.67303466796875,500,3
31994,2,7,126.35708618164062,500,3
31995,3,7,133.13760375976562,500,3
31996,4,7,271.43841552734375,500,3
31997,5,7,296.77142333984375,500,3
31998,6,7,108.36910247802734,500,3
31999,7,7,153.18418884277344,500,3
35992,0,8,228.68350219726562,500,3
35993,1,8,369.76837158203125,500,3
35994,2,8,57.48749542236328,500,3
35995,3,8,216.1051483154297,500,3
35996,4,8,352.703125,500,3
35997,5,8,0.07472220808267593,500,3
35998,6,8,243.59521484375,500,3
35999,7,8,123.8855972290039,500,3
39992,0,9,382.042236328125,500,3
39993,1,9,251.19541931152344,500,3
39994,2,9,151.76785278320312,500,3
39995,3,9,233.89898681640625,500,3
39996,4,9,249.4937286376953,500,3
39997,5,9,281.3101806640625,500,3
39998,6,9,230.6444854736328,500,3
39999,7,9,376.0377502441406,500,3
43992,0,10,121.24447631835938,500,3
43993,1,10,245.6423797607422,500,3
43994,2,10,322.7525634765625,500,3
43995,3,10,365.02532958984375,500,3
43996,4,10,178.4737091064453,500,3
43997,5,10,536.0714111328125,500,3
43998,6,10,99.33909606933594,500,3
43999,7,10,127.98689270019531,500,3
47992,0,11,386.60748291015625,500,3
47993,1,11,53.10287857055664,500,3
47994,2,11,41.06013488769531,500,3
47995,3,11,181.60130310058594,500,3
47996,4,11,184.887939453125,500,3
47997,5,11,364.83917236328125,500,3
47998,6,11,416.870361328125,500,3
47999,7,11,202.62171936035156,500,3
51992,0,12,403.4552307128906,500,3
51993,1,12,67.0835952758789,500,3
51994,2,12,181.7026824951172,500,3
51995,3,12,54.691123962402344,500,3
51996,4,12,201.40647888183594,500,3
51997,5,12,490.37359619140625,500,3
51998,6,12,430.203369140625,500,3
51999,7,12,413.23358154296875,500,3
55992,0,13,349.79412841796875,500,3
55993,1,13,361.8620910644531,500,3
55994,2,13,150.60162353515625,500,3
55995,3,13,346.31805419921875,500,3
55996,4,13,308.9407043457031,500,3
55997,5,13,252.9075927734375,500,3
55998,6,13,254.23594665527344,500,3
55999,7,13,353.3659973144531,500,3
59992,0,14,431.8612976074219,500,3
59993,1,14,307.9762268066406,500,3
59994,2,14,416.674560546875,500,3
59995,3,14,362.4149169921875,500,3
59996,4,14,221.00595092773438,500,3
59997,5,14,271.8720703125,500,3
59998,6,14,279.1496276855469,500,3
59999,7,14,150.83627319335938,500,3
63992,0,15,461.0567321777344,500,3
63993,1,15,220.45285034179688,500,3
63994,2,15,484.8081970214844,500,3
63995,3,15,237.57177734375,500,3
63996,4,15,568.2305297851562,500,3
63997,5,15,499.2209777832031,500,3
63998,6,15,443.50537109375,500,3
63999,7,15,517.4119873046875,500,3
67992,0,16,129.34246826171875,500,3
67993,1,16,62.70424270629883,500,3
67994,2,16,252.94583129882812,500,3
67995,3,16,421.7857971191406,500,3
67996,4,16,230.84268188476562,500,3
67997,5,16,141.74090576171875,500,3
67998,6,16,335.19976806640625,500,3
67999,7,16,429.8229064941406,500,3
71992,0,17,439.91162109375,500,3
71993,1,17,524.099365234375,500,3
71994,2,17,424.1827697753906,500,3
71995,3,17,316.6231689453125,500,3
71996,4,17,212.67649841308594,500,3
71997,5,17,364.2652587890625,500,3
71998,6,17,114.98492431640625,500,3
71999,7,17,454.9447021484375,500,3
75992,0,18,401.6542663574219,500,3
75993,1,18,301.5833740234375,500,3
75994,2,18,168.06845092773438,500,3
75995,3,18,518.9405517578125,500,3
75996,4,18,402.0162353515625,500,3
75997,5,18,499.0453186035156,500,3
75998,6,18,380.3827209472656,500,3
75999,7,18,265.4068908691406,500,3
79992,0,19,425.1413879394531,500,3
79993,1,19,448.22454833984375,500,3
79994,2,19,295.7632141113281,500,3
79995,3,19,339.4720764160156,500,3
79996,4,19,307.3686828613281,500,3
79997,5,19,572.358154296875,500,3
79998,6,19,244.1175994873047,500,3
79999,7,19,273.62701416015625,500,3
