step,tag,value
3992,episode/return,2.0603766441345215
3992,episode/length,500.0
3993,episode/return,0.6038540601730347
3993,episode/length,500.0
3994,episode/return,32.15848922729492
3994,episode/length,500.0
3995,episode/return,0.12406647205352783
3995,episode/length,500.0
3996,episode/return,0.08792055398225784
3996,episode/length,500.0
3997,episode/return,14.035365104675293
3997,episode/length,500.0
3998,episode/return,1.8233230036912573e-07
3998,episode/length,500.0
3999,episode/return,1.7571563995510964e-11
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,47.75640544621274
4000,timing/train_chunk_s,249.2461960511282
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,47.75640544621274
4000,timing/train_chunk_s,250.3683781553991
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,47.75640544621274
4000,timing/train_chunk_s,251.4869147548452
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,47.75640544621274
4000,timing/train_chunk_s,252.6049906690605
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,47.75640544621274
4000,timing/train_chunk_s,253.72226977301762
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,47.75640544621274
4000,timing/train_chunk_s,254.83866410702467
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,47.75640544621274
4000,timing/train_chunk_s,255.9562512873672
4000,system/heartbeat,1.0
7992,episode/return,0.14338769018650055
7992,episode/length,500.0
7993,episode/return,29.224843978881836
7993,episode/length,500.0
7994,episode/return,0.08331417292356491
7994,episode/length,500.0
7995,episode/return,70.43195343017578
7995,episode/length,500.0
7996,episode/return,90.35983276367188
7996,episode/length,500.0
7997,episode/return,0.0692482441663742
7997,episode/length,500.0
7998,episode/return,1.220145583152771
7998,episode/length,500.0
7999,episode/return,5.927962303161621
7999,episode/length,500.0
10000,train/consistency_loss_mean,7.604707965510898e-05
10000,train/consistency_loss_std,0.000311528103692068
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,0.28804337458610535
10000,train/grad_norm_std,0.24727430105036632
10000,train/policy_log_std_mean,-0.3884333736151457
10000,train/policy_log_std_std,0.6304283870075406
10000,train/policy_loss_mean,-0.10477531471848488
10000,train/policy_loss_std,0.052435569217416246
10000,train/reward_loss_mean,0.02433283530175686
10000,train/reward_loss_std,0.08744726205163113
10000,train/total_loss_mean,0.031102155715227127
10000,train/total_loss_std,0.02211720960229332
10000,train/value_loss_mean,0.27147929708957674
10000,train/value_loss_std,0.07644501918009722
10000,train/value_scale_mean,2.649741091156006
10000,train/value_scale_std,1.8434954316315608
10000,timing/collect_chunk_s,226.79450499871746
10000,timing/train_chunk_s,318.1347850332968
10000,dense_rhs/training_bucket_horizon,3.0
10000,system/heartbeat,1.0
11992,episode/return,39.019832611083984
11992,episode/length,500.0
11993,episode/return,3.567051649093628
11993,episode/length,500.0
11994,episode/return,19.770915985107422
11994,episode/length,500.0
11995,episode/return,15.706473350524902
11995,episode/length,500.0
11996,episode/return,0.9982993006706238
11996,episode/length,500.0
11997,episode/return,1.3784055709838867
11997,episode/length,500.0
11998,episode/return,0.3017878532409668
11998,episode/length,500.0
11999,episode/return,21.97639274597168
11999,episode/length,500.0
15992,episode/return,22.546566009521484
15992,episode/length,500.0
15993,episode/return,55.2392463684082
15993,episode/length,500.0
15994,episode/return,30.077699661254883
15994,episode/length,500.0
15995,episode/return,0.07937923073768616
15995,episode/length,500.0
15996,episode/return,37.615562438964844
15996,episode/length,500.0
15997,episode/return,12.074602127075195
15997,episode/length,500.0
15998,episode/return,51.64179611206055
15998,episode/length,500.0
15999,episode/return,48.281349182128906
15999,episode/length,500.0
19992,episode/return,174.87193298339844
19992,episode/length,500.0
19993,episode/return,78.68623352050781
19993,episode/length,500.0
19994,episode/return,4.597278118133545
19994,episode/length,500.0
19995,episode/return,38.54640579223633
19995,episode/length,500.0
19996,episode/return,35.45433807373047
19996,episode/length,500.0
19997,episode/return,48.671321868896484
19997,episode/length,500.0
19998,episode/return,38.50090026855469
19998,episode/length,500.0
19999,episode/return,191.2353515625
19999,episode/length,500.0
20000,train/consistency_loss_mean,5.661966601619497e-05
20000,train/consistency_loss_std,1.2105810712281407e-05
20000,train/continue_loss_mean,0.0
20000,train/continue_loss_std,0.0
20000,train/grad_norm_mean,0.7840888842105865
20000,train/grad_norm_std,0.34568014523650764
20000,train/policy_log_std_mean,-0.5663284947633743
20000,train/policy_log_std_std,0.43285972303520986
20000,train/policy_loss_mean,-0.1263393544256687
20000,train/policy_loss_std,0.02035322362066363
20000,train/reward_loss_mean,0.037754711505770686
20000,train/reward_loss_std,0.009074884493006842
20000,train/total_loss_mean,0.032249690079689024
20000,train/total_loss_std,0.0021319990531813247
20000,train/value_loss_mean,0.273418248462677
20000,train/value_loss_std,0.018488015795780008
20000,train/value_scale_mean,7.674604644012451
20000,train/value_scale_std,1.668743671642664
20000,timing/collect_chunk_s,58.214542265515774
20000,timing/train_chunk_s,21.279518932569772
20000,dense_rhs/training_bucket_horizon,3.0
20000,system/heartbeat,1.0
23992,episode/return,138.0291748046875
23992,episode/length,500.0
23993,episode/return,207.52310180664062
23993,episode/length,500.0
23994,episode/return,162.53575134277344
23994,episode/length,500.0
23995,episode/return,57.02394104003906
23995,episode/length,500.0
23996,episode/return,33.3515739440918
23996,episode/length,500.0
23997,episode/return,135.49307250976562
23997,episode/length,500.0
23998,episode/return,26.37273406982422
23998,episode/length,500.0
23999,episode/return,149.31529235839844
23999,episode/length,500.0
27992,episode/return,38.790672302246094
27992,episode/length,500.0
27993,episode/return,96.77728271484375
27993,episode/length,500.0
27994,episode/return,54.49390411376953
27994,episode/length,500.0
27995,episode/return,133.27244567871094
27995,episode/length,500.0
27996,episode/return,151.01022338867188
27996,episode/length,500.0
27997,episode/return,80.04654693603516
27997,episode/length,500.0
27998,episode/return,24.137636184692383
27998,episode/length,500.0
27999,episode/return,177.7681884765625
27999,episode/length,500.0
30000,train/consistency_loss_mean,5.083169431018177e-05
30000,train/consistency_loss_std,9.65300219500629e-06
30000,train/continue_loss_mean,0.0
30000,train/continue_loss_std,0.0
30000,train/grad_norm_mean,1.0663208077430726
30000,train/grad_norm_std,0.5223301958160683
30000,train/policy_log_std_mean,-0.5960918140172958
30000,train/policy_log_std_std,0.4098268290224377
30000,train/policy_loss_mean,-0.11056074025034905
30000,train/policy_loss_std,0.014755486797742762
30000,train/reward_loss_mean,0.06054901236593723
30000,train/reward_loss_std,0.009119841024872843
30000,train/total_loss_mean,0.03641766726970672
