step,env_index,episode_index,episode_return,episode_length,selected_horizon
3992,0,0,49.437103271484375,500,3
3993,1,0,44.56383514404297,500,3
3994,2,0,16.37502098083496,500,3
3995,3,0,22.47144317626953,500,3
3996,4,0,8.266877174377441,500,3
3997,5,0,33.064517974853516,500,3
3998,6,0,18.6751766204834,500,3
3999,7,0,33.127506256103516,500,3
7992,0,1,125.70426177978516,500,3
7993,1,1,133.15203857421875,500,3
7994,2,1,127.49888610839844,500,3
7995,3,1,115.59971618652344,500,3
7996,4,1,149.55226135253906,500,3
7997,5,1,0.0040896194986999035,500,3
7998,6,1,227.1881103515625,500,3
7999,7,1,130.83816528320312,500,3
11992,0,2,220.91339111328125,500,3
11993,1,2,213.5267333984375,500,3
11994,2,2,193.8545684814453,500,3
11995,3,2,237.9332275390625,500,3
11996,4,2,198.61473083496094,500,3
11997,5,2,215.8595428466797,500,3
11998,6,2,215.1236114501953,500,3
11999,7,2,205.39425659179688,500,3
15992,0,3,168.71630859375,500,3
15993,1,3,168.62661743164062,500,3
15994,2,3,177.6129608154297,500,3
15995,3,3,168.0661163330078,500,3
15996,4,3,172.48878479003906,500,3
15997,5,3,171.2057647705078,500,3
15998,6,3,175.48667907714844,500,3
15999,7,3,166.35302734375,500,3
19992,0,4,345.7950744628906,500,3
19993,1,4,310.05584716796875,500,3
19994,2,4,389.8561096191406,500,3
19995,3,4,296.4190673828125,500,3
19996,4,4,352.5290832519531,500,3
19997,5,4,336.60382080078125,500,3
19998,6,4,333.9590148925781,500,3
19999,7,4,319.7558898925781,500,3
23992,0,5,364.25848388671875,500,3
23993,1,5,450.087158203125,500,3
23994,2,5,426.8235168457031,500,3
23995,3,5,381.03363037109375,500,3
23996,4,5,398.4132995605469,500,3
23997,5,5,388.31292724609375,500,3
23998,6,5,421.9583740234375,500,3
23999,7,5,309.031982421875,500,3
27992,0,6,451.3701477050781,500,3
27993,1,6,499.02655029296875,500,3
27994,2,6,524.273193359375,500,3
27995,3,6,476.9547424316406,500,3
27996,4,6,505.63165283203125,500,3
27997,5,6,488.1872863769531,500,3
27998,6,6,555.3450317382812,500,3
27999,7,6,481.0859069824219,500,3
31992,0,7,785.2324829101562,500,3
31993,1,7,783.4732055664062,500,3
31994,2,7,791.6513671875,500,3
31995,3,7,789.7607421875,500,3
31996,4,7,777.603271484375,500,3
31997,5,7,786.5574951171875,500,3
31998,6,7,789.8843994140625,500,3
31999,7,7,785.6187744140625,500,3
35992,0,8,682.0797119140625,500,3
35993,1,8,670.7515258789062,500,3
35994,2,8,695.3414306640625,500,3
35995,3,8,688.2800903320312,500,3
35996,4,8,684.4083251953125,500,3
35997,5,8,694.3323364257812,500,3
35998,6,8,718.0833129882812,500,3
35999,7,8,693.9512939453125,500,3
39992,0,9,688.8002319335938,500,3
39993,1,9,688.3949584960938,500,3
39994,2,9,688.5720825195312,500,3
39995,3,9,690.1134643554688,500,3
39996,4,9,687.1685791015625,500,3
39997,5,9,685.7518310546875,500,3
39998,6,9,525.5076904296875,500,3
39999,7,9,693.7142333984375,500,3
43992,0,10,814.4603271484375,500,3
43993,1,10,814.4143676757812,500,3
43994,2,10,809.5206909179688,500,3
43995,3,10,803.4940795898438,500,3
43996,4,10,823.2102661132812,500,3
43997,5,10,811.6007690429688,500,3
43998,6,10,815.9140014648438,500,3
43999,7,10,812.918701171875,500,3
47992,0,11,799.428955078125,500,3
47993,1,11,750.4002685546875,500,3
47994,2,11,799.7938842773438,500,3
47995,3,11,730.2401123046875,500,3
47996,4,11,794.4171752929688,500,3
47997,5,11,791.75244140625,500,3
47998,6,11,724.7678833007812,500,3
47999,7,11,796.8594360351562,500,3
51992,0,12,813.09375,500,3
51993,1,12,815.6505737304688,500,3
51994,2,12,812.0475463867188,500,3
51995,3,12,814.566650390625,500,3
51996,4,12,815.6522216796875,500,3
51997,5,12,815.672607421875,500,3
51998,6,12,815.1472778320312,500,3
