step,env_index,episode_index,episode_return,episode_length,selected_horizon
3992,0,0,27.143550872802734,500,3
3993,1,0,18.869834899902344,500,3
3994,2,0,68.63530731201172,500,3
3995,3,0,13.347694396972656,500,3
3996,4,0,16.472034454345703,500,3
3997,5,0,78.80084228515625,500,3
3998,6,0,93.3129653930664,500,3
3999,7,0,67.57655334472656,500,3
7992,0,1,260.2259521484375,500,3
7993,1,1,224.6090087890625,500,3
7994,2,1,216.74099731445312,500,3
7995,3,1,188.90699768066406,500,3
7996,4,1,213.10107421875,500,3
7997,5,1,221.44728088378906,500,3
7998,6,1,197.93923950195312,500,3
7999,7,1,207.6705780029297,500,3
11992,0,2,218.47300720214844,500,3
11993,1,2,230.87860107421875,500,3
11994,2,2,229.2115020751953,500,3
11995,3,2,217.3782501220703,500,3
11996,4,2,215.95468139648438,500,3
11997,5,2,212.89056396484375,500,3
11998,6,2,213.60821533203125,500,3
11999,7,2,215.9031219482422,500,3
15992,0,3,343.927734375,500,3
15993,1,3,441.4862976074219,500,3
15994,2,3,315.2456359863281,500,3
15995,3,3,264.353271484375,500,3
15996,4,3,324.5845947265625,500,3
15997,5,3,446.0363464355469,500,3
15998,6,3,409.17010498046875,500,3
15999,7,3,285.0256652832031,500,3
19992,0,4,446.4084167480469,500,3
19993,1,4,448.54571533203125,500,3
19994,2,4,434.0039367675781,500,3
19995,3,4,445.96099853515625,500,3
19996,4,4,444.75677490234375,500,3
19997,5,4,436.5648193359375,500,3
19998,6,4,444.6593017578125,500,3
19999,7,4,443.02239990234375,500,3
23992,0,5,669.7942504882812,500,3
23993,1,5,0.035609178245067596,500,3
23994,2,5,606.378173828125,500,3
23995,3,5,673.4166870117188,500,3
23996,4,5,675.796142578125,500,3
23997,5,5,670.53955078125,500,3
23998,6,5,614.8026123046875,500,3
23999,7,5,602.9317626953125,500,3
27992,0,6,593.9903564453125,500,3
27993,1,6,557.8441772460938,500,3
27994,2,6,554.1622314453125,500,3
27995,3,6,557.4634399414062,500,3
27996,4,6,552.3966064453125,500,3
27997,5,6,555.2639770507812,500,3
27998,6,6,538.158447265625,500,3
27999,7,6,549.7183227539062,500,3
31992,0,7,748.77978515625,500,3
31993,1,7,796.9111938476562,500,3
31994,2,7,745.8313598632812,500,3
31995,3,7,725.9313354492188,500,3
