step,tag,value
3992,episode/return,27.143550872802734
3992,episode/length,500.0
3993,episode/return,18.869834899902344
3993,episode/length,500.0
3994,episode/return,68.63530731201172
3994,episode/length,500.0
3995,episode/return,13.347694396972656
3995,episode/length,500.0
3996,episode/return,16.472034454345703
3996,episode/length,500.0
3997,episode/return,78.80084228515625
3997,episode/length,500.0
3998,episode/return,93.3129653930664
3998,episode/length,500.0
3999,episode/return,67.57655334472656
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,54.72276761708781
4000,timing/train_chunk_s,246.2164035923779
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,54.72276761708781
4000,timing/train_chunk_s,247.34416304249316
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,54.72276761708781
4000,timing/train_chunk_s,248.47566322563216
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,54.72276761708781
4000,timing/train_chunk_s,249.60752691188827
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,54.72276761708781
4000,timing/train_chunk_s,250.73813542164862
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,54.72276761708781
4000,timing/train_chunk_s,251.86832437478006
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,54.72276761708781
4000,timing/train_chunk_s,252.9988628816791
4000,system/heartbeat,1.0
7992,episode/return,260.2259521484375
7992,episode/length,500.0
7993,episode/return,224.6090087890625
7993,episode/length,500.0
7994,episode/return,216.74099731445312
7994,episode/length,500.0
7995,episode/return,188.90699768066406
7995,episode/length,500.0
7996,episode/return,213.10107421875
7996,episode/length,500.0
7997,episode/return,221.44728088378906
7997,episode/length,500.0
7998,episode/return,197.93923950195312
7998,episode/length,500.0
7999,episode/return,207.6705780029297
7999,episode/length,500.0
10000,train/consistency_loss_mean,0.00011668760306783952
10000,train/consistency_loss_std,0.0003016838116290688
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,0.3850669345617294
10000,train/grad_norm_std,0.13518993986931468
