step,tag,value
0,timing/prewarm_dense_rhs_s,226.7187746670097
0,system/heartbeat,1.0
3992,episode/return,28.802757263183594
3992,episode/length,500.0
3993,episode/return,10.718414306640625
3993,episode/length,500.0
3994,episode/return,71.71758270263672
3994,episode/length,500.0
3995,episode/return,16.614774703979492
3995,episode/length,500.0
3996,episode/return,11.56969928741455
3996,episode/length,500.0
3997,episode/return,53.53889083862305
3997,episode/length,500.0
3998,episode/return,114.52693176269531
3998,episode/length,500.0
3999,episode/return,71.26637268066406
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,51.713885269127786
4000,timing/train_chunk_s,243.01702943909913
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,51.713885269127786
4000,timing/train_chunk_s,244.09298964543268
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,51.713885269127786
4000,timing/train_chunk_s,245.1697286614217
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,51.713885269127786
4000,timing/train_chunk_s,246.24539693258703
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,51.713885269127786
4000,timing/train_chunk_s,247.32195206172764
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,51.713885269127786
4000,timing/train_chunk_s,248.40005794214085
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,51.713885269127786
4000,timing/train_chunk_s,249.47746999375522
4000,system/heartbeat,1.0
7992,episode/return,194.3900604248047
7992,episode/length,500.0
7993,episode/return,182.79345703125
7993,episode/length,500.0
7994,episode/return,195.8596649169922
7994,episode/length,500.0
7995,episode/return,198.2212371826172
7995,episode/length,500.0
7996,episode/return,196.35809326171875
7996,episode/length,500.0
7997,episode/return,214.36729431152344
7997,episode/length,500.0
7998,episode/return,206.12466430664062
7998,episode/length,500.0
7999,episode/return,218.5956573486328
7999,episode/length,500.0
10000,train/consistency_loss_mean,5.1974482879450076e-05
10000,train/consistency_loss_std,0.0003025868012871685
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,0.26137712364196775
10000,train/grad_norm_std,0.14592427513499365
10000,train/policy_log_std_mean,-0.8278342537403107
10000,train/policy_log_std_std,0.5347018798129686
10000,train/policy_loss_mean,-0.5256080599546432
10000,train/policy_loss_std,0.2054862137373534
10000,train/reward_loss_mean,0.23306345613002777
10000,train/reward_loss_std,0.0852384269633437
10000,train/total_loss_mean,0.052095900970697405
10000,train/total_loss_std,0.022601999865457394
10000,train/value_loss_mean,0.2775006504058838
10000,train/value_loss_std,0.08466199006190174
10000,train/value_scale_mean,10.538587324523926
10000,train/value_scale_std,7.058030328774574
10000,timing/collect_chunk_s,231.8625115668401
10000,timing/train_chunk_s,308.63683307822794
10000,dense_rhs/training_bucket_horizon,3.0
10000,system/heartbeat,1.0
11992,episode/return,212.7203826904297
11992,episode/length,500.0
11993,episode/return,249.5996551513672
