step,env_index,episode_index,episode_return,episode_length,selected_horizon
3992,0,0,55.88888168334961,500,3
3993,1,0,17.13601303100586,500,3
3994,2,0,18.29896354675293,500,3
3995,3,0,37.54521942138672,500,3
3996,4,0,48.423309326171875,500,3
3997,5,0,38.86504364013672,500,3
3998,6,0,46.364688873291016,500,3
3999,7,0,12.83977222442627,500,3
7992,0,1,166.973388671875,500,3
7993,1,1,160.0709991455078,500,3
7994,2,1,155.03562927246094,500,3
7995,3,1,156.21507263183594,500,3
7996,4,1,168.87681579589844,500,3
7997,5,1,161.98374938964844,500,3
7998,6,1,155.9932861328125,500,3
7999,7,1,154.37147521972656,500,3
11992,0,2,265.16632080078125,500,3
11993,1,2,275.0178527832031,500,3
11994,2,2,253.33018493652344,500,3
11995,3,2,293.7513427734375,500,3
11996,4,2,345.6357116699219,500,3
11997,5,2,267.5849609375,500,3
11998,6,2,253.46630859375,500,3
11999,7,2,239.8217315673828,500,3
15992,0,3,466.601806640625,500,3
15993,1,3,431.9053039550781,500,3
15994,2,3,463.0666198730469,500,3
15995,3,3,469.396728515625,500,3
15996,4,3,466.0777282714844,500,3
15997,5,3,467.6445617675781,500,3
15998,6,3,468.5423889160156,500,3
15999,7,3,429.7891845703125,500,3
19992,0,4,475.4250793457031,500,3
19993,1,4,463.05419921875,500,3
19994,2,4,461.23638916015625,500,3
19995,3,4,462.4620056152344,500,3
19996,4,4,475.298583984375,500,3
19997,5,4,461.55035400390625,500,3
19998,6,4,462.0907287597656,500,3
19999,7,4,463.342529296875,500,3
23992,0,5,542.5337524414062,500,3
23993,1,5,557.321044921875,500,3
23994,2,5,604.9080200195312,500,3
23995,3,5,556.0863647460938,500,3
23996,4,5,549.5415649414062,500,3
23997,5,5,555.5010986328125,500,3
23998,6,5,607.8167724609375,500,3
23999,7,5,553.0531616210938,500,3
27992,0,6,631.517578125,500,3
27993,1,6,625.4486083984375,500,3
27994,2,6,626.45361328125,500,3
27995,3,6,614.8862915039062,500,3
27996,4,6,630.1264038085938,500,3
27997,5,6,626.009033203125,500,3
27998,6,6,626.7769165039062,500,3
27999,7,6,631.2824096679688,500,3
31992,0,7,718.7612915039062,500,3
31993,1,7,720.9703979492188,500,3
31994,2,7,721.361083984375,500,3
31995,3,7,719.6664428710938,500,3
31996,4,7,720.3943481445312,500,3
31997,5,7,724.1766357421875,500,3
31998,6,7,718.7510375976562,500,3
31999,7,7,721.2260131835938,500,3
35992,0,8,845.606201171875,500,3
35993,1,8,846.876953125,500,3
35994,2,8,845.7838745117188,500,3
35995,3,8,843.1439819335938,500,3
35996,4,8,845.8017578125,500,3
35997,5,8,845.4005126953125,500,3
35998,6,8,844.776123046875,500,3
35999,7,8,844.6449584960938,500,3
39992,0,9,714.6790161132812,500,3
39993,1,9,702.1994018554688,500,3
39994,2,9,705.7080688476562,500,3
39995,3,9,711.7028198242188,500,3
39996,4,9,714.513671875,500,3
39997,5,9,716.6515502929688,500,3
39998,6,9,708.150634765625,500,3
39999,7,9,714.0555419921875,500,3
43992,0,10,493.1482238769531,500,3
43993,1,10,418.8293762207031,500,3
43994,2,10,439.56097412109375,500,3
43995,3,10,425.2120361328125,500,3
43996,4,10,634.151123046875,500,3
43997,5,10,704.7120361328125,500,3
43998,6,10,704.6862182617188,500,3
43999,7,10,702.5390014648438,500,3
47992,0,11,825.4279174804688,500,3
47993,1,11,825.65185546875,500,3
47994,2,11,824.8544311523438,500,3
47995,3,11,824.776123046875,500,3
47996,4,11,825.6233520507812,500,3
47997,5,11,825.7058715820312,500,3
47998,6,11,825.2720336914062,500,3
47999,7,11,825.1716918945312,500,3
51992,0,12,832.8565063476562,500,3
51993,1,12,832.8649291992188,500,3
51994,2,12,833.2819213867188,500,3
51995,3,12,832.7752685546875,500,3
51996,4,12,831.5679321289062,500,3
