step,env_index,episode_index,episode_return,episode_length,selected_horizon
3992,0,0,10.110102653503418,500,3
3993,1,0,179.4236602783203,500,3
3994,2,0,44.584632873535156,500,3
3995,3,0,31.920785903930664,500,3
3996,4,0,151.3783416748047,500,3
3997,5,0,44.247802734375,500,3
3998,6,0,35.982398986816406,500,3
3999,7,0,91.46507263183594,500,3
7992,0,1,206.49270629882812,500,3
7993,1,1,200.92916870117188,500,3
7994,2,1,202.5594940185547,500,3
7995,3,1,200.36134338378906,500,3
7996,4,1,203.52134704589844,500,3
7997,5,1,200.13296508789062,500,3
7998,6,1,211.8502960205078,500,3
7999,7,1,208.00474548339844,500,3
11992,0,2,223.38571166992188,500,3
11993,1,2,362.7460021972656,500,3
11994,2,2,226.08230590820312,500,3
11995,3,2,224.99810791015625,500,3
11996,4,2,229.20562744140625,500,3
11997,5,2,224.12890625,500,3
11998,6,2,217.52777099609375,500,3
11999,7,2,345.0052795410156,500,3
15992,0,3,383.61724853515625,500,3
15993,1,3,397.4100646972656,500,3
15994,2,3,370.9284973144531,500,3
15995,3,3,381.7804870605469,500,3
15996,4,3,373.7158508300781,500,3
15997,5,3,373.8695983886719,500,3
15998,6,3,340.91180419921875,500,3
15999,7,3,370.1417236328125,500,3
19992,0,4,504.9732971191406,500,3
19993,1,4,504.6383361816406,500,3
19994,2,4,505.08367919921875,500,3
19995,3,4,502.6717834472656,500,3
19996,4,4,505.3370361328125,500,3
19997,5,4,512.7530517578125,500,3
19998,6,4,504.4339599609375,500,3
19999,7,4,502.4029235839844,500,3
23992,0,5,610.9674072265625,500,3
23993,1,5,611.9811401367188,500,3
23994,2,5,612.2260131835938,500,3
23995,3,5,612.7809448242188,500,3
23996,4,5,608.5922241210938,500,3
23997,5,5,614.7730712890625,500,3
23998,6,5,607.2635498046875,500,3
23999,7,5,614.3633422851562,500,3
27992,0,6,627.1936645507812,500,3
27993,1,6,659.1214599609375,500,3
27994,2,6,687.1280517578125,500,3
27995,3,6,698.6356201171875,500,3
27996,4,6,674.9161987304688,500,3
27997,5,6,646.6510620117188,500,3
27998,6,6,705.7161865234375,500,3
27999,7,6,651.1812744140625,500,3
31992,0,7,705.5841674804688,500,3
31993,1,7,706.0982055664062,500,3
31994,2,7,706.6256713867188,500,3
31995,3,7,706.4058837890625,500,3
31996,4,7,706.3355712890625,500,3
31997,5,7,705.576171875,500,3
31998,6,7,707.7919311523438,500,3
31999,7,7,705.3572387695312,500,3
35992,0,8,798.6061401367188,500,3
35993,1,8,799.7852783203125,500,3
35994,2,8,798.8560791015625,500,3
35995,3,8,799.3699340820312,500,3
35996,4,8,798.8338012695312,500,3
35997,5,8,797.1876831054688,500,3
35998,6,8,799.490966796875,500,3
35999,7,8,797.9002075195312,500,3
39992,0,9,642.6705322265625,500,3
39993,1,9,640.0442504882812,500,3
39994,2,9,637.0291748046875,500,3
39995,3,9,693.9506225585938,500,3
39996,4,9,714.6923217773438,500,3
39997,5,9,645.4165649414062,500,3
39998,6,9,782.6696166992188,500,3
39999,7,9,645.3538208007812,500,3
43992,0,10,766.083984375,500,3
43993,1,10,777.0064697265625,500,3
43994,2,10,755.7022094726562,500,3
43995,3,10,810.4588012695312,500,3
43996,4,10,778.0842895507812,500,3
43997,5,10,785.031494140625,500,3
43998,6,10,813.3203125,500,3
43999,7,10,762.4721069335938,500,3
47992,0,11,820.487548828125,500,3
47993,1,11,819.3688354492188,500,3
47994,2,11,818.0037841796875,500,3
47995,3,11,819.5194091796875,500,3
47996,4,11,817.4739990234375,500,3
47997,5,11,816.7241821289062,500,3
47998,6,11,818.7809448242188,500,3
47999,7,11,830.3363037109375,500,3
51992,0,12,840.947509765625,500,3
51993,1,12,832.3863525390625,500,3
51994,2,12,834.4105834960938,500,3
51995,3,12,831.0076293945312,500,3
51996,4,12,840.3433227539062,500,3
51997,5,12,838.1470336914062,500,3
51998,6,12,834.0850830078125,500,3
51999,7,12,830.5369873046875,500,3
55992,0,13,839.9871215820312,500,3
55993,1,13,842.440673828125,500,3
55994,2,13,842.9271850585938,500,3
55995,3,13,843.5025024414062,500,3
55996,4,13,843.2051391601562,500,3
55997,5,13,843.7113647460938,500,3
55998,6,13,843.622802734375,500,3
55999,7,13,843.4740600585938,500,3
59992,0,14,860.5764770507812,500,3
59993,1,14,859.921630859375,500,3
