step,tag,value
3992,episode/return,55.88888168334961
3992,episode/length,500.0
3993,episode/return,17.13601303100586
3993,episode/length,500.0
3994,episode/return,18.29896354675293
3994,episode/length,500.0
3995,episode/return,37.54521942138672
3995,episode/length,500.0
3996,episode/return,48.423309326171875
3996,episode/length,500.0
3997,episode/return,38.86504364013672
3997,episode/length,500.0
3998,episode/return,46.364688873291016
3998,episode/length,500.0
3999,episode/return,12.83977222442627
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,52.406752918846905
4000,timing/train_chunk_s,245.72573527274653
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,52.406752918846905
4000,timing/train_chunk_s,246.83470470597968
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,52.406752918846905
4000,timing/train_chunk_s,247.94460924901068
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,52.406752918846905
4000,timing/train_chunk_s,249.05427103396505
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,52.406752918846905
4000,timing/train_chunk_s,250.16460799286142
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,52.406752918846905
4000,timing/train_chunk_s,251.27500362927094
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,52.406752918846905
4000,timing/train_chunk_s,252.38690590672195
4000,system/heartbeat,1.0
7992,episode/return,197.37103271484375
7992,episode/length,500.0
7993,episode/return,178.0773162841797
7993,episode/length,500.0
7994,episode/return,209.98226928710938
7994,episode/length,500.0
7995,episode/return,167.7305450439453
7995,episode/length,500.0
7996,episode/return,176.70191955566406
7996,episode/length,500.0
7997,episode/return,172.7775115966797
7997,episode/length,500.0
7998,episode/return,172.16036987304688
7998,episode/length,500.0
7999,episode/return,221.36679077148438
7999,episode/length,500.0
10000,train/consistency_loss_mean,5.11736527303583e-05
10000,train/consistency_loss_std,0.00028260014557791613
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,0.21016075468063355
10000,train/grad_norm_std,0.11721188523499952
10000,train/policy_log_std_mean,-0.8197792814731598
10000,train/policy_log_std_std,0.5242262622849809
10000,train/policy_loss_mean,-0.5114047670125962
10000,train/policy_loss_std,0.20372757225800536
10000,train/reward_loss_mean,0.23402303971052169
10000,train/reward_loss_std,0.08372909502009179
10000,train/total_loss_mean,0.051193748757243154
10000,train/total_loss_std,0.021933230882490426
10000,train/value_loss_mean,0.26767970752716064
10000,train/value_loss_std,0.08417375522014162
10000,train/value_scale_mean,10.686297590637206
10000,train/value_scale_std,8.65974650222206
10000,timing/collect_chunk_s,233.9458834179677
10000,timing/train_chunk_s,311.40845975931734
10000,dense_rhs/training_bucket_horizon,3.0
10000,system/heartbeat,1.0
11992,episode/return,383.94708251953125
11992,episode/length,500.0
11993,episode/return,389.492919921875
11993,episode/length,500.0
11994,episode/return,412.3849182128906
11994,episode/length,500.0
11995,episode/return,287.67822265625
11995,episode/length,500.0
11996,episode/return,379.2715148925781
11996,episode/length,500.0
11997,episode/return,336.0565490722656
11997,episode/length,500.0
11998,episode/return,370.4645690917969
11998,episode/length,500.0
