step,tag,value
0,timing/prewarm_dense_rhs_s,223.85468888981268
0,system/heartbeat,1.0
3992,episode/return,9.714326858520508
3992,episode/length,500.0
3993,episode/return,21.896406173706055
3993,episode/length,500.0
3994,episode/return,9.816007614135742
3994,episode/length,500.0
3995,episode/return,6.731786251068115
3995,episode/length,500.0
3996,episode/return,7.1367950439453125
3996,episode/length,500.0
3997,episode/return,16.30685806274414
3997,episode/length,500.0
3998,episode/return,9.908912658691406
3998,episode/length,500.0
3999,episode/return,15.183491706848145
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,52.78105106996372
4000,timing/train_chunk_s,234.4348404747434
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,52.78105106996372
4000,timing/train_chunk_s,235.56657671229914
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,52.78105106996372
4000,timing/train_chunk_s,236.69830781733617
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,52.78105106996372
4000,timing/train_chunk_s,237.8296984466724
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,52.78105106996372
4000,timing/train_chunk_s,238.96054315427318
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,52.78105106996372
4000,timing/train_chunk_s,240.09081474877894
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,52.78105106996372
4000,timing/train_chunk_s,241.22244802396744
4000,system/heartbeat,1.0
7992,episode/return,67.19551086425781
7992,episode/length,500.0
7993,episode/return,26.366092681884766
7993,episode/length,500.0
7994,episode/return,72.20518493652344
7994,episode/length,500.0
7995,episode/return,84.54853820800781
7995,episode/length,500.0
7996,episode/return,101.30013275146484
7996,episode/length,500.0
7997,episode/return,82.62969970703125
7997,episode/length,500.0
7998,episode/return,73.90042877197266
7998,episode/length,500.0
7999,episode/return,88.8157730102539
7999,episode/length,500.0
10000,train/consistency_loss_mean,0.0017514632429927587
10000,train/consistency_loss_std,0.0009899742668512722
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,0.6266431102752685
10000,train/grad_norm_std,0.13713214050168618
10000,train/policy_log_std_mean,-1.042897310956319
10000,train/policy_log_std_std,0.5411712132907933
10000,train/policy_loss_mean,-1.3871132078170776
10000,train/policy_loss_std,0.6040514730223596
10000,train/reward_loss_mean,0.1545471537590027
10000,train/reward_loss_std,0.08986315831171504
10000,train/total_loss_mean,0.0810567747592926
10000,train/total_loss_std,0.03220315508859111
10000,train/value_loss_mean,0.30572793786525726
10000,train/value_loss_std,0.0866213605199084
10000,train/value_scale_mean,1.8053325563430787
10000,train/value_scale_std,0.9116748849957866
10000,timing/collect_chunk_s,267.71401032153517
10000,timing/train_chunk_s,300.6843195636757
10000,dense_rhs/training_bucket_horizon,3.0
10000,system/heartbeat,1.0
11992,episode/return,151.18161010742188
11992,episode/length,500.0
11993,episode/return,140.458740234375
11993,episode/length,500.0
11994,episode/return,137.03041076660156
11994,episode/length,500.0
11995,episode/return,122.46280670166016
11995,episode/length,500.0
11996,episode/return,121.0911865234375
11996,episode/length,500.0
11997,episode/return,116.26988220214844
11997,episode/length,500.0
11998,episode/return,117.21330261230469
11998,episode/length,500.0
11999,episode/return,152.58001708984375
11999,episode/length,500.0
15992,episode/return,183.7126007080078
15992,episode/length,500.0
15993,episode/return,173.65994262695312
15993,episode/length,500.0
15994,episode/return,180.68927001953125
15994,episode/length,500.0
15995,episode/return,190.8035888671875
15995,episode/length,500.0
15996,episode/return,127.4861068725586
15996,episode/length,500.0
15997,episode/return,141.24798583984375
15997,episode/length,500.0
15998,episode/return,180.71463012695312
15998,episode/length,500.0
15999,episode/return,190.01283264160156
15999,episode/length,500.0
19992,episode/return,236.2565155029297
19992,episode/length,500.0
19993,episode/return,41.326236724853516
19993,episode/length,500.0
19994,episode/return,153.6533966064453
19994,episode/length,500.0
19995,episode/return,216.71983337402344
19995,episode/length,500.0
19996,episode/return,241.77719116210938
19996,episode/length,500.0
19997,episode/return,234.24365234375
19997,episode/length,500.0
19998,episode/return,239.80198669433594
19998,episode/length,500.0
19999,episode/return,210.2057647705078
19999,episode/length,500.0
20000,train/consistency_loss_mean,0.0019139755570329725
20000,train/consistency_loss_std,9.760716695255027e-05
20000,train/continue_loss_mean,0.0
20000,train/continue_loss_std,0.0
20000,train/grad_norm_mean,0.5919970216751098
20000,train/grad_norm_std,0.05274905583317449
20000,train/policy_log_std_mean,-1.1641839446385702
20000,train/policy_log_std_std,0.471644667308929
20000,train/policy_loss_mean,-2.1920058330535888
20000,train/policy_loss_std,0.4110878727465275
20000,train/reward_loss_mean,0.23195638991594314
20000,train/reward_loss_std,0.014138592209582305
20000,train/total_loss_mean,0.09054905109405517
20000,train/total_loss_std,0.0034005781430151804
20000,train/value_loss_mean,0.29073899898529054
20000,train/value_loss_std,0.018096173789826638
20000,train/value_scale_mean,5.280017765808106
20000,train/value_scale_std,2.4563079208147394
20000,timing/collect_chunk_s,103.34206477086991
20000,timing/train_chunk_s,20.573463605251163
20000,dense_rhs/training_bucket_horizon,3.0
20000,system/heartbeat,1.0
23992,episode/return,176.24073791503906
23992,episode/length,500.0
23993,episode/return,0.09642302989959717
23993,episode/length,500.0
23994,episode/return,285.0230407714844
23994,episode/length,500.0
23995,episode/return,210.85182189941406
23995,episode/length,500.0
23996,episode/return,259.17791748046875
23996,episode/length,500.0
23997,episode/return,271.81976318359375
23997,episode/length,500.0
23998,episode/return,276.3798522949219
23998,episode/length,500.0
23999,episode/return,225.66885375976562
23999,episode/length,500.0
27992,episode/return,248.10911560058594
27992,episode/length,500.0
27993,episode/return,277.3885803222656
27993,episode/length,500.0
27994,episode/return,296.20135498046875
27994,episode/length,500.0
27995,episode/return,263.87042236328125
27995,episode/length,500.0
27996,episode/return,177.46701049804688
27996,episode/length,500.0
27997,episode/return,283.4953308105469
27997,episode/length,500.0
27998,episode/return,332.8027038574219
27998,episode/length,500.0
27999,episode/return,182.35638427734375
27999,episode/length,500.0
30000,train/consistency_loss_mean,0.0020593920655548573
30000,train/consistency_loss_std,8.461470678884254e-05
30000,train/continue_loss_mean,0.0
30000,train/continue_loss_std,0.0
30000,train/grad_norm_mean,0.5638859867572784
30000,train/grad_norm_std,0.042422095557102746
30000,train/policy_log_std_mean,-0.9603820721944173
30000,train/policy_log_std_std,0.36473888280626543
30000,train/policy_loss_mean,-1.1812051125526428
30000,train/policy_loss_std,0.06995073765570972
30000,train/reward_loss_mean,0.24930268244743348
30000,train/reward_loss_std,0.009232626990095907
30000,train/total_loss_mean,0.09537622826695442
30000,train/total_loss_std,0.002737304725760887
30000,train/value_loss_mean,0.2925811733007431
30000,train/value_loss_std,0.01636436471412551
30000,train/value_scale_mean,15.945436549377442
30000,train/value_scale_std,1.9451236423818876
30000,timing/collect_chunk_s,99.87637458276004
30000,timing/train_chunk_s,20.55222024023533
30000,dense_rhs/training_bucket_horizon,3.0
30000,system/heartbeat,1.0
31992,episode/return,313.11248779296875
31992,episode/length,500.0
31993,episode/return,279.4543762207031
31993,episode/length,500.0
31994,episode/return,306.9839172363281
31994,episode/length,500.0
31995,episode/return,302.3431091308594
31995,episode/length,500.0
31996,episode/return,153.3504180908203
31996,episode/length,500.0
31997,episode/return,254.0341339111328
31997,episode/length,500.0
31998,episode/return,324.82232666015625
31998,episode/length,500.0
31999,episode/return,310.7761535644531
31999,episode/length,500.0
35992,episode/return,283.9896545410156
35992,episode/length,500.0
35993,episode/return,306.77484130859375
35993,episode/length,500.0
35994,episode/return,349.7562255859375
35994,episode/length,500.0
35995,episode/return,198.05374145507812
35995,episode/length,500.0
35996,episode/return,42.546485900878906
35996,episode/length,500.0
35997,episode/return,249.52603149414062
35997,episode/length,500.0
35998,episode/return,325.9075927734375
35998,episode/length,500.0
35999,episode/return,66.48631286621094
35999,episode/length,500.0
39992,episode/return,308.6038818359375
39992,episode/length,500.0
39993,episode/return,326.990234375
39993,episode/length,500.0
39994,episode/return,313.0394592285156
39994,episode/length,500.0
39995,episode/return,302.4039611816406
39995,episode/length,500.0
39996,episode/return,216.16812133789062
39996,episode/length,500.0
39997,episode/return,259.2793884277344
39997,episode/length,500.0
39998,episode/return,328.1763000488281
39998,episode/length,500.0
39999,episode/return,76.8330307006836
39999,episode/length,500.0
40000,train/consistency_loss_mean,0.0021951554868370293
40000,train/consistency_loss_std,6.800062230792204e-05
40000,train/continue_loss_mean,0.0
40000,train/continue_loss_std,0.0
40000,train/grad_norm_mean,0.5606104828834534
40000,train/grad_norm_std,0.041650339196772246
40000,train/policy_log_std_mean,-0.9150070667902629
40000,train/policy_log_std_std,0.3533555888914282
40000,train/policy_loss_mean,-1.1889055435180664
40000,train/policy_loss_std,0.14432440389875328
40000,train/reward_loss_mean,0.257285890853405
40000,train/reward_loss_std,0.008511369736290067
40000,train/total_loss_mean,0.09904062584042549
40000,train/total_loss_std,0.0023675408353875946
40000,train/value_loss_mean,0.29408925490379334
40000,train/value_loss_std,0.017956863078821387
40000,train/value_scale_mean,22.26313812713623
40000,train/value_scale_std,3.2666859774122514
40000,timing/collect_chunk_s,100.31879472592846
40000,timing/train_chunk_s,20.605524175800383
40000,dense_rhs/training_bucket_horizon,3.0
40000,system/heartbeat,1.0
43992,episode/return,131.80670166015625
43992,episode/length,500.0
43993,episode/return,252.92083740234375
43993,episode/length,500.0
43994,episode/return,248.05308532714844
43994,episode/length,500.0
43995,episode/return,205.00291442871094
43995,episode/length,500.0
43996,episode/return,210.31173706054688
43996,episode/length,500.0
43997,episode/return,369.4446105957031
43997,episode/length,500.0
43998,episode/return,273.49383544921875
43998,episode/length,500.0
43999,episode/return,331.7945861816406
43999,episode/length,500.0
47992,episode/return,357.2536315917969
47992,episode/length,500.0
47993,episode/return,248.15206909179688
47993,episode/length,500.0
47994,episode/return,271.4425048828125
47994,episode/length,500.0
47995,episode/return,233.57835388183594
47995,episode/length,500.0
47996,episode/return,227.71543884277344
47996,episode/length,500.0
47997,episode/return,298.2948303222656
47997,episode/length,500.0
47998,episode/return,209.76272583007812
47998,episode/length,500.0
47999,episode/return,197.87474060058594
47999,episode/length,500.0
50000,train/consistency_loss_mean,0.002303596379980445
50000,train/consistency_loss_std,7.422747250124376e-05
50000,train/continue_loss_mean,0.0
50000,train/continue_loss_std,0.0
50000,train/grad_norm_mean,0.5617528438568116
50000,train/grad_norm_std,0.044385595969521345
50000,train/policy_log_std_mean,-0.9379561034520467
50000,train/policy_log_std_std,0.3640970208466693
50000,train/policy_loss_mean,-1.1972431606292724
50000,train/policy_loss_std,0.030110324674807412
50000,train/reward_loss_mean,0.25824123314619063
50000,train/reward_loss_std,0.00813684653546385
50000,train/total_loss_mean,0.10130078690648078
50000,train/total_loss_std,0.002906657827241618
50000,train/value_loss_mean,0.29404734885692596
50000,train/value_loss_std,0.01926548585573922
50000,train/value_scale_mean,25.324776438903807
50000,train/value_scale_std,1.440728890373987
50000,timing/collect_chunk_s,99.8543140324764
50000,timing/train_chunk_s,20.617179977241904
50000,dense_rhs/training_bucket_horizon,3.0
50000,system/heartbeat,1.0
50000,timing/checkpoint_blocking_s,0.4138377858325839
50000,eval/return_mean,298.9045104980469
50000,eval/return_std,82.62354278564453
50000,eval/return_max,398.216796875
50000,eval/return_min,48.7869873046875
50000,dense_rhs/deployment_utility_last_observed_gain,0.0
50000,dense_rhs/deployment_utility_observations,0.0
50000,timing/eval_s,104.10269710468128
50000,eval/selected_horizon,3.0
50000,eval/training_bucket_horizon,3.0
50000,system/heartbeat,1.0
51992,episode/return,298.95367431640625
51992,episode/length,500.0
51993,episode/return,118.15072631835938
51993,episode/length,500.0
51994,episode/return,0.298816978931427
51994,episode/length,500.0
51995,episode/return,174.14120483398438
51995,episode/length,500.0
51996,episode/return,340.6767272949219
51996,episode/length,500.0
51997,episode/return,184.93740844726562
51997,episode/length,500.0
51998,episode/return,202.7345428466797
51998,episode/length,500.0
51999,episode/return,326.7670593261719
51999,episode/length,500.0
55992,episode/return,308.9861145019531
55992,episode/length,500.0
55993,episode/return,185.7515106201172
55993,episode/length,500.0
55994,episode/return,246.04959106445312
55994,episode/length,500.0
55995,episode/return,190.85511779785156
55995,episode/length,500.0
55996,episode/return,125.55159759521484
55996,episode/length,500.0
55997,episode/return,268.4588623046875
55997,episode/length,500.0
55998,episode/return,235.0869598388672
55998,episode/length,500.0
55999,episode/return,228.53768920898438
55999,episode/length,500.0
59992,episode/return,257.93096923828125
59992,episode/length,500.0
59993,episode/return,189.74832153320312
59993,episode/length,500.0
59994,episode/return,290.74798583984375
59994,episode/length,500.0
59995,episode/return,225.5060577392578
59995,episode/length,500.0
59996,episode/return,207.69168090820312
59996,episode/length,500.0
59997,episode/return,0.17748814821243286
59997,episode/length,500.0
59998,episode/return,259.4949645996094
59998,episode/length,500.0
59999,episode/return,282.395263671875
59999,episode/length,500.0
60000,train/consistency_loss_mean,0.002427801986783743
60000,train/consistency_loss_std,8.741800576965263e-05
60000,train/continue_loss_mean,0.0
60000,train/continue_loss_std,0.0
60000,train/grad_norm_mean,0.5652858613967896
60000,train/grad_norm_std,0.04846837495098653
60000,train/policy_log_std_mean,-0.8901464979807536
60000,train/policy_log_std_std,0.32288146969692183
60000,train/policy_loss_mean,-1.1701502799987793
60000,train/policy_loss_std,0.04414137814447769
