step,env_index,episode_index,episode_return,episode_length,selected_horizon
3992,0,0,3.4378786087036133,500,3
3993,1,0,32.698020935058594,500,3
3994,2,0,10.225875854492188,500,3
3995,3,0,0.2142685055732727,500,3
3996,4,0,20.817867279052734,500,3
3997,5,0,10.154434204101562,500,3
3998,6,0,17.006025314331055,500,3
3999,7,0,17.14288330078125,500,3
7992,0,1,57.523983001708984,500,3
7993,1,1,54.46780776977539,500,3
7994,2,1,61.77699279785156,500,3
7995,3,1,48.88378143310547,500,3
7996,4,1,52.00471115112305,500,3
7997,5,1,44.83634948730469,500,3
7998,6,1,23.685482025146484,500,3
7999,7,1,60.446067810058594,500,3
11992,0,2,95.14755249023438,500,3
11993,1,2,76.02499389648438,500,3
11994,2,2,82.9608383178711,500,3
11995,3,2,79.0047378540039,500,3
11996,4,2,80.73397064208984,500,3
11997,5,2,49.83047866821289,500,3
11998,6,2,70.66644287109375,500,3
11999,7,2,94.53673553466797,500,3
15992,0,3,105.24815368652344,500,3
15993,1,3,116.24980163574219,500,3
15994,2,3,108.72408294677734,500,3
15995,3,3,111.4356918334961,500,3
15996,4,3,114.18997192382812,500,3
15997,5,3,122.25865936279297,500,3
15998,6,3,111.30670166015625,500,3
15999,7,3,123.4180679321289,500,3
19992,0,4,175.3645782470703,500,3
19993,1,4,168.10671997070312,500,3
19994,2,4,167.93983459472656,500,3
19995,3,4,178.02890014648438,500,3
19996,4,4,193.09495544433594,500,3
19997,5,4,183.52783203125,500,3
19998,6,4,142.26673889160156,500,3
19999,7,4,171.64991760253906,500,3
23992,0,5,234.1389923095703,500,3
23993,1,5,249.5258331298828,500,3
23994,2,5,211.7577362060547,500,3
23995,3,5,214.94393920898438,500,3
23996,4,5,237.92462158203125,500,3
23997,5,5,259.9369201660156,500,3
23998,6,5,226.30274963378906,500,3
23999,7,5,247.03463745117188,500,3
27992,0,6,259.1654968261719,500,3
27993,1,6,258.33331298828125,500,3
27994,2,6,121.17632293701172,500,3
27995,3,6,95.52085876464844,500,3
27996,4,6,99.25837707519531,500,3
27997,5,6,42.222415924072266,500,3
27998,6,6,0.23926061391830444,500,3
27999,7,6,227.93890380859375,500,3
31992,0,7,231.4689178466797,500,3
31993,1,7,284.246337890625,500,3
31994,2,7,262.9416809082031,500,3
31995,3,7,254.37353515625,500,3
31996,4,7,249.76763916015625,500,3
31997,5,7,218.92047119140625,500,3
31998,6,7,263.59136962890625,500,3
31999,7,7,259.3446350097656,500,3
35992,0,8,276.8039855957031,500,3
35993,1,8,314.87750244140625,500,3
35994,2,8,276.2416076660156,500,3
35995,3,8,271.63427734375,500,3
35996,4,8,266.0950622558594,500,3
35997,5,8,296.4689025878906,500,3
35998,6,8,275.7902526855469,500,3
35999,7,8,328.1947326660156,500,3
39992,0,9,283.7216796875,500,3
39993,1,9,246.397216796875,500,3
39994,2,9,190.4890899658203,500,3
39995,3,9,308.17218017578125,500,3
39996,4,9,108.17510223388672,500,3
39997,5,9,317.1371154785156,500,3
39998,6,9,234.90731811523438,500,3
39999,7,9,281.17486572265625,500,3
43992,0,10,313.4638671875,500,3
43993,1,10,245.81784057617188,500,3
43994,2,10,341.43048095703125,500,3
43995,3,10,216.01512145996094,500,3
43996,4,10,319.04864501953125,500,3
43997,5,10,344.3882141113281,500,3
43998,6,10,306.38702392578125,500,3
43999,7,10,354.8641052246094,500,3
47992,0,11,227.14694213867188,500,3
47993,1,11,285.4383239746094,500,3
47994,2,11,321.144775390625,500,3
47995,3,11,332.8165283203125,500,3
47996,4,11,242.59608459472656,500,3
47997,5,11,304.7283630371094,500,3
47998,6,11,300.9413757324219,500,3
47999,7,11,315.60992431640625,500,3
51992,0,12,68.54090881347656,500,3
51993,1,12,339.9631652832031,500,3
51994,2,12,353.2248229980469,500,3
51995,3,12,282.6471862792969,500,3
51996,4,12,194.41598510742188,500,3
51997,5,12,103.16078186035156,500,3
51998,6,12,339.9945983886719,500,3
51999,7,12,214.6669921875,500,3
55992,0,13,398.06005859375,500,3
55993,1,13,181.9271697998047,500,3
55994,2,13,347.871337890625,500,3
55995,3,13,96.74495697021484,500,3
55996,4,13,421.22918701171875,500,3
55997,5,13,404.5032958984375,500,3
55998,6,13,296.6078186035156,500,3
55999,7,13,351.7099914550781,500,3
59992,0,14,391.4413757324219,500,3
59993,1,14,255.834716796875,500,3
59994,2,14,161.02340698242188,500,3
59995,3,14,0.305206835269928,500,3
59996,4,14,197.907958984375,500,3
59997,5,14,373.31219482421875,500,3
59998,6,14,240.31591796875,500,3
59999,7,14,403.068115234375,500,3
63992,0,15,190.74087524414062,500,3
63993,1,15,204.7884979248047,500,3
63994,2,15,237.06626892089844,500,3
63995,3,15,171.3026123046875,500,3
63996,4,15,203.41159057617188,500,3
63997,5,15,181.7662811279297,500,3
63998,6,15,215.4314422607422,500,3
63999,7,15,202.25338745117188,500,3
67992,0,16,272.70294189453125,500,3
67993,1,16,160.59031677246094,500,3
67994,2,16,161.97030639648438,500,3
67995,3,16,138.32424926757812,500,3
67996,4,16,110.04010009765625,500,3
67997,5,16,132.1243133544922,500,3
67998,6,16,97.28748321533203,500,3
67999,7,16,203.8380126953125,500,3
71992,0,17,332.29229736328125,500,4
71993,1,17,100.82383728027344,500,4
