step,env_index,episode_index,episode_return,episode_length,selected_horizon
3992,0,0,9.050686836242676,500,3
3993,1,0,10.743167877197266,500,3
3994,2,0,10.167928695678711,500,3
3995,3,0,5.821176528930664,500,3
3996,4,0,6.598438739776611,500,3
3997,5,0,17.52391242980957,500,3
3998,6,0,9.047393798828125,500,3
3999,7,0,13.780805587768555,500,3
7992,0,1,97.50666046142578,500,3
7993,1,1,82.38922119140625,500,3
7994,2,1,84.02594757080078,500,3
7995,3,1,59.37873840332031,500,3
7996,4,1,64.1595687866211,500,3
7997,5,1,26.0007266998291,500,3
7998,6,1,33.07881164550781,500,3
7999,7,1,27.787364959716797,500,3
11992,0,2,110.26083374023438,500,3
11993,1,2,74.68803405761719,500,3
11994,2,2,99.1888198852539,500,3
11995,3,2,94.25082397460938,500,3
11996,4,2,102.68359375,500,3
11997,5,2,75.5801010131836,500,3
11998,6,2,101.66352081298828,500,3
11999,7,2,35.4639892578125,500,3
15992,0,3,98.6759262084961,500,3
15993,1,3,134.62777709960938,500,3
15994,2,3,118.41902160644531,500,3
15995,3,3,65.19853210449219,500,3
15996,4,3,144.20654296875,500,3
15997,5,3,144.42813110351562,500,3
15998,6,3,157.04489135742188,500,3
15999,7,3,132.42691040039062,500,3
19992,0,4,182.5538330078125,500,3
19993,1,4,177.50820922851562,500,3
19994,2,4,100.59173583984375,500,3
19995,3,4,186.19757080078125,500,3
19996,4,4,90.39111328125,500,3
19997,5,4,193.29454040527344,500,3
19998,6,4,155.57022094726562,500,3
19999,7,4,153.2495574951172,500,3
23992,0,5,245.97926330566406,500,3
23993,1,5,0.09643012285232544,500,3
23994,2,5,221.54782104492188,500,3
23995,3,5,173.59552001953125,500,3
23996,4,5,173.25405883789062,500,3
23997,5,5,69.23355865478516,500,3
23998,6,5,56.44425582885742,500,3
23999,7,5,162.9336395263672,500,3
27992,0,6,99.18898010253906,500,3
27993,1,6,229.95240783691406,500,3
27994,2,6,86.89115905761719,500,3
27995,3,6,249.45309448242188,500,3
27996,4,6,236.43603515625,500,3
27997,5,6,237.16415405273438,500,3
27998,6,6,238.22601318359375,500,3
27999,7,6,223.0264892578125,500,3
31992,0,7,255.22930908203125,500,3
31993,1,7,104.67484283447266,500,3
31994,2,7,270.5123291015625,500,3
31995,3,7,222.6241912841797,500,3
31996,4,7,190.6244354248047,500,3
31997,5,7,263.5873718261719,500,3
31998,6,7,219.3887939453125,500,3
31999,7,7,254.58229064941406,500,3
35992,0,8,255.61935424804688,500,3
35993,1,8,265.53302001953125,500,3
35994,2,8,194.76779174804688,500,3
35995,3,8,242.02317810058594,500,3
