step,tag,value
0,timing/prewarm_dense_rhs_s,223.32502172188833
0,system/heartbeat,1.0
3992,episode/return,11.195940971374512
3992,episode/length,500.0
3993,episode/return,19.00064468383789
3993,episode/length,500.0
3994,episode/return,15.636733055114746
3994,episode/length,500.0
3995,episode/return,11.461973190307617
3995,episode/length,500.0
3996,episode/return,10.162335395812988
3996,episode/length,500.0
3997,episode/return,9.672040939331055
3997,episode/length,500.0
3998,episode/return,12.626785278320312
3998,episode/length,500.0
3999,episode/return,10.150014877319336
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,51.18471289006993
4000,timing/train_chunk_s,236.61106771603227
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,51.18471289006993
4000,timing/train_chunk_s,237.69297665450722
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,51.18471289006993
4000,timing/train_chunk_s,238.77301274705678
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,51.18471289006993
4000,timing/train_chunk_s,239.85473631042987
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,51.18471289006993
4000,timing/train_chunk_s,240.93586328951642
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,51.18471289006993
4000,timing/train_chunk_s,242.01696482067928
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,51.18471289006993
4000,timing/train_chunk_s,243.09743098076433
4000,system/heartbeat,1.0
7992,episode/return,165.1845703125
7992,episode/length,500.0
7993,episode/return,173.6450958251953
7993,episode/length,500.0
7994,episode/return,169.379150390625
7994,episode/length,500.0
7995,episode/return,177.82052612304688
7995,episode/length,500.0
7996,episode/return,178.45285034179688
7996,episode/length,500.0
7997,episode/return,178.44496154785156
7997,episode/length,500.0
7998,episode/return,171.45802307128906
7998,episode/length,500.0
7999,episode/return,172.42626953125
7999,episode/length,500.0
10000,train/consistency_loss_mean,0.00039375940785976125
10000,train/consistency_loss_std,0.0005596535214574467
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,0.2652165056347847
10000,train/grad_norm_std,0.07657855294510334
10000,train/policy_log_std_mean,-0.7832726544062296
10000,train/policy_log_std_std,0.42911093700408537
10000,train/policy_loss_mean,-1.951894552564621
10000,train/policy_loss_std,0.9709135405250388
10000,train/reward_loss_mean,0.1669205759525299
10000,train/reward_loss_std,0.09096189312723686
10000,train/total_loss_mean,0.052950447356700896
10000,train/total_loss_std,0.02606550261875279
10000,train/value_loss_mean,0.28383200645446777
10000,train/value_loss_std,0.08559829183028901
10000,train/value_scale_mean,1.6101140167236327
10000,train/value_scale_std,0.8702164296487439
10000,timing/collect_chunk_s,232.41454722592607
10000,timing/train_chunk_s,303.0428762147203
10000,dense_rhs/training_bucket_horizon,3.0
10000,system/heartbeat,1.0
11992,episode/return,33.01033401489258
11992,episode/length,500.0
11993,episode/return,25.244300842285156
11993,episode/length,500.0
11994,episode/return,306.4101257324219
11994,episode/length,500.0
11995,episode/return,250.3467254638672
11995,episode/length,500.0
11996,episode/return,225.4280242919922
11996,episode/length,500.0
11997,episode/return,328.12713623046875
11997,episode/length,500.0
11998,episode/return,63.58466720581055
11998,episode/length,500.0
11999,episode/return,310.36102294921875
11999,episode/length,500.0
15992,episode/return,399.2126770019531
15992,episode/length,500.0
15993,episode/return,231.15342712402344
15993,episode/length,500.0
15994,episode/return,76.28131103515625
15994,episode/length,500.0
15995,episode/return,99.22811889648438
15995,episode/length,500.0
15996,episode/return,217.00718688964844
15996,episode/length,500.0
15997,episode/return,238.25503540039062
15997,episode/length,500.0
15998,episode/return,189.40396118164062
15998,episode/length,500.0
15999,episode/return,80.11023712158203
15999,episode/length,500.0
19992,episode/return,448.4666442871094
19992,episode/length,500.0
19993,episode/return,490.8310241699219
19993,episode/length,500.0
19994,episode/return,177.28001403808594
19994,episode/length,500.0
19995,episode/return,296.1178283691406
19995,episode/length,500.0
19996,episode/return,316.65557861328125
19996,episode/length,500.0
19997,episode/return,350.7671203613281
19997,episode/length,500.0
19998,episode/return,320.1889953613281
19998,episode/length,500.0
19999,episode/return,355.9154052734375
19999,episode/length,500.0
20000,train/consistency_loss_mean,0.00024670053357258437
20000,train/consistency_loss_std,1.9766635833585165e-05
20000,train/continue_loss_mean,0.0
20000,train/continue_loss_std,0.0
20000,train/grad_norm_mean,0.32632453663349154
20000,train/grad_norm_std,0.08790046244101232
20000,train/policy_log_std_mean,-0.688084673055013
20000,train/policy_log_std_std,0.2599547754326749
20000,train/policy_loss_mean,-1.4396862773895263
20000,train/policy_loss_std,0.4228272907939819
20000,train/reward_loss_mean,0.22668070487976075
20000,train/reward_loss_std,0.01075866332428652
20000,train/total_loss_mean,0.05702456774711609
20000,train/total_loss_std,0.002428758041487022
20000,train/value_loss_mean,0.29422485020160677
20000,train/value_loss_std,0.019271208482000007
20000,train/value_scale_mean,14.467728701782226
20000,train/value_scale_std,6.629233726310497
20000,timing/collect_chunk_s,69.3708442938514
20000,timing/train_chunk_s,20.57568967435509
20000,dense_rhs/training_bucket_horizon,3.0
20000,system/heartbeat,1.0
23992,episode/return,558.3340454101562
23992,episode/length,500.0
23993,episode/return,542.93603515625
23993,episode/length,500.0
23994,episode/return,573.2092895507812
23994,episode/length,500.0
23995,episode/return,309.93731689453125
23995,episode/length,500.0
23996,episode/return,572.7074584960938
23996,episode/length,500.0
23997,episode/return,459.490234375
23997,episode/length,500.0
23998,episode/return,313.3418884277344
23998,episode/length,500.0
23999,episode/return,577.49853515625
23999,episode/length,500.0
27992,episode/return,473.6247863769531
27992,episode/length,500.0
27993,episode/return,494.97607421875
27993,episode/length,500.0
27994,episode/return,607.6303100585938
27994,episode/length,500.0
27995,episode/return,507.3582763671875
27995,episode/length,500.0
27996,episode/return,442.8256530761719
27996,episode/length,500.0
27997,episode/return,593.7037353515625
27997,episode/length,500.0
27998,episode/return,409.91717529296875
