step,env_index,episode_index,episode_return,episode_length,selected_horizon
3992,0,0,20.29011344909668,500,3
3993,1,0,9.523096084594727,500,3
3994,2,0,11.52869701385498,500,3
3995,3,0,16.17962074279785,500,3
3996,4,0,8.723355293273926,500,3
3997,5,0,17.688255310058594,500,3
3998,6,0,15.423477172851562,500,3
3999,7,0,9.213947296142578,500,3
7992,0,1,168.0796661376953,500,3
7993,1,1,116.23744201660156,500,3
7994,2,1,169.65121459960938,500,3
7995,3,1,168.25271606445312,500,3
7996,4,1,170.36277770996094,500,3
7997,5,1,165.89309692382812,500,3
7998,6,1,169.77993774414062,500,3
7999,7,1,152.4010009765625,500,3
11992,0,2,275.5836181640625,500,3
11993,1,2,217.6337432861328,500,3
11994,2,2,271.3285217285156,500,3
11995,3,2,300.2574157714844,500,3
11996,4,2,106.74710845947266,500,3
11997,5,2,273.15972900390625,500,3
11998,6,2,302.4267883300781,500,3
11999,7,2,192.50460815429688,500,3
15992,0,3,247.41067504882812,500,3
15993,1,3,128.47792053222656,500,3
15994,2,3,382.2109375,500,3
15995,3,3,369.7729187011719,500,3
15996,4,3,395.66778564453125,500,3
15997,5,3,380.39208984375,500,3
15998,6,3,229.5655059814453,500,3
15999,7,3,223.0868377685547,500,3
19992,0,4,429.18707275390625,500,3
19993,1,4,445.4104309082031,500,3
19994,2,4,393.4767150878906,500,3
19995,3,4,322.4540100097656,500,3
19996,4,4,439.9256591796875,500,3
19997,5,4,358.5091857910156,500,3
19998,6,4,422.6080017089844,500,3
19999,7,4,443.9747619628906,500,3
23992,0,5,379.97735595703125,500,3
23993,1,5,164.0279998779297,500,3
23994,2,5,516.527099609375,500,3
23995,3,5,515.8672485351562,500,3
23996,4,5,520.7247314453125,500,3
23997,5,5,519.7985229492188,500,3
23998,6,5,76.31846618652344,500,3
23999,7,5,509.4181823730469,500,3
27992,0,6,83.18035888671875,500,3
27993,1,6,503.48431396484375,500,3
27994,2,6,543.1809692382812,500,3
27995,3,6,78.47401428222656,500,3
27996,4,6,522.5099487304688,500,3
27997,5,6,62.56319046020508,500,3
27998,6,6,532.8590087890625,500,3
27999,7,6,442.34014892578125,500,3
31992,0,7,249.3039093017578,500,3
31993,1,7,376.30670166015625,500,3
31994,2,7,598.024658203125,500,3
31995,3,7,295.2466125488281,500,3
31996,4,7,617.605712890625,500,3
31997,5,7,610.8323974609375,500,3
31998,6,7,613.7313232421875,500,3
31999,7,7,594.7825927734375,500,3
35992,0,8,641.9617919921875,500,3
35993,1,8,675.8268432617188,500,3
35994,2,8,394.958740234375,500,3
35995,3,8,605.4306030273438,500,3
35996,4,8,649.6759643554688,500,3
35997,5,8,556.0045776367188,500,3
35998,6,8,689.6715087890625,500,3
35999,7,8,668.2139282226562,500,3
39992,0,9,389.8969421386719,500,3
39993,1,9,658.6367797851562,500,3
39994,2,9,559.6167602539062,500,3
39995,3,9,387.77764892578125,500,3
39996,4,9,491.3138122558594,500,3
39997,5,9,557.0248413085938,500,3
39998,6,9,601.34375,500,3
39999,7,9,420.5095520019531,500,3
43992,0,10,518.2412109375,500,3
43993,1,10,725.2501831054688,500,3
43994,2,10,302.45880126953125,500,3
43995,3,10,619.8694458007812,500,3
43996,4,10,497.7427062988281,500,3
43997,5,10,714.6642456054688,500,3
43998,6,10,682.0489501953125,500,3
43999,7,10,489.3022155761719,500,3
47992,0,11,710.917724609375,500,3
47993,1,11,695.802978515625,500,3
47994,2,11,691.9158935546875,500,3
47995,3,11,563.4876708984375,500,3
47996,4,11,696.6021118164062,500,3
47997,5,11,739.5092163085938,500,3
47998,6,11,642.3095092773438,500,3
47999,7,11,713.0824584960938,500,3
51992,0,12,560.0599365234375,500,3
51993,1,12,591.0365600585938,500,3
51994,2,12,658.3128662109375,500,3
51995,3,12,649.5075073242188,500,3
51996,4,12,576.9335327148438,500,3
51997,5,12,671.9561767578125,500,3
51998,6,12,170.24795532226562,500,3
51999,7,12,613.2538452148438,500,3
55992,0,13,666.5599365234375,500,3
55993,1,13,555.9866943359375,500,3
55994,2,13,774.3909912109375,500,3
55995,3,13,598.6405029296875,500,3
55996,4,13,614.0348510742188,500,3
55997,5,13,641.5598754882812,500,3
55998,6,13,702.3063354492188,500,3
55999,7,13,756.6345825195312,500,3
59992,0,14,811.7459106445312,500,3
59993,1,14,838.0369262695312,500,3
59994,2,14,783.304443359375,500,3
59995,3,14,783.867919921875,500,3
59996,4,14,632.6793823242188,500,3
59997,5,14,670.2471313476562,500,3
59998,6,14,814.38671875,500,3
59999,7,14,817.4826049804688,500,3
63992,0,15,536.22412109375,500,3
63993,1,15,655.2655029296875,500,3
63994,2,15,753.8160400390625,500,3
63995,3,15,795.9752807617188,500,3
63996,4,15,792.0584716796875,500,3
63997,5,15,758.9281005859375,500,3
63998,6,15,623.798095703125,500,3
63999,7,15,655.822998046875,500,3
67992,0,16,228.47189331054688,500,3
67993,1,16,542.5633544921875,500,3
67994,2,16,526.64697265625,500,3
67995,3,16,462.6283874511719,500,3
67996,4,16,420.12982177734375,500,3
67997,5,16,386.9979553222656,500,3
67998,6,16,488.2362976074219,500,3
67999,7,16,364.93017578125,500,3
71992,0,17,652.1869506835938,500,3
71993,1,17,156.67088317871094,500,3
71994,2,17,555.4650268554688,500,3
71995,3,17,714.9674072265625,500,3
71996,4,17,530.007080078125,500,3
71997,5,17,286.7024841308594,500,3
71998,6,17,541.2432250976562,500,3
71999,7,17,537.0735473632812,500,3
75992,0,18,682.8946533203125,500,3
75993,1,18,646.2391967773438,500,3
75994,2,18,450.51995849609375,500,3
75995,3,18,356.02783203125,500,3
75996,4,18,669.4417114257812,500,3
75997,5,18,791.7219848632812,500,3
75998,6,18,569.9767456054688,500,3
75999,7,18,650.140869140625,500,3
79992,0,19,608.980712890625,500,3
79993,1,19,827.0319213867188,500,3
79994,2,19,667.9653930664062,500,3
79995,3,19,484.3197021484375,500,3
79996,4,19,665.4285888671875,500,3
79997,5,19,701.00439453125,500,3
79998,6,19,682.07568359375,500,3
79999,7,19,557.7278442382812,500,3
83992,0,20,592.9407348632812,500,3
83993,1,20,528.97021484375,500,3
83994,2,20,709.6014404296875,500,3
83995,3,20,637.225341796875,500,3
83996,4,20,525.0213012695312,500,3
83997,5,20,765.2353515625,500,3
83998,6,20,766.5399169921875,500,3
83999,7,20,506.325439453125,500,3
87992,0,21,639.962158203125,500,3
87993,1,21,675.1441040039062,500,3
87994,2,21,796.51318359375,500,3
87995,3,21,635.4449462890625,500,3
87996,4,21,615.1314086914062,500,3
87997,5,21,659.9780883789062,500,3
87998,6,21,683.2476806640625,500,3
87999,7,21,706.2159423828125,500,3
91992,0,22,536.1715698242188,500,3
91993,1,22,566.4131469726562,500,3
91994,2,22,602.9555053710938,500,3
91995,3,22,557.67626953125,500,3
91996,4,22,630.3067626953125,500,3
91997,5,22,593.6341552734375,500,3
91998,6,22,582.3296508789062,500,3
91999,7,22,422.9339599609375,500,3
95992,0,23,584.1717529296875,500,3
95993,1,23,804.1620483398438,500,3
95994,2,23,687.5361328125,500,3
95995,3,23,670.6175537109375,500,3
95996,4,23,630.389892578125,500,3
95997,5,23,802.5899658203125,500,3
95998,6,23,527.2911987304688,500,3
95999,7,23,865.2643432617188,500,3
99992,0,24,576.2644653320312,500,3
99993,1,24,580.9163818359375,500,3
99994,2,24,748.2894897460938,500,3
99995,3,24,859.9981079101562,500,3
99996,4,24,519.22900390625,500,3
99997,5,24,837.4686279296875,500,3
99998,6,24,607.040771484375,500,3
99999,7,24,710.1419067382812,500,3
103992,0,25,724.00537109375,500,3
103993,1,25,625.9197387695312,500,3
103994,2,25,687.613525390625,500,3
103995,3,25,646.4954833984375,500,3
103996,4,25,448.6886901855469,500,3
103997,5,25,706.2745971679688,500,3
103998,6,25,588.8854370117188,500,3
103999,7,25,507.6059265136719,500,3
107992,0,26,285.005126953125,500,3
107993,1,26,836.6802368164062,500,3
107994,2,26,881.2359619140625,500,3
107995,3,26,680.9135131835938,500,3
107996,4,26,766.6317138671875,500,3
107997,5,26,702.3373413085938,500,3
107998,6,26,719.0042114257812,500,3
107999,7,26,750.8906860351562,500,3
111992,0,27,747.0142822265625,500,3
111993,1,27,852.1734008789062,500,3
111994,2,27,599.9527587890625,500,3
111995,3,27,721.9373168945312,500,3
111996,4,27,609.601318359375,500,3
111997,5,27,872.9024658203125,500,3
111998,6,27,866.9732055664062,500,3
111999,7,27,877.1996459960938,500,3
115992,0,28,872.3945922851562,500,3
115993,1,28,833.3436889648438,500,3
115994,2,28,890.6064453125,500,3
115995,3,28,882.329345703125,500,3
115996,4,28,580.1588745117188,500,3
115997,5,28,607.3040161132812,500,3
115998,6,28,771.2711791992188,500,3
115999,7,28,755.0364379882812,500,3
119992,0,29,878.5862426757812,500,3
119993,1,29,647.40966796875,500,3
119994,2,29,775.111328125,500,3
119995,3,29,898.5169067382812,500,3
119996,4,29,591.3770141601562,500,3
119997,5,29,803.3651123046875,500,3
119998,6,29,833.9512939453125,500,3
119999,7,29,818.3877563476562,500,3
123992,0,30,820.3701782226562,500,3
123993,1,30,780.3906860351562,500,3
123994,2,30,771.818359375,500,3
123995,3,30,719.1428833007812,500,3
123996,4,30,729.3736572265625,500,3
123997,5,30,765.0505981445312,500,3
123998,6,30,713.3508911132812,500,3
123999,7,30,771.1575927734375,500,3
127992,0,31,703.41015625,500,3
127993,1,31,845.9546508789062,500,3
127994,2,31,621.5947875976562,500,3
127995,3,31,782.5872192382812,500,3
127996,4,31,866.3824462890625,500,3
127997,5,31,669.0708618164062,500,3
127998,6,31,790.505615234375,500,3
127999,7,31,710.7378540039062,500,3
131992,0,32,881.8212280273438,500,3
131993,1,32,796.6221923828125,500,3
131994,2,32,753.6405029296875,500,3
131995,3,32,774.6757202148438,500,3
131996,4,32,795.082763671875,500,3
131997,5,32,594.5703125,500,3
131998,6,32,742.3197021484375,500,3
131999,7,32,850.6060180664062,500,3
135992,0,33,780.66259765625,500,3
135993,1,33,901.2769165039062,500,3
135994,2,33,881.796875,500,3
135995,3,33,743.7219848632812,500,3
135996,4,33,876.1849975585938,500,3
135997,5,33,876.554443359375,500,3
135998,6,33,865.06982421875,500,3
135999,7,33,865.5245361328125,500,3
139992,0,34,711.5913696289062,500,3
139993,1,34,638.3585205078125,500,3
139994,2,34,769.5418090820312,500,3
139995,3,34,739.9089965820312,500,3
139996,4,34,880.22607421875,500,3
139997,5,34,778.1557006835938,500,3
139998,6,34,622.505859375,500,3
139999,7,34,618.5142211914062,500,3
143992,0,35,761.4243774414062,500,3
143993,1,35,772.0991821289062,500,3
143994,2,35,905.9091186523438,500,3
143995,3,35,805.4332885742188,500,3
143996,4,35,888.427490234375,500,3
143997,5,35,585.4617919921875,500,3
143998,6,35,901.155517578125,500,3
