step,env_index,episode_index,episode_return,episode_length,selected_horizon
3992,0,0,11.195940971374512,500,3
3993,1,0,19.271631240844727,500,3
3994,2,0,15.482904434204102,500,3
3995,3,0,11.461973190307617,500,3
3996,4,0,10.162335395812988,500,3
3997,5,0,11.316903114318848,500,3
3998,6,0,12.273994445800781,500,3
3999,7,0,10.150014877319336,500,3
7992,0,1,160.4993438720703,500,3
7993,1,1,120.96660614013672,500,3
7994,2,1,176.9396209716797,500,3
7995,3,1,164.21205139160156,500,3
7996,4,1,116.59791564941406,500,3
7997,5,1,169.7066192626953,500,3
7998,6,1,168.26162719726562,500,3
7999,7,1,173.63372802734375,500,3
11992,0,2,210.90553283691406,500,3
11993,1,2,308.5804443359375,500,3
11994,2,2,60.41571807861328,500,3
11995,3,2,304.6884765625,500,3
11996,4,2,303.63336181640625,500,3
11997,5,2,125.99148559570312,500,3
11998,6,2,261.6075439453125,500,3
11999,7,2,326.19512939453125,500,3
15992,0,3,397.10882568359375,500,3
15993,1,3,407.28668212890625,500,3
15994,2,3,225.00927734375,500,3
15995,3,3,84.555908203125,500,3
15996,4,3,397.9861755371094,500,3
15997,5,3,400.1419982910156,500,3
15998,6,3,402.1749572753906,500,3
15999,7,3,416.9486083984375,500,3
19992,0,4,432.5447692871094,500,3
19993,1,4,159.65093994140625,500,3
19994,2,4,482.56866455078125,500,3
19995,3,4,484.9696960449219,500,3
19996,4,4,477.42254638671875,500,3
19997,5,4,470.6224365234375,500,3
19998,6,4,486.2723083496094,500,3
19999,7,4,277.5286560058594,500,3
23992,0,5,500.89581298828125,500,3
23993,1,5,546.0042724609375,500,3
23994,2,5,511.9265441894531,500,3
23995,3,5,532.38330078125,500,3
23996,4,5,67.66754150390625,500,3
23997,5,5,372.4578857421875,500,3
23998,6,5,341.3747253417969,500,3
23999,7,5,527.8960571289062,500,3
27992,0,6,188.10137939453125,500,3
27993,1,6,234.59262084960938,500,3
27994,2,6,572.232421875,500,3
27995,3,6,162.1688690185547,500,3
27996,4,6,439.1014404296875,500,3
27997,5,6,576.8718872070312,500,3
27998,6,6,519.6924438476562,500,3
27999,7,6,592.0333862304688,500,3
31992,0,7,416.12615966796875,500,3
31993,1,7,505.1346130371094,500,3
31994,2,7,385.18267822265625,500,3
31995,3,7,607.3981323242188,500,3
31996,4,7,613.2869873046875,500,3
31997,5,7,598.545654296875,500,3
31998,6,7,619.6110229492188,500,3
31999,7,7,362.2863464355469,500,3
35992,0,8,520.3746948242188,500,3
35993,1,8,558.5972290039062,500,3
35994,2,8,562.6234741210938,500,3
35995,3,8,681.0480346679688,500,3
35996,4,8,553.4616088867188,500,3
35997,5,8,577.774658203125,500,3
35998,6,8,497.7685852050781,500,3
35999,7,8,474.6965026855469,500,3
39992,0,9,365.5386962890625,500,3
39993,1,9,586.7107543945312,500,3
39994,2,9,549.655029296875,500,3
39995,3,9,329.8865966796875,500,3
39996,4,9,610.022216796875,500,3
39997,5,9,558.899169921875,500,3
39998,6,9,453.2228698730469,500,3
39999,7,9,493.70672607421875,500,3
43992,0,10,596.5499267578125,500,3
43993,1,10,587.34326171875,500,3
43994,2,10,567.3846435546875,500,3
43995,3,10,411.8921203613281,500,3
43996,4,10,689.94140625,500,3
43997,5,10,695.003173828125,500,3
43998,6,10,447.98284912109375,500,3
43999,7,10,572.568359375,500,3
47992,0,11,378.6144714355469,500,3
47993,1,11,589.48876953125,500,3
47994,2,11,526.9201049804688,500,3
47995,3,11,422.6967468261719,500,3
47996,4,11,585.5578002929688,500,3
47997,5,11,695.020751953125,500,3
47998,6,11,175.9521026611328,500,3
47999,7,11,530.0579833984375,500,3
51992,0,12,608.6860961914062,500,3
51993,1,12,443.58349609375,500,3
51994,2,12,481.6361999511719,500,3
51995,3,12,500.0173645019531,500,3
51996,4,12,692.5965576171875,500,3
51997,5,12,557.0629272460938,500,3
51998,6,12,504.98638916015625,500,3
51999,7,12,414.601318359375,500,3
