step,tag,value
3992,episode/return,19.18891143798828
3992,episode/length,500.0
3993,episode/return,8.97797966003418
3993,episode/length,500.0
3994,episode/return,16.32122802734375
3994,episode/length,500.0
3995,episode/return,14.148799896240234
3995,episode/length,500.0
3996,episode/return,12.170108795166016
3996,episode/length,500.0
3997,episode/return,14.490476608276367
3997,episode/length,500.0
3998,episode/return,10.69620132446289
3998,episode/length,500.0
3999,episode/return,19.261423110961914
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,51.61521482281387
4000,timing/train_chunk_s,239.4096306366846
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,51.61521482281387
4000,timing/train_chunk_s,240.53672237833962
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,51.61521482281387
4000,timing/train_chunk_s,241.6624393570237
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,51.61521482281387
4000,timing/train_chunk_s,242.7898928206414
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,51.61521482281387
4000,timing/train_chunk_s,243.91708532860503
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,51.61521482281387
4000,timing/train_chunk_s,245.043988651596
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,51.61521482281387
4000,timing/train_chunk_s,246.17230054503307
4000,system/heartbeat,1.0
7992,episode/return,173.17025756835938
7992,episode/length,500.0
7993,episode/return,73.87001037597656
7993,episode/length,500.0
7994,episode/return,187.84347534179688
7994,episode/length,500.0
7995,episode/return,177.5123748779297
7995,episode/length,500.0
7996,episode/return,28.135438919067383
7996,episode/length,500.0
7997,episode/return,28.852296829223633
7997,episode/length,500.0
7998,episode/return,149.78025817871094
7998,episode/length,500.0
7999,episode/return,171.79905700683594
7999,episode/length,500.0
10000,train/consistency_loss_mean,0.0004088096263934858
10000,train/consistency_loss_std,0.0005568792576267968
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
