step,tag,value
0,timing/prewarm_dense_rhs_s,221.8487159460783
0,system/heartbeat,1.0
3992,episode/return,0.0
3992,episode/length,500.0
3993,episode/return,0.0
3993,episode/length,500.0
3994,episode/return,0.0
3994,episode/length,500.0
3995,episode/return,0.0
3995,episode/length,500.0
3996,episode/return,0.0
3996,episode/length,500.0
3997,episode/return,0.0
3997,episode/length,500.0
3998,episode/return,0.0
3998,episode/length,500.0
3999,episode/return,0.0
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,46.7140112076886
4000,timing/train_chunk_s,234.11391731910408
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,46.7140112076886
4000,timing/train_chunk_s,235.19402325712144
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,46.7140112076886
4000,timing/train_chunk_s,236.27486931812018
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,46.7140112076886
4000,timing/train_chunk_s,237.35662110801786
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,46.7140112076886
4000,timing/train_chunk_s,238.43773245438933
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,46.7140112076886
4000,timing/train_chunk_s,239.51864803489298
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,46.7140112076886
4000,timing/train_chunk_s,240.59969920292497
4000,system/heartbeat,1.0
7992,episode/return,0.0
7992,episode/length,500.0
7993,episode/return,0.0
7993,episode/length,500.0
7994,episode/return,0.0
7994,episode/length,500.0
7995,episode/return,0.0
7995,episode/length,500.0
7996,episode/return,0.0
7996,episode/length,500.0
7997,episode/return,0.0
7997,episode/length,500.0
7998,episode/return,0.0
7998,episode/length,500.0
7999,episode/return,0.0
7999,episode/length,500.0
10000,train/consistency_loss_mean,0.0017485395323485137
10000,train/consistency_loss_std,0.0005504987585232315
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,0.6512724739074707
10000,train/grad_norm_std,0.18012146818678354
10000,train/policy_log_std_mean,-0.16201075635254383
10000,train/policy_log_std_std,0.31196955082596667
10000,train/policy_loss_mean,-0.02176258815275505
10000,train/policy_loss_std,0.06133965504597125
10000,train/reward_loss_mean,0.0071598371978237995
10000,train/reward_loss_std,0.08693617929782786
10000,train/total_loss_mean,0.037033458876609804
10000,train/total_loss_std,0.025927718574696338
10000,train/value_loss_mean,0.01346684597345302
10000,train/value_loss_std,0.08873640171280812
10000,train/value_scale_mean,1.000554292011261
10000,train/value_scale_std,0.007374083891664073
10000,timing/collect_chunk_s,266.6380037320778
10000,timing/train_chunk_s,299.00970365758985
10000,dense_rhs/training_bucket_horizon,3.0
10000,system/heartbeat,1.0
11992,episode/return,109.0
11992,episode/length,500.0
11993,episode/return,890.0
11993,episode/length,500.0
11994,episode/return,0.0
11994,episode/length,500.0
11995,episode/return,384.0
11995,episode/length,500.0
11996,episode/return,0.0
11996,episode/length,500.0
11997,episode/return,0.0
11997,episode/length,500.0
11998,episode/return,251.0
11998,episode/length,500.0
11999,episode/return,0.0
11999,episode/length,500.0
15992,episode/return,0.0
15992,episode/length,500.0
15993,episode/return,288.0
15993,episode/length,500.0
15994,episode/return,716.0
