step,tag,value
3992,episode/return,838.0
3992,episode/length,500.0
3993,episode/return,0.0
3993,episode/length,500.0
3994,episode/return,1.0
3994,episode/length,500.0
3995,episode/return,0.0
3995,episode/length,500.0
3996,episode/return,532.0
3996,episode/length,500.0
3997,episode/return,0.0
3997,episode/length,500.0
3998,episode/return,0.0
3998,episode/length,500.0
3999,episode/return,0.0
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,48.54350897902623
4000,timing/train_chunk_s,235.26900761434808
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,48.54350897902623
4000,timing/train_chunk_s,236.34771845163777
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,48.54350897902623
4000,timing/train_chunk_s,237.42651990242302
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,48.54350897902623
4000,timing/train_chunk_s,238.5068056420423
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,48.54350897902623
4000,timing/train_chunk_s,239.58691995125264
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,48.54350897902623
4000,timing/train_chunk_s,240.66582490876317
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,48.54350897902623
4000,timing/train_chunk_s,241.74353288765997
4000,system/heartbeat,1.0
7992,episode/return,0.0
7992,episode/length,500.0
7993,episode/return,465.0
7993,episode/length,500.0
7994,episode/return,170.0
7994,episode/length,500.0
7995,episode/return,0.0
7995,episode/length,500.0
7996,episode/return,894.0
7996,episode/length,500.0
7997,episode/return,213.0
7997,episode/length,500.0
7998,episode/return,179.0
7998,episode/length,500.0
7999,episode/return,0.0
7999,episode/length,500.0
10000,train/consistency_loss_mean,0.0016999092139303685
10000,train/consistency_loss_std,0.0005299628684717543
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,0.7022196619033814
10000,train/grad_norm_std,0.1932096578897768
10000,train/policy_log_std_mean,-0.626818316078186
10000,train/policy_log_std_std,0.6607702459517151
10000,train/policy_loss_mean,-0.14399360027313232
10000,train/policy_loss_std,0.038521123135160235
10000,train/reward_loss_mean,0.093429160040617
10000,train/reward_loss_std,0.09469438553425565
10000,train/total_loss_mean,0.082298782902956
10000,train/total_loss_std,0.02971878049069465
10000,train/value_loss_mean,0.38957681782245634
10000,train/value_loss_std,0.15641145035336956
10000,train/value_scale_mean,53.46679399719238
10000,train/value_scale_std,28.512803146864716
10000,timing/collect_chunk_s,264.0829859082587
10000,timing/train_chunk_s,299.41033175587654
10000,dense_rhs/training_bucket_horizon,3.0
10000,system/heartbeat,1.0
11992,episode/return,216.0
11992,episode/length,500.0
11993,episode/return,0.0
