step,tag,value
0,timing/prewarm_dense_rhs_s,217.36226999992505
0,system/heartbeat,1.0
3992,episode/return,0.0
3992,episode/length,500.0
3993,episode/return,0.0
3993,episode/length,500.0
3994,episode/return,0.0
3994,episode/length,500.0
3995,episode/return,0.0
3995,episode/length,500.0
3996,episode/return,0.0
3996,episode/length,500.0
3997,episode/return,0.0
3997,episode/length,500.0
3998,episode/return,0.0
3998,episode/length,500.0
3999,episode/return,0.0
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,43.558397193439305
4000,timing/train_chunk_s,232.8021376701072
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,43.558397193439305
4000,timing/train_chunk_s,233.87392659438774
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,43.558397193439305
4000,timing/train_chunk_s,234.9470332833007
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,43.558397193439305
4000,timing/train_chunk_s,236.01997264521196
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,43.558397193439305
4000,timing/train_chunk_s,237.09383919509128
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,43.558397193439305
4000,timing/train_chunk_s,238.16767949284986
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,43.558397193439305
4000,timing/train_chunk_s,239.24100880604237
4000,system/heartbeat,1.0
7992,episode/return,0.0
7992,episode/length,500.0
7993,episode/return,0.0
7993,episode/length,500.0
7994,episode/return,0.0
7994,episode/length,500.0
7995,episode/return,0.0
7995,episode/length,500.0
7996,episode/return,0.0
7996,episode/length,500.0
7997,episode/return,0.0
7997,episode/length,500.0
7998,episode/return,0.0
7998,episode/length,500.0
7999,episode/return,0.0
7999,episode/length,500.0
10000,train/consistency_loss_mean,9.282154889951926e-05
10000,train/consistency_loss_std,0.0004291155665131841
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,0.10780550608336925
10000,train/grad_norm_std,0.05685007641518229
10000,train/policy_log_std_mean,-0.13496620565056802
10000,train/policy_log_std_std,0.07667380098199923
10000,train/policy_loss_mean,-0.0001270511969109066
10000,train/policy_loss_std,8.425991867881083e-06
10000,train/reward_loss_mean,0.004676516541129968
10000,train/reward_loss_std,0.08642968786176787
10000,train/total_loss_mean,0.002799803809239529
10000,train/total_loss_std,0.025080773277209843
10000,train/value_loss_mean,0.004757212353314389
10000,train/value_loss_std,0.08703700932689222
10000,train/value_scale_mean,1.0
10000,train/value_scale_std,0.0
10000,timing/collect_chunk_s,223.6753876605071
10000,timing/train_chunk_s,297.2776616332121
10000,dense_rhs/training_bucket_horizon,3.0
10000,system/heartbeat,1.0
11992,episode/return,0.0
11992,episode/length,500.0
11993,episode/return,0.0
11993,episode/length,500.0
11994,episode/return,0.0
11994,episode/length,500.0
11995,episode/return,0.0
11995,episode/length,500.0
11996,episode/return,0.0
11996,episode/length,500.0
11997,episode/return,0.0
11997,episode/length,500.0
11998,episode/return,0.0
11998,episode/length,500.0
11999,episode/return,0.0
11999,episode/length,500.0
15992,episode/return,0.0
15992,episode/length,500.0
15993,episode/return,0.0
15993,episode/length,500.0
15994,episode/return,0.0
15994,episode/length,500.0
15995,episode/return,0.0
15995,episode/length,500.0
15996,episode/return,0.0
15996,episode/length,500.0
15997,episode/return,0.0
15997,episode/length,500.0
15998,episode/return,0.0
15998,episode/length,500.0
15999,episode/return,0.0
15999,episode/length,500.0
19992,episode/return,0.0
19992,episode/length,500.0
19993,episode/return,0.0
19993,episode/length,500.0
19994,episode/return,0.0
19994,episode/length,500.0
19995,episode/return,0.0
19995,episode/length,500.0
19996,episode/return,0.0
19996,episode/length,500.0
19997,episode/return,0.0
19997,episode/length,500.0
19998,episode/return,0.0
19998,episode/length,500.0
19999,episode/return,0.0
19999,episode/length,500.0
20000,train/consistency_loss_mean,1.8890688197279814e-05
20000,train/consistency_loss_std,4.390192865638353e-06
20000,train/continue_loss_mean,0.0
20000,train/continue_loss_std,0.0
20000,train/grad_norm_mean,0.07119191197752953
20000,train/grad_norm_std,0.024473171340910146
20000,train/policy_log_std_mean,-0.13425773411393166
20000,train/policy_log_std_std,0.04088950827534283
20000,train/policy_loss_mean,-0.000127307300909888
20000,train/policy_loss_std,6.765489238587832e-07
20000,train/reward_loss_mean,5.40511373174013e-08
20000,train/reward_loss_std,9.011981884935378e-08
20000,train/total_loss_mean,0.0003808284210972488
20000,train/total_loss_std,8.780988116655552e-05
20000,train/value_loss_mean,3.009250631730538e-05
20000,train/value_loss_std,1.3841246591522982e-07
20000,train/value_scale_mean,1.0
20000,train/value_scale_std,0.0
20000,timing/collect_chunk_s,97.72947147721425
20000,timing/train_chunk_s,20.43029324710369
20000,dense_rhs/training_bucket_horizon,3.0
20000,system/heartbeat,1.0
23992,episode/return,0.0
23992,episode/length,500.0
23993,episode/return,0.0
23993,episode/length,500.0
23994,episode/return,100.0
23994,episode/length,500.0
23995,episode/return,0.0
23995,episode/length,500.0
23996,episode/return,0.0
23996,episode/length,500.0
23997,episode/return,0.0
23997,episode/length,500.0
23998,episode/return,0.0
23998,episode/length,500.0
23999,episode/return,0.0
23999,episode/length,500.0
27992,episode/return,888.0
27992,episode/length,500.0
27993,episode/return,816.0
27993,episode/length,500.0
27994,episode/return,983.0
27994,episode/length,500.0
27995,episode/return,0.0
27995,episode/length,500.0
27996,episode/return,998.0
27996,episode/length,500.0
27997,episode/return,906.0
27997,episode/length,500.0
27998,episode/return,0.0
27998,episode/length,500.0
27999,episode/return,0.0
27999,episode/length,500.0
30000,train/consistency_loss_mean,3.944856094312854e-05
30000,train/consistency_loss_std,2.302964051075345e-05
30000,train/continue_loss_mean,0.0
30000,train/continue_loss_std,0.0
30000,train/grad_norm_mean,0.1503759647190571
30000,train/grad_norm_std,0.11291672570119395
30000,train/policy_log_std_mean,-0.5370435338020325
30000,train/policy_log_std_std,0.6089980365121733
30000,train/policy_loss_mean,-0.12069589312653989
30000,train/policy_loss_std,0.11562706035793979
30000,train/reward_loss_mean,0.015793374948948623
30000,train/reward_loss_std,0.015663090332638754
30000,train/total_loss_mean,0.020503272769693284
30000,train/total_loss_std,0.01768729722238674
30000,train/value_loss_mean,0.18134963953752303
30000,train/value_loss_std,0.1604406530599808
30000,train/value_scale_mean,19.12921189994812
30000,train/value_scale_std,22.045450131088952
30000,timing/collect_chunk_s,96.79154844861478
30000,timing/train_chunk_s,20.48399108182639
30000,dense_rhs/training_bucket_horizon,3.0
30000,system/heartbeat,1.0
31992,episode/return,0.0
31992,episode/length,500.0
31993,episode/return,0.0
31993,episode/length,500.0
31994,episode/return,0.0
31994,episode/length,500.0
31995,episode/return,0.0
31995,episode/length,500.0
31996,episode/return,992.0
31996,episode/length,500.0
31997,episode/return,0.0
31997,episode/length,500.0
31998,episode/return,0.0
31998,episode/length,500.0
31999,episode/return,0.0
31999,episode/length,500.0
35992,episode/return,619.0
35992,episode/length,500.0
35993,episode/return,846.0
35993,episode/length,500.0
35994,episode/return,718.0
35994,episode/length,500.0
35995,episode/return,656.0
35995,episode/length,500.0
35996,episode/return,653.0
35996,episode/length,500.0
35997,episode/return,785.0
35997,episode/length,500.0
35998,episode/return,672.0
35998,episode/length,500.0
35999,episode/return,684.0
35999,episode/length,500.0
39992,episode/return,905.0
39992,episode/length,500.0
39993,episode/return,947.0
39993,episode/length,500.0
39994,episode/return,951.0
39994,episode/length,500.0
39995,episode/return,910.0
39995,episode/length,500.0
39996,episode/return,909.0
39996,episode/length,500.0
39997,episode/return,949.0
39997,episode/length,500.0
39998,episode/return,949.0
39998,episode/length,500.0
39999,episode/return,903.0
39999,episode/length,500.0
40000,train/consistency_loss_mean,3.6675148573704064e-05
40000,train/consistency_loss_std,8.759998361267706e-06
40000,train/continue_loss_mean,0.0
40000,train/continue_loss_std,0.0
40000,train/grad_norm_mean,0.0832418564170599
40000,train/grad_norm_std,0.03880901793210724
40000,train/policy_log_std_mean,-0.9935568185329438
40000,train/policy_log_std_std,0.617412558206181
40000,train/policy_loss_mean,-1.0283427383422852
40000,train/policy_loss_std,0.5113264711796176
40000,train/reward_loss_mean,0.060188560938835144
40000,train/reward_loss_std,0.022997226751023864
40000,train/total_loss_mean,0.039024778753519056
40000,train/total_loss_std,0.004364798930644609
40000,train/value_loss_mean,0.3227241859674454
40000,train/value_loss_std,0.04491485913102329
40000,train/value_scale_mean,46.167845111083984
40000,train/value_scale_std,8.174002081325957
40000,timing/collect_chunk_s,100.26057246234268
40000,timing/train_chunk_s,20.515821524430066
40000,dense_rhs/training_bucket_horizon,3.0
40000,system/heartbeat,1.0
43992,episode/return,912.0
43992,episode/length,500.0
43993,episode/return,964.0
43993,episode/length,500.0
43994,episode/return,965.0
43994,episode/length,500.0
43995,episode/return,963.0
43995,episode/length,500.0
43996,episode/return,961.0
43996,episode/length,500.0
43997,episode/return,962.0
43997,episode/length,500.0
43998,episode/return,968.0
43998,episode/length,500.0
43999,episode/return,960.0
43999,episode/length,500.0
47992,episode/return,989.0
47992,episode/length,500.0
47993,episode/return,963.0
47993,episode/length,500.0
47994,episode/return,963.0
47994,episode/length,500.0
47995,episode/return,995.0
47995,episode/length,500.0
47996,episode/return,959.0
