step,tag,value
3992,episode/return,0.0
3992,episode/length,500.0
3993,episode/return,0.0
3993,episode/length,500.0
3994,episode/return,0.0
3994,episode/length,500.0
3995,episode/return,0.0
3995,episode/length,500.0
3996,episode/return,0.0
3996,episode/length,500.0
3997,episode/return,0.0
3997,episode/length,500.0
3998,episode/return,0.0
3998,episode/length,500.0
3999,episode/return,0.0
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,45.24292925698683
4000,timing/train_chunk_s,235.5850288379006
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,45.24292925698683
4000,timing/train_chunk_s,236.7109325248748
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,45.24292925698683
4000,timing/train_chunk_s,237.83749723481014
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,45.24292925698683
4000,timing/train_chunk_s,238.9665943160653
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,45.24292925698683
4000,timing/train_chunk_s,240.09357619984075
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,45.24292925698683
4000,timing/train_chunk_s,241.22087792074308
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,45.24292925698683
4000,timing/train_chunk_s,242.34633655985817
4000,system/heartbeat,1.0
7992,episode/return,0.0
7992,episode/length,500.0
7993,episode/return,0.0
7993,episode/length,500.0
7994,episode/return,0.0
7994,episode/length,500.0
7995,episode/return,0.0
7995,episode/length,500.0
7996,episode/return,0.0
7996,episode/length,500.0
7997,episode/return,0.0
7997,episode/length,500.0
7998,episode/return,0.0
7998,episode/length,500.0
7999,episode/return,0.0
7999,episode/length,500.0
10000,train/consistency_loss_mean,9.1794081950502e-05
10000,train/consistency_loss_std,0.00042042420256511645
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,0.10681913823783398
10000,train/grad_norm_std,0.058229880512571885
10000,train/policy_log_std_mean,-0.13501231462359428
10000,train/policy_log_std_std,0.07700281431917008
10000,train/policy_loss_mean,-0.0001270443073124625
10000,train/policy_loss_std,8.513692218577817e-06
10000,train/reward_loss_mean,0.004677337133153651
10000,train/reward_loss_std,0.08635655948932584
10000,train/total_loss_mean,0.002779155967081897
10000,train/total_loss_std,0.024923399516115816
10000,train/value_loss_mean,0.00475540687085886
10000,train/value_loss_std,0.08702973016192801
10000,train/value_scale_mean,1.0
10000,train/value_scale_std,0.0
10000,timing/collect_chunk_s,228.66589600685984
10000,timing/train_chunk_s,301.1104429308325
10000,dense_rhs/training_bucket_horizon,3.0
10000,system/heartbeat,1.0
11992,episode/return,0.0
11992,episode/length,500.0
11993,episode/return,0.0
11993,episode/length,500.0
11994,episode/return,0.0
11994,episode/length,500.0
11995,episode/return,0.0
11995,episode/length,500.0
11996,episode/return,0.0
11996,episode/length,500.0
11997,episode/return,0.0
11997,episode/length,500.0
11998,episode/return,0.0
11998,episode/length,500.0
11999,episode/return,0.0
11999,episode/length,500.0
15992,episode/return,0.0
15992,episode/length,500.0
15993,episode/return,0.0
15993,episode/length,500.0
15994,episode/return,0.0
15994,episode/length,500.0
15995,episode/return,0.0
15995,episode/length,500.0
15996,episode/return,0.0
15996,episode/length,500.0
15997,episode/return,0.0
15997,episode/length,500.0
15998,episode/return,0.0
15998,episode/length,500.0
15999,episode/return,0.0
15999,episode/length,500.0
19992,episode/return,0.0
19992,episode/length,500.0
19993,episode/return,0.0
19993,episode/length,500.0
19994,episode/return,0.0
19994,episode/length,500.0
19995,episode/return,0.0
19995,episode/length,500.0
19996,episode/return,0.0
19996,episode/length,500.0
19997,episode/return,0.0
19997,episode/length,500.0
19998,episode/return,0.0
19998,episode/length,500.0
19999,episode/return,0.0
19999,episode/length,500.0
20000,train/consistency_loss_mean,1.9383616475533928e-05
20000,train/consistency_loss_std,4.433545568168645e-06
20000,train/continue_loss_mean,0.0
20000,train/continue_loss_std,0.0
20000,train/grad_norm_mean,0.07189368497133256
20000,train/grad_norm_std,0.02385487775487689
20000,train/policy_log_std_mean,-0.13425835745930673
20000,train/policy_log_std_std,0.04070780078039381
