step,tag,value
0,timing/prewarm_dense_rhs_s,221.5195916192606
0,system/heartbeat,1.0
3992,episode/return,0.0
3992,episode/length,500.0
3993,episode/return,270.0
3993,episode/length,500.0
3994,episode/return,59.0
3994,episode/length,500.0
3995,episode/return,59.0
3995,episode/length,500.0
3996,episode/return,0.0
3996,episode/length,500.0
3997,episode/return,0.0
3997,episode/length,500.0
3998,episode/return,0.0
3998,episode/length,500.0
3999,episode/return,406.0
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,50.04258904699236
4000,timing/train_chunk_s,234.59581637196243
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,50.04258904699236
4000,timing/train_chunk_s,235.7257729973644
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,50.04258904699236
4000,timing/train_chunk_s,236.85588919045404
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,50.04258904699236
4000,timing/train_chunk_s,237.98694276018068
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,50.04258904699236
4000,timing/train_chunk_s,239.12010759394616
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,50.04258904699236
4000,timing/train_chunk_s,240.25365346018225
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,50.04258904699236
4000,timing/train_chunk_s,241.38646978372708
4000,system/heartbeat,1.0
7992,episode/return,0.0
7992,episode/length,500.0
7993,episode/return,0.0
7993,episode/length,500.0
7994,episode/return,776.0
7994,episode/length,500.0
7995,episode/return,0.0
7995,episode/length,500.0
7996,episode/return,0.0
7996,episode/length,500.0
7997,episode/return,0.0
7997,episode/length,500.0
7998,episode/return,0.0
7998,episode/length,500.0
7999,episode/return,0.0
7999,episode/length,500.0
10000,train/consistency_loss_mean,0.0020505540355108677
10000,train/consistency_loss_std,0.0005037417072770576
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,1.0801552726745605
10000,train/grad_norm_std,0.40867929067182257
10000,train/policy_log_std_mean,-0.5165905251979828
10000,train/policy_log_std_std,0.5100836276434584
10000,train/policy_loss_mean,-0.1434787008881569
10000,train/policy_loss_std,0.040049660809097644
10000,train/reward_loss_mean,0.053166709777712824
10000,train/reward_loss_std,0.09176724409504257
10000,train/total_loss_mean,0.08959975075125694
10000,train/total_loss_std,0.0264888847228187
10000,train/value_loss_mean,0.43271998364925385
10000,train/value_loss_std,0.11135301334130514
10000,train/value_scale_mean,52.77172653961182
10000,train/value_scale_std,30.11280168525096
10000,timing/collect_chunk_s,258.8035749774426
10000,timing/train_chunk_s,303.4584509613924
10000,dense_rhs/training_bucket_horizon,3.0
10000,system/heartbeat,1.0
11992,episode/return,0.0
11992,episode/length,500.0
11993,episode/return,0.0
11993,episode/length,500.0
11994,episode/return,0.0
11994,episode/length,500.0
11995,episode/return,0.0
11995,episode/length,500.0
11996,episode/return,1000.0
11996,episode/length,500.0
11997,episode/return,0.0
