step,env_index,episode_index,episode_return,episode_length,selected_horizon
3992,0,0,75.90261840820312,500,3
3993,1,0,49.87364959716797,500,3
3994,2,0,93.5804672241211,500,3
3995,3,0,59.858009338378906,500,3
3996,4,0,29.204696655273438,500,3
3997,5,0,101.74461364746094,500,3
3998,6,0,93.0966567993164,500,3
3999,7,0,30.872814178466797,500,3
7992,0,1,77.63143920898438,500,3
7993,1,1,121.73394012451172,500,3
7994,2,1,99.88430786132812,500,3
7995,3,1,45.00057601928711,500,3
7996,4,1,75.75543212890625,500,3
7997,5,1,119.71617126464844,500,3
7998,6,1,99.46455383300781,500,3
7999,7,1,76.44036865234375,500,3
11992,0,2,84.56700897216797,500,3
11993,1,2,101.26371002197266,500,3
11994,2,2,104.30157470703125,500,3
11995,3,2,88.13687133789062,500,3
11996,4,2,86.82325744628906,500,3
11997,5,2,62.774269104003906,500,3
11998,6,2,78.91419982910156,500,3
11999,7,2,90.0169677734375,500,3
15992,0,3,95.47796630859375,500,3
15993,1,3,95.6046371459961,500,3
15994,2,3,83.46329498291016,500,3
15995,3,3,75.21235656738281,500,3
15996,4,3,109.59313201904297,500,3
15997,5,3,72.51512908935547,500,3
15998,6,3,30.957809448242188,500,3
15999,7,3,110.05049133300781,500,3
19992,0,4,48.413028717041016,500,3
19993,1,4,68.01756286621094,500,3
19994,2,4,57.48280715942383,500,3
19995,3,4,76.01458740234375,500,3
19996,4,4,32.550968170166016,500,3
19997,5,4,104.04658508300781,500,3
19998,6,4,19.592546463012695,500,3
19999,7,4,65.60330963134766,500,3
23992,0,5,78.53691864013672,500,3
23993,1,5,99.99063873291016,500,3
23994,2,5,28.623571395874023,500,3
23995,3,5,76.56167602539062,500,3
23996,4,5,57.271759033203125,500,3
23997,5,5,67.00455474853516,500,3
23998,6,5,68.40695190429688,500,3
23999,7,5,99.49366760253906,500,3
27992,0,6,187.7786102294922,500,3
27993,1,6,83.18500518798828,500,3
27994,2,6,142.5393829345703,500,3
27995,3,6,103.95594024658203,500,3
27996,4,6,63.3564567565918,500,3
27997,5,6,96.87570190429688,500,3
27998,6,6,61.31067657470703,500,3
27999,7,6,83.49217224121094,500,3
31992,0,7,102.36180114746094,500,3
31993,1,7,23.10042953491211,500,3
31994,2,7,45.32209777832031,500,3
31995,3,7,75.76363372802734,500,3
31996,4,7,101.9425277709961,500,3
31997,5,7,87.95081329345703,500,3
31998,6,7,73.59369659423828,500,3
31999,7,7,74.3702392578125,500,3
35992,0,8,89.27903747558594,500,3
35993,1,8,78.93840789794922,500,3
35994,2,8,78.88111877441406,500,3
35995,3,8,52.183799743652344,500,3
35996,4,8,164.1239776611328,500,3
35997,5,8,104.94862365722656,500,3
35998,6,8,84.78050994873047,500,3
35999,7,8,77.8458480834961,500,3
39992,0,9,104.78224182128906,500,3
39993,1,9,208.19285583496094,500,3
39994,2,9,47.545204162597656,500,3
39995,3,9,20.77747917175293,500,3
39996,4,9,152.7478485107422,500,3
39997,5,9,15.802939414978027,500,3
39998,6,9,60.311485290527344,500,3
39999,7,9,75.4127197265625,500,3
43992,0,10,36.96464538574219,500,3
43993,1,10,49.12635040283203,500,3
43994,2,10,83.91161346435547,500,3
43995,3,10,62.17548751831055,500,3
43996,4,10,60.565242767333984,500,3
43997,5,10,55.29035186767578,500,3
43998,6,10,101.6662368774414,500,3
43999,7,10,105.16685485839844,500,3
47992,0,11,4.991024017333984,500,3
47993,1,11,14.263008117675781,500,3
47994,2,11,14.113472938537598,500,3
47995,3,11,100.29145050048828,500,3
47996,4,11,60.18611145019531,500,3
47997,5,11,73.48807525634766,500,3
47998,6,11,8.567129135131836,500,3
47999,7,11,94.52080535888672,500,3
51992,0,12,171.7571258544922,500,3
51993,1,12,64.45155334472656,500,3
51994,2,12,116.39165496826172,500,3
51995,3,12,81.0016098022461,500,3
51996,4,12,113.70802307128906,500,3
51997,5,12,336.0378723144531,500,3
51998,6,12,245.03123474121094,500,3
51999,7,12,73.11750030517578,500,3
55992,0,13,86.1161880493164,500,3
55993,1,13,30.899673461914062,500,3
55994,2,13,117.05374145507812,500,3
55995,3,13,76.67776489257812,500,3
55996,4,13,63.743919372558594,500,3
55997,5,13,211.30128479003906,500,3
55998,6,13,102.24812316894531,500,3
55999,7,13,78.00743103027344,500,3
59992,0,14,103.01622009277344,500,3
59993,1,14,10.908713340759277,500,3
59994,2,14,114.00150299072266,500,3
59995,3,14,74.31220245361328,500,3
59996,4,14,61.1816291809082,500,3
59997,5,14,108.29838562011719,500,3
59998,6,14,24.958402633666992,500,3
59999,7,14,67.16409301757812,500,3
63992,0,15,103.7864990234375,500,3
63993,1,15,103.29339599609375,500,3
63994,2,15,70.93629455566406,500,3
63995,3,15,46.75865936279297,500,3
63996,4,15,94.35895538330078,500,3
63997,5,15,104.13168334960938,500,3
63998,6,15,66.37661743164062,500,3
63999,7,15,101.6415023803711,500,3
67992,0,16,64.93968200683594,500,3
67993,1,16,173.4772186279297,500,3
67994,2,16,122.23397827148438,500,3
67995,3,16,90.39874267578125,500,3
67996,4,16,76.25027465820312,500,3
67997,5,16,64.31826782226562,500,3
67998,6,16,123.3906478881836,500,3
67999,7,16,305.1365051269531,500,3
71992,0,17,314.7844543457031,500,3
71993,1,17,346.3153381347656,500,3
71994,2,17,299.95361328125,500,3
71995,3,17,111.02146911621094,500,3
71996,4,17,529.5607299804688,500,3
71997,5,17,32.21361541748047,500,3
71998,6,17,327.0608215332031,500,3
71999,7,17,383.6338195800781,500,3
75992,0,18,129.90841674804688,500,3
75993,1,18,245.91188049316406,500,3
75994,2,18,309.55999755859375,500,3
75995,3,18,29.193387985229492,500,3
75996,4,18,43.28562545776367,500,3
75997,5,18,249.1165771484375,500,3
75998,6,18,264.4761657714844,500,3
75999,7,18,54.94779586791992,500,3
79992,0,19,366.2859802246094,500,3
79993,1,19,87.18697357177734,500,3
79994,2,19,534.3892211914062,500,3
79995,3,19,451.17742919921875,500,3
79996,4,19,883.6735229492188,500,3
79997,5,19,98.74361419677734,500,3
79998,6,19,500.19329833984375,500,3
79999,7,19,634.0667114257812,500,3
83992,0,20,445.5322265625,500,3
83993,1,20,55.71461486816406,500,3
83994,2,20,287.87286376953125,500,3
83995,3,20,98.6169662475586,500,3
83996,4,20,345.4932556152344,500,3
83997,5,20,58.90350341796875,500,3
83998,6,20,94.01778411865234,500,3
83999,7,20,303.2276306152344,500,3
87992,0,21,67.92610168457031,500,3
87993,1,21,73.63981628417969,500,3
87994,2,21,74.41719818115234,500,3
87995,3,21,55.375221252441406,500,3
87996,4,21,220.21340942382812,500,3
87997,5,21,324.512451171875,500,3
87998,6,21,431.10980224609375,500,3
87999,7,21,302.6063537597656,500,3
91992,0,22,54.53224563598633,500,3
91993,1,22,66.51321411132812,500,3
91994,2,22,50.91481399536133,500,3
91995,3,22,82.55795288085938,500,3
91996,4,22,583.8099975585938,500,3
91997,5,22,316.0169677734375,500,3
91998,6,22,709.695556640625,500,3
91999,7,22,427.4983215332031,500,3
95992,0,23,139.35105895996094,500,3
95993,1,23,447.24462890625,500,3
95994,2,23,162.194580078125,500,3
95995,3,23,248.3884735107422,500,3
95996,4,23,254.88352966308594,500,3
95997,5,23,44.83211898803711,500,3
95998,6,23,420.158203125,500,3
95999,7,23,453.2117614746094,500,3
99992,0,24,489.4712219238281,500,3
99993,1,24,276.80963134765625,500,3
99994,2,24,413.8481140136719,500,3
99995,3,24,644.3688354492188,500,3
99996,4,24,334.3423767089844,500,3
99997,5,24,193.79026794433594,500,3
99998,6,24,759.6682739257812,500,3
99999,7,24,24.17817497253418,500,3
103992,0,25,283.4754638671875,500,3
103993,1,25,109.46650695800781,500,3
103994,2,25,574.1469116210938,500,3
103995,3,25,226.38470458984375,500,3
103996,4,25,830.415283203125,500,3
103997,5,25,704.5595703125,500,3
103998,6,25,705.999267578125,500,3
