step,tag,value
0,timing/prewarm_dense_rhs_s,227.8635503416881
0,system/heartbeat,1.0
3992,episode/return,0.0
3992,episode/length,500.0
3993,episode/return,0.0
3993,episode/length,500.0
3994,episode/return,0.0
3994,episode/length,500.0
3995,episode/return,0.005537211894989014
3995,episode/length,500.0
3996,episode/return,0.09272527694702148
3996,episode/length,500.0
3997,episode/return,0.0
3997,episode/length,500.0
3998,episode/return,0.0
3998,episode/length,500.0
3999,episode/return,0.0
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,67.5468238145113
4000,timing/train_chunk_s,225.65219108806923
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,67.5468238145113
4000,timing/train_chunk_s,226.69978970754892
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,67.5468238145113
4000,timing/train_chunk_s,227.74752650223672
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,67.5468238145113
4000,timing/train_chunk_s,228.79505471792072
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,67.5468238145113
4000,timing/train_chunk_s,229.84282486746088
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,67.5468238145113
4000,timing/train_chunk_s,230.89035273902118
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,67.5468238145113
4000,timing/train_chunk_s,231.93865323951468
4000,system/heartbeat,1.0
7992,episode/return,0.0
7992,episode/length,500.0
7993,episode/return,0.0
7993,episode/length,500.0
7994,episode/return,0.0
7994,episode/length,500.0
7995,episode/return,0.0
7995,episode/length,500.0
7996,episode/return,0.6743834018707275
7996,episode/length,500.0
7997,episode/return,0.8279505968093872
7997,episode/length,500.0
7998,episode/return,0.0
7998,episode/length,500.0
7999,episode/return,0.0
7999,episode/length,500.0
10000,train/consistency_loss_mean,0.0013206326003186405
10000,train/consistency_loss_std,0.0006248439238415144
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
