step,tag,value
0,timing/prewarm_dense_rhs_s,227.36648559756577
0,system/heartbeat,1.0
3992,episode/return,0.0
3992,episode/length,500.0
3993,episode/return,0.0
3993,episode/length,500.0
3994,episode/return,0.0
3994,episode/length,500.0
3995,episode/return,0.0
3995,episode/length,500.0
3996,episode/return,0.0
3996,episode/length,500.0
3997,episode/return,0.0
3997,episode/length,500.0
3998,episode/return,0.043634116649627686
3998,episode/length,500.0
3999,episode/return,1.0125837326049805
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,66.16664785705507
4000,timing/train_chunk_s,227.52572221914306
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,66.16664785705507
4000,timing/train_chunk_s,228.57219985406846
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,66.16664785705507
4000,timing/train_chunk_s,229.61915552336723
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,66.16664785705507
4000,timing/train_chunk_s,230.6655424302444
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,66.16664785705507
4000,timing/train_chunk_s,231.7110991673544
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,66.16664785705507
4000,timing/train_chunk_s,232.76027947245166
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,66.16664785705507
4000,timing/train_chunk_s,233.808378580492
4000,system/heartbeat,1.0
7992,episode/return,0.0
7992,episode/length,500.0
7993,episode/return,0.0
7993,episode/length,500.0
7994,episode/return,0.0
7994,episode/length,500.0
7995,episode/return,0.0
7995,episode/length,500.0
7996,episode/return,0.0
7996,episode/length,500.0
7997,episode/return,0.0
7997,episode/length,500.0
7998,episode/return,0.0
7998,episode/length,500.0
7999,episode/return,0.0
7999,episode/length,500.0
10000,train/consistency_loss_mean,0.0005369201964465901
10000,train/consistency_loss_std,0.0005644383790816755
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,0.2380318187713623
10000,train/grad_norm_std,0.07120593717904156
10000,train/policy_log_std_mean,-0.27923883093595503
10000,train/policy_log_std_std,0.25898550558776984
10000,train/policy_loss_mean,-0.0511600326679647
10000,train/policy_loss_std,0.02927687109779955
10000,train/reward_loss_mean,0.005533417355904567
10000,train/reward_loss_std,0.08694755011419339
10000,train/total_loss_mean,0.039520396739244464
10000,train/total_loss_std,0.026391837022322808
10000,train/value_loss_mean,0.2822865010738373
10000,train/value_loss_std,0.15399862966811004
10000,train/value_scale_mean,1.0
10000,train/value_scale_std,0.0
10000,timing/collect_chunk_s,261.35644701868296
10000,timing/train_chunk_s,290.4405958154239
10000,dense_rhs/training_bucket_horizon,3.0
10000,system/heartbeat,1.0
11992,episode/return,0.0
11992,episode/length,500.0
11993,episode/return,0.0
11993,episode/length,500.0
11994,episode/return,0.0
11994,episode/length,500.0
11995,episode/return,0.14581173658370972
11995,episode/length,500.0
11996,episode/return,0.0
11996,episode/length,500.0
11997,episode/return,0.0
11997,episode/length,500.0
11998,episode/return,0.0
11998,episode/length,500.0
11999,episode/return,0.0
11999,episode/length,500.0
15992,episode/return,0.0
15992,episode/length,500.0
15993,episode/return,0.0
15993,episode/length,500.0
15994,episode/return,0.0
15994,episode/length,500.0
15995,episode/return,0.0
15995,episode/length,500.0
15996,episode/return,0.0
15996,episode/length,500.0
15997,episode/return,0.0
15997,episode/length,500.0
15998,episode/return,0.0
15998,episode/length,500.0
15999,episode/return,0.0
15999,episode/length,500.0
19992,episode/return,0.0
19992,episode/length,500.0
19993,episode/return,0.0
19993,episode/length,500.0
19994,episode/return,0.0
19994,episode/length,500.0
19995,episode/return,0.0
19995,episode/length,500.0
19996,episode/return,0.0
19996,episode/length,500.0
19997,episode/return,0.0
19997,episode/length,500.0
19998,episode/return,0.0
19998,episode/length,500.0
19999,episode/return,0.0
19999,episode/length,500.0
