step,tag,value
0,timing/prewarm_dense_rhs_s,204.63513425923884
0,system/heartbeat,1.0
3992,episode/return,0.0
3992,episode/length,500.0
3993,episode/return,0.0
3993,episode/length,500.0
3994,episode/return,0.0
3994,episode/length,500.0
3995,episode/return,0.0
3995,episode/length,500.0
3996,episode/return,17.0
3996,episode/length,500.0
3997,episode/return,0.0
3997,episode/length,500.0
3998,episode/return,0.0
3998,episode/length,500.0
3999,episode/return,0.0
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,16.963587359059602
4000,timing/train_chunk_s,242.3315841006115
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,16.963587359059602
4000,timing/train_chunk_s,243.46662453049794
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,16.963587359059602
4000,timing/train_chunk_s,244.59995107911527
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,16.963587359059602
4000,timing/train_chunk_s,245.73322000913322
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,16.963587359059602
4000,timing/train_chunk_s,246.86420858604833
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,16.963587359059602
4000,timing/train_chunk_s,247.99552183039486
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,16.963587359059602
4000,timing/train_chunk_s,249.12739011785015
4000,system/heartbeat,1.0
7992,episode/return,0.0
7992,episode/length,500.0
7993,episode/return,0.0
7993,episode/length,500.0
7994,episode/return,20.0
7994,episode/length,500.0
7995,episode/return,0.0
7995,episode/length,500.0
7996,episode/return,0.0
7996,episode/length,500.0
7997,episode/return,2.0
7997,episode/length,500.0
7998,episode/return,4.0
7998,episode/length,500.0
7999,episode/return,0.0
7999,episode/length,500.0
10000,train/consistency_loss_mean,0.0005267782605485991
10000,train/consistency_loss_std,0.0003342283555643798
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,0.2585292578339577
10000,train/grad_norm_std,0.11878789936346801
10000,train/policy_log_std_mean,-0.5825688879609108
10000,train/policy_log_std_std,1.271931696978452
10000,train/policy_loss_mean,-0.09225860029160976
10000,train/policy_loss_std,0.0643201505219373
10000,train/reward_loss_mean,0.00751847418807447
10000,train/reward_loss_std,0.08680130955435329
10000,train/total_loss_mean,0.03424155960083008
10000,train/total_loss_std,0.022705351472006374
10000,train/value_loss_mean,0.22954146242141724
10000,train/value_loss_std,0.11709445146181678
10000,train/value_scale_mean,1.1844278879165648
10000,train/value_scale_std,0.24068846085850207
10000,timing/collect_chunk_s,186.7170118484646
10000,timing/train_chunk_s,307.3854560996406
10000,dense_rhs/training_bucket_horizon,3.0
10000,system/heartbeat,1.0
11992,episode/return,0.0
11992,episode/length,500.0
11993,episode/return,0.0
11993,episode/length,500.0
11994,episode/return,2.0
11994,episode/length,500.0
11995,episode/return,73.0
11995,episode/length,500.0
11996,episode/return,53.0
11996,episode/length,500.0
11997,episode/return,71.0
11997,episode/length,500.0
11998,episode/return,39.0
11998,episode/length,500.0
11999,episode/return,0.0
11999,episode/length,500.0
15992,episode/return,135.0
15992,episode/length,500.0
15993,episode/return,0.0
15993,episode/length,500.0
15994,episode/return,0.0
15994,episode/length,500.0
15995,episode/return,18.0
15995,episode/length,500.0
15996,episode/return,5.0
15996,episode/length,500.0
15997,episode/return,0.0
15997,episode/length,500.0
15998,episode/return,67.0
15998,episode/length,500.0
15999,episode/return,91.0
15999,episode/length,500.0
19992,episode/return,62.0
19992,episode/length,500.0
19993,episode/return,86.0
19993,episode/length,500.0
19994,episode/return,57.0
19994,episode/length,500.0
19995,episode/return,60.0
19995,episode/length,500.0
19996,episode/return,0.0
19996,episode/length,500.0
19997,episode/return,78.0
19997,episode/length,500.0
19998,episode/return,0.0
19998,episode/length,500.0
19999,episode/return,0.0
19999,episode/length,500.0
20000,train/consistency_loss_mean,0.00031513758848886934
20000,train/consistency_loss_std,4.2522781300417724e-05
20000,train/continue_loss_mean,0.0
20000,train/continue_loss_std,0.0
20000,train/grad_norm_mean,0.49879252038002014
20000,train/grad_norm_std,0.18160820674595704
20000,train/policy_log_std_mean,-1.0166350751876831
20000,train/policy_log_std_std,1.0729104586623002
20000,train/policy_loss_mean,-0.17482329077720643
20000,train/policy_loss_std,0.05559684442254079
20000,train/reward_loss_mean,0.012541210590302944
20000,train/reward_loss_std,0.006128827191018808
20000,train/total_loss_mean,0.055617707076668736
20000,train/total_loss_std,0.0037116798279783515
20000,train/value_loss_mean,0.4806083345174789
20000,train/value_loss_std,0.03231291312171767
20000,train/value_scale_mean,8.576840663146973
20000,train/value_scale_std,3.024736866012896
20000,timing/collect_chunk_s,80.05619672965258
20000,timing/train_chunk_s,20.62245039641857
20000,dense_rhs/training_bucket_horizon,3.0
20000,system/heartbeat,1.0
23992,episode/return,0.0
23992,episode/length,500.0
23993,episode/return,46.0
23993,episode/length,500.0
23994,episode/return,0.0
23994,episode/length,500.0
23995,episode/return,3.0
23995,episode/length,500.0
23996,episode/return,0.0
23996,episode/length,500.0
23997,episode/return,88.0
23997,episode/length,500.0
23998,episode/return,25.0
23998,episode/length,500.0
23999,episode/return,0.0
23999,episode/length,500.0
27992,episode/return,740.0
27992,episode/length,500.0
27993,episode/return,103.0
27993,episode/length,500.0
27994,episode/return,53.0
27994,episode/length,500.0
27995,episode/return,0.0
27995,episode/length,500.0
27996,episode/return,202.0
27996,episode/length,500.0
27997,episode/return,53.0
27997,episode/length,500.0
27998,episode/return,8.0
27998,episode/length,500.0
27999,episode/return,76.0
27999,episode/length,500.0
30000,train/consistency_loss_mean,0.0003588381722336635
30000,train/consistency_loss_std,5.381998368298062e-05
30000,train/continue_loss_mean,0.0
30000,train/continue_loss_std,0.0
30000,train/grad_norm_mean,0.5049987625598907
30000,train/grad_norm_std,0.18092565678629588
30000,train/policy_log_std_mean,-1.536528199863434
30000,train/policy_log_std_std,1.1420178243169847
30000,train/policy_loss_mean,-0.2983704952478409
30000,train/policy_loss_std,0.017149751856393825
30000,train/reward_loss_mean,0.020921257689595223
30000,train/reward_loss_std,0.007586225178562476
30000,train/total_loss_mean,0.053086417618393895
30000,train/total_loss_std,0.0030899971936742244
30000,train/value_loss_mean,0.4381752691268921
30000,train/value_loss_std,0.019035775234217917
30000,train/value_scale_mean,14.341179695129394
30000,train/value_scale_std,1.58417299034433
30000,timing/collect_chunk_s,80.77888327091932
30000,timing/train_chunk_s,20.516870473511517
30000,dense_rhs/training_bucket_horizon,3.0
30000,system/heartbeat,1.0
31992,episode/return,0.0
31992,episode/length,500.0
31993,episode/return,59.0
