step,tag,value
3992,episode/return,0.0
3992,episode/length,500.0
3993,episode/return,6.0
3993,episode/length,500.0
3994,episode/return,0.0
3994,episode/length,500.0
3995,episode/return,0.0
3995,episode/length,500.0
3996,episode/return,7.0
3996,episode/length,500.0
3997,episode/return,0.0
3997,episode/length,500.0
3998,episode/return,0.0
3998,episode/length,500.0
3999,episode/return,0.0
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,16.73059678124264
4000,timing/train_chunk_s,242.6489210096188
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,16.73059678124264
4000,timing/train_chunk_s,243.7849355316721
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,16.73059678124264
4000,timing/train_chunk_s,244.92335407296196
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,16.73059678124264
4000,timing/train_chunk_s,246.0641121659428
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,16.73059678124264
4000,timing/train_chunk_s,247.2008968037553
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,16.73059678124264
4000,timing/train_chunk_s,248.3482438242063
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,16.73059678124264
4000,timing/train_chunk_s,249.48571509635076
4000,system/heartbeat,1.0
7992,episode/return,0.0
7992,episode/length,500.0
7993,episode/return,0.0
7993,episode/length,500.0
7994,episode/return,0.0
7994,episode/length,500.0
7995,episode/return,0.0
7995,episode/length,500.0
7996,episode/return,7.0
7996,episode/length,500.0
7997,episode/return,0.0
7997,episode/length,500.0
7998,episode/return,3.0
7998,episode/length,500.0
7999,episode/return,0.0
7999,episode/length,500.0
10000,train/consistency_loss_mean,0.0004048023043316789
10000,train/consistency_loss_std,0.00033400434336631747
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,0.33100660767555234
10000,train/grad_norm_std,0.1948459613235101
10000,train/policy_log_std_mean,-0.5962935315132141
10000,train/policy_log_std_std,0.8896932292836599
10000,train/policy_loss_mean,-0.08287480942755937
10000,train/policy_loss_std,0.04796474770091262
10000,train/reward_loss_mean,0.00727210009470582
10000,train/reward_loss_std,0.08595689835876245
10000,train/total_loss_mean,0.03541189945936203
10000,train/total_loss_std,0.02130469764156584
10000,train/value_loss_mean,0.26588642885684965
10000,train/value_loss_std,0.11364554108643966
10000,train/value_scale_mean,1.9755011848449706
10000,train/value_scale_std,1.5464054580080933
10000,timing/collect_chunk_s,188.11239504860714
10000,timing/train_chunk_s,310.9159744353965
10000,dense_rhs/training_bucket_horizon,3.0
10000,system/heartbeat,1.0
11992,episode/return,0.0
11992,episode/length,500.0
11993,episode/return,16.0
11993,episode/length,500.0
11994,episode/return,73.0
11994,episode/length,500.0
11995,episode/return,63.0
11995,episode/length,500.0
11996,episode/return,0.0
11996,episode/length,500.0
11997,episode/return,0.0
11997,episode/length,500.0
11998,episode/return,91.0
11998,episode/length,500.0
11999,episode/return,2.0
11999,episode/length,500.0
15992,episode/return,0.0
15992,episode/length,500.0
15993,episode/return,51.0
15993,episode/length,500.0
15994,episode/return,3.0
15994,episode/length,500.0
15995,episode/return,4.0
15995,episode/length,500.0
15996,episode/return,125.0
15996,episode/length,500.0
15997,episode/return,0.0
15997,episode/length,500.0
15998,episode/return,9.0
15998,episode/length,500.0
15999,episode/return,46.0
15999,episode/length,500.0
19992,episode/return,0.0
19992,episode/length,500.0
19993,episode/return,0.0
19993,episode/length,500.0
19994,episode/return,0.0
19994,episode/length,500.0
19995,episode/return,0.0
19995,episode/length,500.0
19996,episode/return,0.0
19996,episode/length,500.0
19997,episode/return,4.0
19997,episode/length,500.0
19998,episode/return,54.0
19998,episode/length,500.0
19999,episode/return,51.0
19999,episode/length,500.0
20000,train/consistency_loss_mean,0.00027657119368668646
20000,train/consistency_loss_std,5.326899741855913e-05
20000,train/continue_loss_mean,0.0
20000,train/continue_loss_std,0.0
20000,train/grad_norm_mean,0.531906865644455
20000,train/grad_norm_std,0.20248427146638312
20000,train/policy_log_std_mean,-1.2255198872566224
20000,train/policy_log_std_std,1.0885937264352716
