step,tag,value
0,timing/prewarm_dense_rhs_s,204.11034783395007
0,system/heartbeat,1.0
3992,episode/return,0.0
3992,episode/length,500.0
3993,episode/return,0.0
3993,episode/length,500.0
3994,episode/return,0.0
3994,episode/length,500.0
3995,episode/return,0.0
3995,episode/length,500.0
3996,episode/return,0.0
3996,episode/length,500.0
3997,episode/return,43.0
3997,episode/length,500.0
3998,episode/return,0.0
3998,episode/length,500.0
3999,episode/return,0.0
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,14.695435912813991
4000,timing/train_chunk_s,242.4935863004066
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,14.695435912813991
4000,timing/train_chunk_s,243.63747137226164
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,14.695435912813991
4000,timing/train_chunk_s,244.78108324622735
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,14.695435912813991
4000,timing/train_chunk_s,245.92329570185393
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,14.695435912813991
4000,timing/train_chunk_s,247.06448104744777
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,14.695435912813991
4000,timing/train_chunk_s,248.20499018859118
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,14.695435912813991
4000,timing/train_chunk_s,249.34618604090065
4000,system/heartbeat,1.0
7992,episode/return,0.0
7992,episode/length,500.0
7993,episode/return,0.0
7993,episode/length,500.0
7994,episode/return,0.0
7994,episode/length,500.0
7995,episode/return,0.0
7995,episode/length,500.0
7996,episode/return,0.0
7996,episode/length,500.0
7997,episode/return,735.0
7997,episode/length,500.0
7998,episode/return,0.0
7998,episode/length,500.0
7999,episode/return,0.0
7999,episode/length,500.0
10000,train/consistency_loss_mean,2.673434889293276e-05
10000,train/consistency_loss_std,0.00027922910028527626
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,0.10029429688453674
10000,train/grad_norm_std,0.1503698955362421
10000,train/policy_log_std_mean,-0.21512560528069735
10000,train/policy_log_std_std,0.6709933559047465
10000,train/policy_loss_mean,-0.10881076914668084
10000,train/policy_loss_std,0.14145917254579918
10000,train/reward_loss_mean,0.0159759789891541
10000,train/reward_loss_std,0.08632315011804027
10000,train/total_loss_mean,0.017066438522934914
10000,train/total_loss_std,0.021865998763173022
10000,train/value_loss_mean,0.14934153065681458
10000,train/value_loss_std,0.08355903797343268
10000,train/value_scale_mean,19.562653931427
10000,train/value_scale_std,30.15506859203486
10000,timing/collect_chunk_s,152.36847366346046
10000,timing/train_chunk_s,307.8884253418073
10000,dense_rhs/training_bucket_horizon,3.0
10000,system/heartbeat,1.0
11992,episode/return,936.0
11992,episode/length,500.0
11993,episode/return,0.0
11993,episode/length,500.0
11994,episode/return,0.0
11994,episode/length,500.0
11995,episode/return,572.0
11995,episode/length,500.0
11996,episode/return,546.0
11996,episode/length,500.0
11997,episode/return,511.0
11997,episode/length,500.0
11998,episode/return,596.0
11998,episode/length,500.0
11999,episode/return,509.0
11999,episode/length,500.0
15992,episode/return,938.0
15992,episode/length,500.0
15993,episode/return,937.0
15993,episode/length,500.0
15994,episode/return,0.0
15994,episode/length,500.0
15995,episode/return,759.0
15995,episode/length,500.0
15996,episode/return,715.0
15996,episode/length,500.0
15997,episode/return,685.0
15997,episode/length,500.0
15998,episode/return,800.0
15998,episode/length,500.0
15999,episode/return,0.0
15999,episode/length,500.0
19992,episode/return,717.0
19992,episode/length,500.0
19993,episode/return,685.0
19993,episode/length,500.0
19994,episode/return,937.0
19994,episode/length,500.0
19995,episode/return,698.0
19995,episode/length,500.0
19996,episode/return,645.0
19996,episode/length,500.0
19997,episode/return,936.0
19997,episode/length,500.0
19998,episode/return,933.0
19998,episode/length,500.0
19999,episode/return,662.0
19999,episode/length,500.0
20000,train/consistency_loss_mean,2.361911452971981e-05
20000,train/consistency_loss_std,2.015622639465053e-05
20000,train/continue_loss_mean,0.0
20000,train/continue_loss_std,0.0
20000,train/grad_norm_mean,0.3843523677289486
20000,train/grad_norm_std,0.3035682593152098
20000,train/policy_log_std_mean,-0.7293755022525787
20000,train/policy_log_std_std,0.7262874262708185
20000,train/policy_loss_mean,-0.2137735449552536
20000,train/policy_loss_std,0.11134805760877187
20000,train/reward_loss_mean,0.10626195443868637
20000,train/reward_loss_std,0.03257154435755281
20000,train/total_loss_mean,0.032255281987786294
20000,train/total_loss_std,0.009729456511077279
20000,train/value_loss_mean,0.21156703262329102
20000,train/value_loss_std,0.07045281462615498
20000,train/value_scale_mean,129.37082526855468
20000,train/value_scale_std,10.318777965829574
20000,timing/collect_chunk_s,49.38292853394523
20000,timing/train_chunk_s,20.598641694523394
20000,dense_rhs/training_bucket_horizon,3.0
20000,system/heartbeat,1.0
23992,episode/return,936.0
23992,episode/length,500.0
23993,episode/return,657.0
23993,episode/length,500.0
23994,episode/return,0.0
23994,episode/length,500.0
23995,episode/return,0.0
23995,episode/length,500.0
23996,episode/return,731.0
23996,episode/length,500.0
23997,episode/return,891.0
23997,episode/length,500.0
23998,episode/return,767.0
23998,episode/length,500.0
23999,episode/return,888.0
23999,episode/length,500.0
27992,episode/return,892.0
27992,episode/length,500.0
27993,episode/return,892.0
27993,episode/length,500.0
27994,episode/return,1000.0
27994,episode/length,500.0
27995,episode/return,0.0
27995,episode/length,500.0
27996,episode/return,878.0
27996,episode/length,500.0
27997,episode/return,0.0
27997,episode/length,500.0
27998,episode/return,0.0
27998,episode/length,500.0
27999,episode/return,0.0
27999,episode/length,500.0
30000,train/consistency_loss_mean,7.812069353531114e-06
30000,train/consistency_loss_std,4.4090107809480935e-06
30000,train/continue_loss_mean,0.0
30000,train/continue_loss_std,0.0
30000,train/grad_norm_mean,0.22420500062704085
30000,train/grad_norm_std,0.18869988866306206
30000,train/policy_log_std_mean,-0.5989682182788849
30000,train/policy_log_std_std,0.5925427370100246
30000,train/policy_loss_mean,-0.3463462341547012
30000,train/policy_loss_std,0.04081606963890195
30000,train/reward_loss_mean,0.1699919987440109
30000,train/reward_loss_std,0.014113737737020633
30000,train/total_loss_mean,0.04852420974075794
30000,train/total_loss_std,0.006195090689566667
30000,train/value_loss_mean,0.3136876718759537
30000,train/value_loss_std,0.05535430578620549
30000,train/value_scale_mean,159.4337435180664
30000,train/value_scale_std,12.50340902275958
30000,timing/collect_chunk_s,50.38928092736751
30000,timing/train_chunk_s,20.623143514152616
30000,dense_rhs/training_bucket_horizon,3.0
30000,system/heartbeat,1.0
31992,episode/return,939.0
31992,episode/length,500.0
31993,episode/return,763.0
31993,episode/length,500.0
31994,episode/return,892.0
31994,episode/length,500.0
31995,episode/return,844.0
31995,episode/length,500.0
31996,episode/return,722.0
31996,episode/length,500.0
31997,episode/return,768.0
31997,episode/length,500.0
31998,episode/return,706.0
31998,episode/length,500.0
31999,episode/return,939.0
31999,episode/length,500.0
35992,episode/return,939.0
35992,episode/length,500.0
35993,episode/return,891.0
35993,episode/length,500.0
35994,episode/return,938.0
35994,episode/length,500.0
35995,episode/return,939.0
35995,episode/length,500.0
35996,episode/return,686.0
35996,episode/length,500.0
35997,episode/return,943.0
35997,episode/length,500.0
35998,episode/return,942.0
35998,episode/length,500.0
35999,episode/return,943.0
35999,episode/length,500.0
39992,episode/return,943.0
39992,episode/length,500.0
39993,episode/return,597.0
39993,episode/length,500.0
39994,episode/return,763.0
39994,episode/length,500.0
39995,episode/return,942.0
39995,episode/length,500.0
39996,episode/return,892.0
39996,episode/length,500.0
39997,episode/return,892.0
39997,episode/length,500.0
39998,episode/return,727.0
39998,episode/length,500.0
39999,episode/return,942.0
39999,episode/length,500.0
40000,train/consistency_loss_mean,4.450216463010293e-06
40000,train/consistency_loss_std,2.259297427192154e-06
40000,train/continue_loss_mean,0.0
40000,train/continue_loss_std,0.0
40000,train/grad_norm_mean,0.15692887840270997
40000,train/grad_norm_std,0.12160284218712908
40000,train/policy_log_std_mean,-0.519649728244543
40000,train/policy_log_std_std,0.3949051755922603
40000,train/policy_loss_mean,-0.41030945019721987
40000,train/policy_loss_std,0.029874314966138637
40000,train/reward_loss_mean,0.20717388784885407
40000,train/reward_loss_std,0.017429121362354177
40000,train/total_loss_mean,0.0558381138086319
40000,train/total_loss_std,0.002909913783823919
40000,train/value_loss_mean,0.35031719233989717
40000,train/value_loss_std,0.021313502497669178
40000,train/value_scale_mean,155.2647942138672
40000,train/value_scale_std,11.421412438944344
40000,timing/collect_chunk_s,50.02119397837669
40000,timing/train_chunk_s,20.613213213626295
40000,dense_rhs/training_bucket_horizon,3.0
40000,system/heartbeat,1.0
43992,episode/return,1000.0
43992,episode/length,500.0
43993,episode/return,692.0
43993,episode/length,500.0
43994,episode/return,845.0
43994,episode/length,500.0
43995,episode/return,848.0
43995,episode/length,500.0
43996,episode/return,940.0
43996,episode/length,500.0
43997,episode/return,891.0
43997,episode/length,500.0
43998,episode/return,940.0
43998,episode/length,500.0
43999,episode/return,941.0
43999,episode/length,500.0
47992,episode/return,848.0
47992,episode/length,500.0
47993,episode/return,1000.0
47993,episode/length,500.0
47994,episode/return,942.0
47994,episode/length,500.0
47995,episode/return,729.0
47995,episode/length,500.0
47996,episode/return,643.0
47996,episode/length,500.0
47997,episode/return,942.0
47997,episode/length,500.0
47998,episode/return,766.0
47998,episode/length,500.0
47999,episode/return,805.0
47999,episode/length,500.0
50000,train/consistency_loss_mean,3.699121784120507e-06
50000,train/consistency_loss_std,1.849525360007026e-06
50000,train/continue_loss_mean,0.0
50000,train/continue_loss_std,0.0
50000,train/grad_norm_mean,0.1338317002862692
50000,train/grad_norm_std,0.09592109647835682
50000,train/policy_log_std_mean,-0.537201818394661
50000,train/policy_log_std_std,0.3904438220420791
50000,train/policy_loss_mean,-0.4315980886220932
50000,train/policy_loss_std,0.03002156198225352
50000,train/reward_loss_mean,0.23830560400485992
50000,train/reward_loss_std,0.013816067095876123
50000,train/total_loss_mean,0.059527360892295836
50000,train/total_loss_std,0.002299360197383896
50000,train/value_loss_mean,0.3562281663894653
50000,train/value_loss_std,0.013973967834700013
50000,train/value_scale_mean,160.63627095947265
50000,train/value_scale_std,8.717628998752083
50000,timing/collect_chunk_s,50.99877007724717
50000,timing/train_chunk_s,20.646006046794355
50000,dense_rhs/training_bucket_horizon,3.0
50000,system/heartbeat,1.0
50000,timing/checkpoint_blocking_s,0.4207874098792672
50000,eval/return_mean,742.2999877929688
50000,eval/return_std,255.99826049804688
50000,eval/return_max,941.0
50000,eval/return_min,0.0
50000,dense_rhs/deployment_utility_last_observed_gain,0.0
50000,dense_rhs/deployment_utility_observations,0.0
50000,timing/eval_s,74.80345053598285
50000,eval/selected_horizon,3.0
