step,tag,value
0,timing/prewarm_dense_rhs_s,281.17111702496186
0,system/heartbeat,1.0
3992,episode/return,7.906824111938477
3992,episode/length,500.0
3993,episode/return,11.020145416259766
3993,episode/length,500.0
3994,episode/return,11.309571266174316
3994,episode/length,500.0
3995,episode/return,0.08160757273435593
3995,episode/length,500.0
3996,episode/return,514.742431640625
3996,episode/length,500.0
3997,episode/return,9.046309471130371
3997,episode/length,500.0
3998,episode/return,2.3016090393066406
3998,episode/length,500.0
3999,episode/return,7.218395709991455
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,119.43099859450012
4000,timing/train_chunk_s,230.96485339198261
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,119.43099859450012
4000,timing/train_chunk_s,232.05437292251736
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,119.43099859450012
4000,timing/train_chunk_s,233.14486875152215
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,119.43099859450012
4000,timing/train_chunk_s,234.2340443963185
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,119.43099859450012
4000,timing/train_chunk_s,235.32429326884449
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,119.43099859450012
4000,timing/train_chunk_s,236.41401229798794
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,119.43099859450012
4000,timing/train_chunk_s,237.50364254694432
4000,system/heartbeat,1.0
7992,episode/return,20.043121337890625
7992,episode/length,500.0
7993,episode/return,5.479673385620117
7993,episode/length,500.0
7994,episode/return,7.884598731994629
7994,episode/length,500.0
7995,episode/return,14.217559814453125
7995,episode/length,500.0
7996,episode/return,8.45777702331543
7996,episode/length,500.0
7997,episode/return,14.667689323425293
7997,episode/length,500.0
7998,episode/return,13.223396301269531
7998,episode/length,500.0
7999,episode/return,509.5274353027344
7999,episode/length,500.0
10000,train/consistency_loss_mean,0.0019941321153193713
10000,train/consistency_loss_std,0.001045367736459274
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,0.38693152887821197
10000,train/grad_norm_std,0.19625588846403125
10000,train/policy_log_std_mean,-0.24837700819969177
10000,train/policy_log_std_std,0.23305999167719077
