step,env_index,episode_index,episode_return,episode_length,selected_horizon
53992,0,0,510.83319091796875,500,3
53993,1,0,17.49957275390625,500,3
53994,2,0,17.372121810913086,500,3
53995,3,0,22.045183181762695,500,3
53996,4,0,34.270503997802734,500,3
53997,5,0,11.848638534545898,500,3
53998,6,0,13.0074462890625,500,3
53999,7,0,14.710277557373047,500,3
57992,0,1,149.96939086914062,500,3
57993,1,1,18.87856674194336,500,3
57994,2,1,285.32989501953125,500,3
57995,3,1,15.641423225402832,500,3
57996,4,1,17.151897430419922,500,3
57997,5,1,14.549971580505371,500,3
57998,6,1,17.76422119140625,500,3
57999,7,1,28.995071411132812,500,3
61992,0,2,25.457765579223633,500,3
61993,1,2,282.1116027832031,500,3
61994,2,2,418.58782958984375,500,3
61995,3,2,7.208463668823242,500,3
61996,4,2,14.900404930114746,500,3
61997,5,2,13.739702224731445,500,3
61998,6,2,38.08943176269531,500,3
61999,7,2,11.107342720031738,500,3
65992,0,3,21.236295700073242,500,3
65993,1,3,16.93330192565918,500,3
65994,2,3,10.904780387878418,500,3
65995,3,3,29.111522674560547,500,3
65996,4,3,464.8610534667969,500,3
65997,5,3,15.080336570739746,500,3
65998,6,3,109.3387451171875,500,3
65999,7,3,34.423519134521484,500,3
69992,0,4,14.101741790771484,500,3
69993,1,4,24.049076080322266,500,3
69994,2,4,9.42390251159668,500,3
69995,3,4,75.97100067138672,500,3
69996,4,4,7.687946796417236,500,3
69997,5,4,39.90675354003906,500,3
69998,6,4,29.453216552734375,500,3
69999,7,4,11.401997566223145,500,3
73992,0,5,20.70926284790039,500,3
73993,1,5,3.689216375350952,500,3
73994,2,5,9.434894561767578,500,3
73995,3,5,7.1591267585754395,500,3
73996,4,5,51.29205322265625,500,3
73997,5,5,47.28842544555664,500,3
73998,6,5,10.846162796020508,500,3
73999,7,5,13.73686695098877,500,3
77992,0,6,51.339725494384766,500,3
77993,1,6,132.6686248779297,500,3
77994,2,6,7.239606857299805,500,3
77995,3,6,30.33027458190918,500,3
77996,4,6,11.288663864135742,500,3
77997,5,6,172.02191162109375,500,3
77998,6,6,47.90501403808594,500,3
77999,7,6,6.780395030975342,500,3
81992,0,7,65.96521759033203,500,3
81993,1,7,58.606693267822266,500,3
81994,2,7,175.87582397460938,500,3
81995,3,7,15.630746841430664,500,3
81996,4,7,16.71194076538086,500,3
81997,5,7,104.29994201660156,500,3
81998,6,7,45.925315856933594,500,3
81999,7,7,14.615347862243652,500,3
85992,0,8,160.69029235839844,500,3
85993,1,8,11.450518608093262,500,3
85994,2,8,16.54326057434082,500,3
85995,3,8,15.365509986877441,500,3
85996,4,8,310.7041320800781,500,3
85997,5,8,11.242402076721191,500,3
85998,6,8,20.71612548828125,500,3
85999,7,8,9.773186683654785,500,3
89992,0,9,10.922990798950195,500,3
89993,1,9,12.2618408203125,500,3
89994,2,9,33.526668548583984,500,3
89995,3,9,27.68058204650879,500,3
89996,4,9,15.773643493652344,500,3
89997,5,9,14.361416816711426,500,3
89998,6,9,9.297325134277344,500,3
89999,7,9,24.359607696533203,500,3
93992,0,10,9.565617561340332,500,3
93993,1,10,39.01601791381836,500,3
93994,2,10,14.935956001281738,500,3
93995,3,10,18.156572341918945,500,3
93996,4,10,34.33473587036133,500,3
93997,5,10,18.882640838623047,500,3
93998,6,10,506.6056213378906,500,3
93999,7,10,255.86776733398438,500,3
97992,0,11,17.84880828857422,500,3
97993,1,11,29.44196891784668,500,3
97994,2,11,11.011846542358398,500,3
97995,3,11,51.57122039794922,500,3
97996,4,11,10.73305892944336,500,3
97997,5,11,28.778165817260742,500,3
97998,6,11,28.429332733154297,500,3
97999,7,11,12.758962631225586,500,3
101992,0,12,17.361587524414062,500,3
101993,1,12,25.543415069580078,500,3
101994,2,12,0.44656187295913696,500,3
101995,3,12,86.4926528930664,500,3
101996,4,12,13.64855670928955,500,3
101997,5,12,81.48993682861328,500,3
101998,6,12,36.0798454284668,500,3
101999,7,12,26.91689109802246,500,3
105992,0,13,37.04789733886719,500,3
105993,1,13,269.6102600097656,500,3
105994,2,13,22.28644371032715,500,3
105995,3,13,10.642860412597656,500,3
105996,4,13,21.180307388305664,500,3
105997,5,13,370.44659423828125,500,3
