step,tag,value
3992,episode/return,7.89185094833374
3992,episode/length,500.0
3993,episode/return,10.995494842529297
3993,episode/length,500.0
3994,episode/return,11.290581703186035
3994,episode/length,500.0
3995,episode/return,0.08151987195014954
3995,episode/length,500.0
3996,episode/return,514.19873046875
3996,episode/length,500.0
3997,episode/return,8.868497848510742
3997,episode/length,500.0
3998,episode/return,2.297879695892334
3998,episode/length,500.0
3999,episode/return,7.172769069671631
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,119.12240573810413
4000,timing/train_chunk_s,232.17972926143557
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,119.12240573810413
4000,timing/train_chunk_s,233.2567437896505
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,119.12240573810413
4000,timing/train_chunk_s,234.33504220284522
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,119.12240573810413
4000,timing/train_chunk_s,235.4170415974222
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,119.12240573810413
4000,timing/train_chunk_s,236.50324313435704
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,119.12240573810413
4000,timing/train_chunk_s,237.58645854098722
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,119.12240573810413
4000,timing/train_chunk_s,238.6707674060017
4000,system/heartbeat,1.0
7992,episode/return,19.213457107543945
7992,episode/length,500.0
7993,episode/return,5.110318183898926
7993,episode/length,500.0
7994,episode/return,10.8766450881958
7994,episode/length,500.0
7995,episode/return,19.16368865966797
7995,episode/length,500.0
7996,episode/return,9.828329086303711
7996,episode/length,500.0
7997,episode/return,16.81817626953125
7997,episode/length,500.0
7998,episode/return,13.921951293945312
7998,episode/length,500.0
7999,episode/return,509.6995849609375
7999,episode/length,500.0
10000,train/consistency_loss_mean,0.0019453980596736073
10000,train/consistency_loss_std,0.0010501565728535448
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,0.3569045841932297
10000,train/grad_norm_std,0.09111539843739078
10000,train/policy_log_std_mean,-0.24949231882095338
10000,train/policy_log_std_std,0.2201888399349566
10000,train/policy_loss_mean,-0.29437316198349
10000,train/policy_loss_std,0.13306019269137948
10000,train/reward_loss_mean,0.12247463941574097
10000,train/reward_loss_std,0.09181328175920797
10000,train/total_loss_mean,0.084196952688694
10000,train/total_loss_std,0.03312379058332726
10000,train/value_loss_mean,0.3304152666091919
10000,train/value_loss_std,0.12674805082853585
10000,train/value_scale_mean,27.374769303894045
10000,train/value_scale_std,12.476751307475242
10000,timing/collect_chunk_s,408.2544824350625
10000,timing/train_chunk_s,296.1312472061254
10000,dense_rhs/training_bucket_horizon,3.0
10000,system/heartbeat,1.0
11992,episode/return,5.141286373138428
11992,episode/length,500.0
11993,episode/return,513.6044921875
11993,episode/length,500.0
11994,episode/return,439.5843811035156
11994,episode/length,500.0
11995,episode/return,513.0911254882812
11995,episode/length,500.0
11996,episode/return,11.773197174072266
11996,episode/length,500.0
11997,episode/return,19.252071380615234
11997,episode/length,500.0
11998,episode/return,510.8384094238281
11998,episode/length,500.0
11999,episode/return,513.368896484375
11999,episode/length,500.0
15992,episode/return,513.7804565429688
15992,episode/length,500.0
15993,episode/return,6.992387771606445
15993,episode/length,500.0
15994,episode/return,11.81939697265625
15994,episode/length,500.0
15995,episode/return,516.7127685546875
15995,episode/length,500.0
15996,episode/return,6.707615375518799
15996,episode/length,500.0
15997,episode/return,5.33404016494751
15997,episode/length,500.0
15998,episode/return,5.857112884521484
15998,episode/length,500.0
15999,episode/return,11.674762725830078
15999,episode/length,500.0
19992,episode/return,169.40159606933594
19992,episode/length,500.0
19993,episode/return,15.474160194396973
19993,episode/length,500.0
19994,episode/return,20.212587356567383
19994,episode/length,500.0
19995,episode/return,21.102802276611328
19995,episode/length,500.0
19996,episode/return,520.0035400390625
19996,episode/length,500.0
19997,episode/return,5.6445207595825195
19997,episode/length,500.0
19998,episode/return,43.241798400878906
19998,episode/length,500.0
19999,episode/return,11.743701934814453
19999,episode/length,500.0
20000,train/consistency_loss_mean,0.0029593919284641745
20000,train/consistency_loss_std,0.0002772477886179774
20000,train/continue_loss_mean,0.0
20000,train/continue_loss_std,0.0
20000,train/grad_norm_mean,0.36192444269657137
20000,train/grad_norm_std,0.051408216238970794
20000,train/policy_log_std_mean,-0.26978241629600525
20000,train/policy_log_std_std,0.19878135206054132
20000,train/policy_loss_mean,-0.824924499797821
20000,train/policy_loss_std,0.13705383124405876
20000,train/reward_loss_mean,0.1712990751862526
20000,train/reward_loss_std,0.01005686671181109
20000,train/total_loss_mean,0.10579575082063675
20000,train/total_loss_std,0.007012116265798876
20000,train/value_loss_mean,0.2947800375938415
20000,train/value_loss_std,0.05170780473596662
20000,train/value_scale_mean,30.692347811889647
20000,train/value_scale_std,2.784598239691477
20000,timing/collect_chunk_s,132.40006231423467
