step,tag,value
0,timing/prewarm_dense_rhs_s,206.0069408332929
0,system/heartbeat,1.0
3992,episode/return,0.0
3992,episode/length,500.0
3993,episode/return,0.0
3993,episode/length,500.0
3994,episode/return,0.0
3994,episode/length,500.0
3995,episode/return,0.0
3995,episode/length,500.0
3996,episode/return,31.0
3996,episode/length,500.0
3997,episode/return,0.0
3997,episode/length,500.0
3998,episode/return,2.0
3998,episode/length,500.0
3999,episode/return,13.0
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,21.94759989855811
4000,timing/train_chunk_s,235.360160544049
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,21.94759989855811
4000,timing/train_chunk_s,236.44120779959485
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,21.94759989855811
4000,timing/train_chunk_s,237.52210931945592
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,21.94759989855811
4000,timing/train_chunk_s,238.60371654015034
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,21.94759989855811
4000,timing/train_chunk_s,239.68700247211382
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,21.94759989855811
4000,timing/train_chunk_s,240.7692546080798
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,21.94759989855811
4000,timing/train_chunk_s,241.85118253948167
4000,system/heartbeat,1.0
7992,episode/return,512.0
7992,episode/length,500.0
7993,episode/return,209.0
7993,episode/length,500.0
7994,episode/return,102.0
7994,episode/length,500.0
7995,episode/return,0.0
7995,episode/length,500.0
7996,episode/return,94.0
7996,episode/length,500.0
7997,episode/return,0.0
7997,episode/length,500.0
7998,episode/return,0.0
7998,episode/length,500.0
7999,episode/return,0.0
7999,episode/length,500.0
10000,train/consistency_loss_mean,7.687109709950163e-05
10000,train/consistency_loss_std,0.0003669318937149974
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,0.34536105024814606
10000,train/grad_norm_std,0.28654114926391944
10000,train/policy_log_std_mean,-0.7641450126171112
10000,train/policy_log_std_std,0.5569016539832973
10000,train/policy_loss_mean,-0.5647225639224053
10000,train/policy_loss_std,0.37935342654760495
10000,train/reward_loss_mean,0.025616665836051107
10000,train/reward_loss_std,0.08915473529686131
10000,train/total_loss_mean,0.03433631404042244
10000,train/total_loss_std,0.02323333244403872
10000,train/value_loss_mean,0.3023722495555878
10000,train/value_loss_std,0.08077402615920944
10000,train/value_scale_mean,10.868833882141113
10000,train/value_scale_std,12.148857030085303
10000,timing/collect_chunk_s,170.55273450817913
10000,timing/train_chunk_s,301.3190795243718
10000,dense_rhs/training_bucket_horizon,3.0
10000,system/heartbeat,1.0
11992,episode/return,557.0
11992,episode/length,500.0
11993,episode/return,868.0
11993,episode/length,500.0
11994,episode/return,291.0
11994,episode/length,500.0
11995,episode/return,434.0
11995,episode/length,500.0
11996,episode/return,957.0
11996,episode/length,500.0
11997,episode/return,897.0
11997,episode/length,500.0
11998,episode/return,761.0
11998,episode/length,500.0
11999,episode/return,531.0
11999,episode/length,500.0
15992,episode/return,0.0
15992,episode/length,500.0
15993,episode/return,604.0
15993,episode/length,500.0
15994,episode/return,827.0
15994,episode/length,500.0
15995,episode/return,951.0
15995,episode/length,500.0
15996,episode/return,959.0
15996,episode/length,500.0
15997,episode/return,946.0
15997,episode/length,500.0
15998,episode/return,944.0
15998,episode/length,500.0
15999,episode/return,761.0
15999,episode/length,500.0
19992,episode/return,971.0
19992,episode/length,500.0
19993,episode/return,233.0
19993,episode/length,500.0
19994,episode/return,447.0
19994,episode/length,500.0
19995,episode/return,964.0
19995,episode/length,500.0
19996,episode/return,1.0
19996,episode/length,500.0
19997,episode/return,753.0
19997,episode/length,500.0
19998,episode/return,0.0
19998,episode/length,500.0
19999,episode/return,637.0
19999,episode/length,500.0
20000,train/consistency_loss_mean,3.546100043458864e-05
20000,train/consistency_loss_std,8.554008643460228e-06
20000,train/continue_loss_mean,0.0
20000,train/continue_loss_std,0.0
20000,train/grad_norm_mean,0.7516352880001068
20000,train/grad_norm_std,0.36537646583895805
20000,train/policy_log_std_mean,-0.9655109109401703
20000,train/policy_log_std_std,0.5090117152676874
20000,train/policy_loss_mean,-0.6238106415748597
20000,train/policy_loss_std,0.14121750360641916
20000,train/reward_loss_mean,0.15148588979244232
20000,train/reward_loss_std,0.03078664881293015
20000,train/total_loss_mean,0.04171451853215694
20000,train/total_loss_std,0.003230138918868887
20000,train/value_loss_mean,0.25856708850860594
20000,train/value_loss_std,0.02306122923035986
20000,train/value_scale_mean,63.75120853271484
20000,train/value_scale_std,10.253700078791386
20000,timing/collect_chunk_s,54.54364333907142
20000,timing/train_chunk_s,20.566543970722705
20000,dense_rhs/training_bucket_horizon,3.0
20000,system/heartbeat,1.0
23992,episode/return,984.0
23992,episode/length,500.0
23993,episode/return,999.0
23993,episode/length,500.0
23994,episode/return,981.0
23994,episode/length,500.0
23995,episode/return,0.0
23995,episode/length,500.0
23996,episode/return,0.0
23996,episode/length,500.0
23997,episode/return,0.0
23997,episode/length,500.0
23998,episode/return,0.0
23998,episode/length,500.0
23999,episode/return,793.0
23999,episode/length,500.0
27992,episode/return,985.0
27992,episode/length,500.0
27993,episode/return,380.0
27993,episode/length,500.0
27994,episode/return,0.0
27994,episode/length,500.0
27995,episode/return,0.0
27995,episode/length,500.0
