step,tag,value
3992,episode/return,0.0
3992,episode/length,500.0
3993,episode/return,0.0
3993,episode/length,500.0
3994,episode/return,10.0
3994,episode/length,500.0
3995,episode/return,5.0
3995,episode/length,500.0
3996,episode/return,0.0
3996,episode/length,500.0
3997,episode/return,0.0
3997,episode/length,500.0
3998,episode/return,0.0
3998,episode/length,500.0
3999,episode/return,0.0
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,21.482063950505108
4000,timing/train_chunk_s,236.9251864454709
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,21.482063950505108
4000,timing/train_chunk_s,237.99777815304697
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,21.482063950505108
4000,timing/train_chunk_s,239.07081698533148
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,21.482063950505108
4000,timing/train_chunk_s,240.14425676409155
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,21.482063950505108
4000,timing/train_chunk_s,241.21830658521503
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,21.482063950505108
4000,timing/train_chunk_s,242.29032670520246
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,21.482063950505108
4000,timing/train_chunk_s,243.36239883163944
4000,system/heartbeat,1.0
7992,episode/return,0.0
7992,episode/length,500.0
7993,episode/return,123.0
7993,episode/length,500.0
7994,episode/return,224.0
7994,episode/length,500.0
7995,episode/return,7.0
7995,episode/length,500.0
7996,episode/return,7.0
7996,episode/length,500.0
7997,episode/return,0.0
7997,episode/length,500.0
7998,episode/return,226.0
7998,episode/length,500.0
7999,episode/return,0.0
7999,episode/length,500.0
10000,train/consistency_loss_mean,7.620654947531876e-05
10000,train/consistency_loss_std,0.0003485489080794485
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,0.4766726719379425
10000,train/grad_norm_std,0.5238908417383402
10000,train/policy_log_std_mean,-0.6606682789802552
10000,train/policy_log_std_std,0.470067780297851
10000,train/policy_loss_mean,-0.38325385117530825
10000,train/policy_loss_std,0.24339236628025193
10000,train/reward_loss_mean,0.019835613696277142
10000,train/reward_loss_std,0.08857767932590449
10000,train/total_loss_mean,0.03260673353075981
10000,train/total_loss_std,0.023238487611187107
10000,train/value_loss_mean,0.2909904051542282
10000,train/value_loss_std,0.08703231670235198
10000,train/value_scale_mean,7.641524438476562
10000,train/value_scale_std,8.17017099491697
10000,timing/collect_chunk_s,168.00936839915812
10000,timing/train_chunk_s,301.44172201212496
10000,dense_rhs/training_bucket_horizon,3.0
10000,system/heartbeat,1.0
11992,episode/return,674.0
11992,episode/length,500.0
11993,episode/return,684.0
11993,episode/length,500.0
11994,episode/return,728.0
11994,episode/length,500.0
11995,episode/return,767.0
11995,episode/length,500.0
11996,episode/return,5.0
11996,episode/length,500.0
11997,episode/return,767.0
11997,episode/length,500.0
11998,episode/return,711.0
11998,episode/length,500.0
11999,episode/return,2.0
11999,episode/length,500.0
15992,episode/return,839.0
15992,episode/length,500.0
15993,episode/return,1.0
15993,episode/length,500.0
15994,episode/return,1.0
15994,episode/length,500.0
15995,episode/return,1.0
15995,episode/length,500.0
15996,episode/return,810.0
15996,episode/length,500.0
15997,episode/return,2.0
15997,episode/length,500.0
15998,episode/return,917.0
15998,episode/length,500.0
15999,episode/return,0.0
15999,episode/length,500.0
19992,episode/return,440.0
19992,episode/length,500.0
19993,episode/return,977.0
19993,episode/length,500.0
19994,episode/return,978.0
19994,episode/length,500.0
19995,episode/return,925.0
19995,episode/length,500.0
19996,episode/return,1.0
19996,episode/length,500.0
19997,episode/return,796.0
19997,episode/length,500.0
19998,episode/return,884.0
19998,episode/length,500.0
19999,episode/return,494.0
19999,episode/length,500.0
20000,train/consistency_loss_mean,4.5882401545532046e-05
20000,train/consistency_loss_std,1.2404507445859758e-05
20000,train/continue_loss_mean,0.0
20000,train/continue_loss_std,0.0
20000,train/grad_norm_mean,1.1490754487514496
20000,train/grad_norm_std,0.6805029068845276
20000,train/policy_log_std_mean,-0.9296884184360504
20000,train/policy_log_std_std,0.536403466188742
