step,env_index,episode_index,episode_return,episode_length,selected_horizon
3992,0,0,26.470441818237305,500,3
3993,1,0,24.505966186523438,500,3
3994,2,0,26.588287353515625,500,3
3995,3,0,12.651261329650879,500,3
3996,4,0,25.457996368408203,500,3
3997,5,0,27.762720108032227,500,3
3998,6,0,24.61871910095215,500,3
3999,7,0,24.970073699951172,500,3
7992,0,1,36.37551498413086,500,3
7993,1,1,39.275657653808594,500,3
7994,2,1,39.10512161254883,500,3
7995,3,1,44.22453689575195,500,3
7996,4,1,39.879478454589844,500,3
7997,5,1,57.001609802246094,500,3
7998,6,1,37.93509292602539,500,3
7999,7,1,44.77020263671875,500,3
11992,0,2,50.19191360473633,500,3
11993,1,2,49.41172409057617,500,3
11994,2,2,62.086063385009766,500,3
11995,3,2,42.976806640625,500,3
11996,4,2,65.96638488769531,500,3
11997,5,2,52.34223175048828,500,3
11998,6,2,55.083587646484375,500,3
11999,7,2,45.400875091552734,500,3
15992,0,3,58.71207809448242,500,3
15993,1,3,108.9161376953125,500,3
15994,2,3,74.42994689941406,500,3
15995,3,3,71.82012939453125,500,3
15996,4,3,74.97270202636719,500,3
15997,5,3,72.95536804199219,500,3
15998,6,3,81.2470932006836,500,3
15999,7,3,80.9148941040039,500,3
19992,0,4,72.47740173339844,500,3
19993,1,4,67.62594604492188,500,3
19994,2,4,86.38995361328125,500,3
19995,3,4,92.49768829345703,500,3
19996,4,4,108.60099029541016,500,3
19997,5,4,111.52875518798828,500,3
19998,6,4,99.56771850585938,500,3
19999,7,4,96.94979858398438,500,3
23992,0,5,135.46792602539062,500,3
23993,1,5,95.32678985595703,500,3
23994,2,5,92.07341766357422,500,3
23995,3,5,126.9096908569336,500,3
23996,4,5,114.34017944335938,500,3
23997,5,5,146.7666473388672,500,3
23998,6,5,139.08607482910156,500,3
23999,7,5,118.52397155761719,500,3
27992,0,6,106.37482452392578,500,3
27993,1,6,122.90336608886719,500,3
27994,2,6,145.2663116455078,500,3
27995,3,6,125.86917877197266,500,3
27996,4,6,133.90992736816406,500,3
27997,5,6,123.22562408447266,500,3
27998,6,6,14.502409934997559,500,3
27999,7,6,107.21585845947266,500,3
31992,0,7,150.55111694335938,500,3
