step,tag,value
3992,episode/return,21.13330841064453
3992,episode/length,500.0
3993,episode/return,24.968021392822266
3993,episode/length,500.0
3994,episode/return,25.42599105834961
3994,episode/length,500.0
3995,episode/return,20.9387264251709
3995,episode/length,500.0
3996,episode/return,36.86959457397461
3996,episode/length,500.0
3997,episode/return,24.17104721069336
3997,episode/length,500.0
3998,episode/return,31.186660766601562
3998,episode/length,500.0
3999,episode/return,24.234046936035156
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,73.99876560969278
4000,timing/train_chunk_s,239.7046239306219
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,73.99876560969278
4000,timing/train_chunk_s,240.8108828556724
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,73.99876560969278
4000,timing/train_chunk_s,241.9160528043285
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,73.99876560969278
4000,timing/train_chunk_s,243.0220377612859
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,73.99876560969278
4000,timing/train_chunk_s,244.12584641436115
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,73.99876560969278
4000,timing/train_chunk_s,245.22871833853424
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,73.99876560969278
4000,timing/train_chunk_s,246.3329326659441
4000,system/heartbeat,1.0
7992,episode/return,38.13922882080078
7992,episode/length,500.0
7993,episode/return,67.25873565673828
7993,episode/length,500.0
7994,episode/return,49.1793212890625
7994,episode/length,500.0
7995,episode/return,56.02386474609375
7995,episode/length,500.0
7996,episode/return,45.31366729736328
7996,episode/length,500.0
7997,episode/return,39.36962890625
7997,episode/length,500.0
7998,episode/return,47.321617126464844
7998,episode/length,500.0
7999,episode/return,37.26595687866211
7999,episode/length,500.0
10000,train/consistency_loss_mean,0.0016228695983998478
10000,train/consistency_loss_std,0.0010214936369694087
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,0.4952673967599869
10000,train/grad_norm_std,0.11570060993678735
10000,train/policy_log_std_mean,-0.8452769953409831
10000,train/policy_log_std_std,0.49988250456880756
10000,train/policy_loss_mean,-1.6886146423816681
10000,train/policy_loss_std,0.736476514983069
10000,train/reward_loss_mean,0.30591791722774503
10000,train/reward_loss_std,0.07486452752836883
10000,train/total_loss_mean,0.09270191603302956
10000,train/total_loss_std,0.03163357952465312
10000,train/value_loss_mean,0.2965273041009903
10000,train/value_loss_std,0.09420985337190488
10000,train/value_scale_mean,1.5379393198013305
10000,train/value_scale_std,0.7182106849459936
10000,timing/collect_chunk_s,322.3278948594816
10000,timing/train_chunk_s,306.6378995999694
10000,dense_rhs/training_bucket_horizon,3.0
10000,system/heartbeat,1.0
11992,episode/return,75.34412384033203
11992,episode/length,500.0
11993,episode/return,55.44900894165039
11993,episode/length,500.0
11994,episode/return,53.48075866699219
11994,episode/length,500.0
11995,episode/return,79.76249694824219
11995,episode/length,500.0
11996,episode/return,58.68146896362305
11996,episode/length,500.0
11997,episode/return,80.60525512695312
11997,episode/length,500.0
11998,episode/return,79.32907104492188
11998,episode/length,500.0
11999,episode/return,82.6958236694336
11999,episode/length,500.0
15992,episode/return,77.3523178100586
15992,episode/length,500.0
15993,episode/return,76.15721893310547
15993,episode/length,500.0
15994,episode/return,61.905242919921875
15994,episode/length,500.0
15995,episode/return,70.93069458007812
15995,episode/length,500.0
15996,episode/return,99.40705108642578
15996,episode/length,500.0
15997,episode/return,68.94755554199219
15997,episode/length,500.0
15998,episode/return,120.53751373291016
15998,episode/length,500.0
15999,episode/return,86.24037170410156
15999,episode/length,500.0
