step,env_index,episode_index,episode_return,episode_length,selected_horizon
3992,0,0,26.64766502380371,500,3
3993,1,0,24.368953704833984,500,3
3994,2,0,23.574060440063477,500,3
3995,3,0,12.633444786071777,500,3
3996,4,0,26.824914932250977,500,3
3997,5,0,22.657215118408203,500,3
3998,6,0,24.74851417541504,500,3
3999,7,0,24.93935775756836,500,3
7992,0,1,29.738487243652344,500,3
7993,1,1,33.458099365234375,500,3
7994,2,1,34.99819564819336,500,3
7995,3,1,30.87208366394043,500,3
7996,4,1,44.170536041259766,500,3
7997,5,1,36.997344970703125,500,3
7998,6,1,44.613311767578125,500,3
7999,7,1,51.65044403076172,500,3
11992,0,2,58.74636459350586,500,3
11993,1,2,52.31467056274414,500,3
11994,2,2,53.460289001464844,500,3
11995,3,2,93.05152130126953,500,3
11996,4,2,53.47777557373047,500,3
11997,5,2,70.21163940429688,500,3
11998,6,2,53.087650299072266,500,3
11999,7,2,46.326507568359375,500,3
15992,0,3,60.57933807373047,500,3
15993,1,3,76.60726165771484,500,3
15994,2,3,83.98206329345703,500,3
15995,3,3,72.43965148925781,500,3
15996,4,3,67.70807647705078,500,3
15997,5,3,76.38639068603516,500,3
15998,6,3,72.95169830322266,500,3
15999,7,3,78.12775421142578,500,3
19992,0,4,90.07466888427734,500,3
19993,1,4,114.2778091430664,500,3
19994,2,4,79.09991455078125,500,3
19995,3,4,97.0229721069336,500,3
19996,4,4,81.9315414428711,500,3
19997,5,4,106.41991424560547,500,3
19998,6,4,98.64724731445312,500,3
19999,7,4,89.29376220703125,500,3
23992,0,5,147.10064697265625,500,3
23993,1,5,77.50031280517578,500,3
23994,2,5,71.74556732177734,500,3
23995,3,5,93.77384185791016,500,3
23996,4,5,122.39459228515625,500,3
23997,5,5,75.71842193603516,500,3
23998,6,5,105.23152160644531,500,3
23999,7,5,124.02906036376953,500,3
27992,0,6,140.43946838378906,500,3
27993,1,6,108.94107818603516,500,3
27994,2,6,119.96192932128906,500,3
27995,3,6,120.28561401367188,500,3
27996,4,6,133.6389923095703,500,3
27997,5,6,106.99900817871094,500,3
27998,6,6,14.450307846069336,500,3
27999,7,6,113.7573013305664,500,3
31992,0,7,105.62704467773438,500,3
31993,1,7,100.53353118896484,500,3
31994,2,7,102.838134765625,500,3
31995,3,7,159.53173828125,500,3
31996,4,7,127.45426177978516,500,3
31997,5,7,126.05014038085938,500,3
31998,6,7,136.09890747070312,500,3
31999,7,7,153.5122833251953,500,3
35992,0,8,163.05795288085938,500,3
35993,1,8,158.60015869140625,500,3
35994,2,8,140.24978637695312,500,3
35995,3,8,144.30865478515625,500,3
35996,4,8,144.55770874023438,500,3
35997,5,8,136.50152587890625,500,3
35998,6,8,151.93821716308594,500,3
35999,7,8,143.7990264892578,500,3
39992,0,9,176.19570922851562,500,3
39993,1,9,147.07667541503906,500,3
39994,2,9,114.36099243164062,500,3
39995,3,9,158.24087524414062,500,3
39996,4,9,138.7921600341797,500,3
39997,5,9,136.66162109375,500,3
39998,6,9,183.39926147460938,500,3
39999,7,9,172.67160034179688,500,3
43992,0,10,136.6232452392578,500,3
43993,1,10,179.0084686279297,500,3
43994,2,10,179.70823669433594,500,3
43995,3,10,209.83682250976562,500,3
43996,4,10,121.83738708496094,500,3
43997,5,10,167.65902709960938,500,3
43998,6,10,188.60939025878906,500,3
43999,7,10,197.30113220214844,500,3
47992,0,11,210.5840301513672,500,3
47993,1,11,147.43551635742188,500,3
47994,2,11,135.94854736328125,500,3
47995,3,11,191.73626708984375,500,3
47996,4,11,190.4705352783203,500,3
47997,5,11,147.6132049560547,500,3
47998,6,11,201.09764099121094,500,3
47999,7,11,170.91287231445312,500,3
51992,0,12,201.84214782714844,500,3
51993,1,12,171.67877197265625,500,3
51994,2,12,197.76271057128906,500,3
51995,3,12,259.42755126953125,500,3
51996,4,12,204.69903564453125,500,3
51997,5,12,170.5918426513672,500,3
51998,6,12,158.04464721679688,500,3
51999,7,12,191.6702423095703,500,3
55992,0,13,246.94480895996094,500,3
55993,1,13,287.65203857421875,500,3
55994,2,13,204.7321014404297,500,3
55995,3,13,220.18434143066406,500,3
55996,4,13,192.6558837890625,500,3
55997,5,13,203.20855712890625,500,3
55998,6,13,245.40267944335938,500,3
55999,7,13,210.0225067138672,500,3
59992,0,14,242.60272216796875,500,3
59993,1,14,243.50575256347656,500,3
59994,2,14,253.1873321533203,500,3
59995,3,14,22.285438537597656,500,3
59996,4,14,203.3727569580078,500,3
59997,5,14,212.94371032714844,500,3
59998,6,14,245.27752685546875,500,3
59999,7,14,218.04135131835938,500,3
63992,0,15,256.75665283203125,500,3
63993,1,15,300.1925048828125,500,3
63994,2,15,160.95643615722656,500,3
63995,3,15,216.64999389648438,500,3
63996,4,15,291.023681640625,500,3
63997,5,15,313.00140380859375,500,3
63998,6,15,252.21153259277344,500,3
63999,7,15,224.375244140625,500,3
67992,0,16,250.6410675048828,500,3
67993,1,16,217.63868713378906,500,3
67994,2,16,214.02377319335938,500,3
67995,3,16,219.23776245117188,500,3
67996,4,16,274.1258239746094,500,3
67997,5,16,232.09561157226562,500,3
67998,6,16,224.04342651367188,500,3
67999,7,16,249.72718811035156,500,3
71992,0,17,284.5037536621094,500,3
71993,1,17,242.14962768554688,500,3
71994,2,17,291.5633544921875,500,3
71995,3,17,243.63597106933594,500,3
71996,4,17,327.0084533691406,500,3
71997,5,17,206.38345336914062,500,3
71998,6,17,222.67724609375,500,3
71999,7,17,269.17413330078125,500,3
75992,0,18,279.21630859375,500,3
75993,1,18,273.19384765625,500,3
75994,2,18,198.76174926757812,500,3
75995,3,18,268.83038330078125,500,3
75996,4,18,324.559814453125,500,3
75997,5,18,222.16799926757812,500,3
75998,6,18,266.6202697753906,500,3
75999,7,18,224.64227294921875,500,3
79992,0,19,239.86814880371094,500,3
79993,1,19,262.0926208496094,500,3
79994,2,19,314.7806701660156,500,3
79995,3,19,302.0135192871094,500,3
79996,4,19,336.8793640136719,500,3
79997,5,19,310.4643859863281,500,3
79998,6,19,289.6309509277344,500,3
79999,7,19,292.6934814453125,500,3
83992,0,20,240.5975799560547,500,3
83993,1,20,337.9039611816406,500,3
83994,2,20,298.2145690917969,500,3
83995,3,20,289.6114501953125,500,3
83996,4,20,306.8174743652344,500,3
83997,5,20,305.17999267578125,500,3
83998,6,20,323.2027893066406,500,3
83999,7,20,284.4078674316406,500,3
87992,0,21,353.05792236328125,500,3
87993,1,21,332.7650451660156,500,3
87994,2,21,305.1822509765625,500,3
87995,3,21,308.0688171386719,500,3
87996,4,21,323.0811462402344,500,3
87997,5,21,255.5717315673828,500,3
87998,6,21,287.611572265625,500,3
87999,7,21,372.6325378417969,500,3
91992,0,22,308.1890563964844,500,3
91993,1,22,308.4288330078125,500,3
91994,2,22,264.7455749511719,500,3
91995,3,22,272.1537170410156,500,3
91996,4,22,245.4559783935547,500,3
91997,5,22,331.2153625488281,500,3
91998,6,22,324.2942199707031,500,3
91999,7,22,237.06517028808594,500,3
95992,0,23,325.3383483886719,500,3
95993,1,23,301.1559143066406,500,3
95994,2,23,331.61376953125,500,3
95995,3,23,334.2354431152344,500,3
95996,4,23,302.6109619140625,500,3
95997,5,23,289.71258544921875,500,3
95998,6,23,340.0272521972656,500,3
95999,7,23,258.51300048828125,500,3
99992,0,24,344.45623779296875,500,3
99993,1,24,351.2350769042969,500,3
99994,2,24,260.0330505371094,500,3
99995,3,24,281.74249267578125,500,3
99996,4,24,268.5566101074219,500,3
99997,5,24,289.1994934082031,500,3
99998,6,24,315.995849609375,500,3
99999,7,24,312.9222106933594,500,3
103992,0,25,303.507568359375,500,3
103993,1,25,308.977783203125,500,3
103994,2,25,283.5666198730469,500,3
103995,3,25,373.1769104003906,500,3
103996,4,25,372.4105224609375,500,3
103997,5,25,32.36284637451172,500,3
103998,6,25,285.4532775878906,500,3
103999,7,25,362.9432373046875,500,3
107992,0,26,364.79510498046875,500,3
107993,1,26,277.6692810058594,500,3
