step,tag,value
0,timing/prewarm_dense_rhs_s,239.56185958813876
0,system/heartbeat,1.0
3992,episode/return,21.59247589111328
3992,episode/length,500.0
3993,episode/return,23.978504180908203
3993,episode/length,500.0
3994,episode/return,24.682714462280273
3994,episode/length,500.0
3995,episode/return,27.07738494873047
3995,episode/length,500.0
3996,episode/return,22.2987060546875
3996,episode/length,500.0
3997,episode/return,23.632797241210938
3997,episode/length,500.0
3998,episode/return,21.91780662536621
3998,episode/length,500.0
3999,episode/return,24.66828155517578
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,70.93689834047109
4000,timing/train_chunk_s,239.36626478936523
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,70.93689834047109
4000,timing/train_chunk_s,240.47554543660954
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,70.93689834047109
4000,timing/train_chunk_s,241.584499347955
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,70.93689834047109
4000,timing/train_chunk_s,242.6937394044362
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,70.93689834047109
4000,timing/train_chunk_s,243.80361197330058
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,70.93689834047109
4000,timing/train_chunk_s,244.91370222112164
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,70.93689834047109
4000,timing/train_chunk_s,246.0250395820476
4000,system/heartbeat,1.0
7992,episode/return,77.10126495361328
7992,episode/length,500.0
7993,episode/return,85.3026123046875
7993,episode/length,500.0
7994,episode/return,117.04548645019531
7994,episode/length,500.0
7995,episode/return,106.02234649658203
7995,episode/length,500.0
7996,episode/return,106.35810089111328
7996,episode/length,500.0
7997,episode/return,79.644287109375
7997,episode/length,500.0
7998,episode/return,102.20256042480469
7998,episode/length,500.0
7999,episode/return,104.5907974243164
7999,episode/length,500.0
10000,train/consistency_loss_mean,0.0007835897011682391
10000,train/consistency_loss_std,0.0007492668947182625
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,0.26887165179252626
10000,train/grad_norm_std,0.056182246316525804
10000,train/policy_log_std_mean,-0.6989321528116862
10000,train/policy_log_std_std,0.3715875328338206
10000,train/policy_loss_mean,-1.5441713726758957
10000,train/policy_loss_std,0.6740823695618262
10000,train/reward_loss_mean,0.30273314034938814
10000,train/reward_loss_std,0.07601255332414225
10000,train/total_loss_mean,0.07320417757630349
10000,train/total_loss_std,0.02821115974989641
10000,train/value_loss_mean,0.2725906908035278
10000,train/value_loss_std,0.09674080033341323
10000,train/value_scale_mean,2.111563083267212
10000,train/value_scale_std,1.2781415380089352
10000,timing/collect_chunk_s,285.6290288553573
10000,timing/train_chunk_s,308.4036522307433
10000,dense_rhs/training_bucket_horizon,3.0
10000,system/heartbeat,1.0
11992,episode/return,200.72145080566406
11992,episode/length,500.0
11993,episode/return,210.8805694580078
11993,episode/length,500.0
11994,episode/return,233.57406616210938
11994,episode/length,500.0
11995,episode/return,178.10678100585938
11995,episode/length,500.0
11996,episode/return,224.2010498046875
11996,episode/length,500.0
11997,episode/return,238.80018615722656
11997,episode/length,500.0
11998,episode/return,204.6555633544922
11998,episode/length,500.0
11999,episode/return,194.15072631835938
11999,episode/length,500.0
15992,episode/return,368.7845458984375
15992,episode/length,500.0
15993,episode/return,350.5420227050781
15993,episode/length,500.0
15994,episode/return,342.4568176269531
15994,episode/length,500.0
15995,episode/return,343.2118225097656
15995,episode/length,500.0
15996,episode/return,330.4375
15996,episode/length,500.0
15997,episode/return,348.5929260253906
15997,episode/length,500.0
15998,episode/return,338.3115234375
15998,episode/length,500.0
15999,episode/return,321.8613586425781
15999,episode/length,500.0
19992,episode/return,494.98138427734375
19992,episode/length,500.0
19993,episode/return,462.02191162109375
19993,episode/length,500.0
19994,episode/return,383.7850341796875
19994,episode/length,500.0
19995,episode/return,439.3957824707031
19995,episode/length,500.0
19996,episode/return,441.0751647949219
19996,episode/length,500.0
19997,episode/return,436.95233154296875
19997,episode/length,500.0
19998,episode/return,499.0669250488281
19998,episode/length,500.0
19999,episode/return,496.1131591796875
19999,episode/length,500.0
20000,train/consistency_loss_mean,0.0006718802535440773
20000,train/consistency_loss_std,6.737473341627523e-05
20000,train/continue_loss_mean,0.0
20000,train/continue_loss_std,0.0
20000,train/grad_norm_mean,0.34888146624565125
20000,train/grad_norm_std,0.06401165433431281
20000,train/policy_log_std_mean,-0.8707852336883545
20000,train/policy_log_std_std,0.3342177681217346
20000,train/policy_loss_mean,-1.9605907245635987
20000,train/policy_loss_std,0.17332874101113524
20000,train/reward_loss_mean,0.2976969426870346
20000,train/reward_loss_std,0.006278801463661283
20000,train/total_loss_mean,0.07206190884709358
20000,train/total_loss_std,0.0034161277170214957
20000,train/value_loss_mean,0.28854608862400055
20000,train/value_loss_std,0.031169379914976376
20000,train/value_scale_mean,9.392457704925537
20000,train/value_scale_std,3.4881607444475424
20000,timing/collect_chunk_s,125.68359708646312
20000,timing/train_chunk_s,21.073543472215533
20000,dense_rhs/training_bucket_horizon,3.0
20000,system/heartbeat,1.0
23992,episode/return,506.4840087890625
23992,episode/length,500.0
23993,episode/return,468.4312744140625
23993,episode/length,500.0
23994,episode/return,582.1986694335938
23994,episode/length,500.0
23995,episode/return,549.5453491210938
23995,episode/length,500.0
23996,episode/return,506.4893493652344
23996,episode/length,500.0
23997,episode/return,515.0159301757812
23997,episode/length,500.0
23998,episode/return,553.089111328125
23998,episode/length,500.0
23999,episode/return,524.4605712890625
23999,episode/length,500.0
27992,episode/return,562.297607421875
27992,episode/length,500.0
27993,episode/return,606.1849365234375
27993,episode/length,500.0
27994,episode/return,615.7388916015625
27994,episode/length,500.0
27995,episode/return,620.0943603515625
27995,episode/length,500.0
27996,episode/return,623.3704833984375
27996,episode/length,500.0
27997,episode/return,626.0040893554688
27997,episode/length,500.0
27998,episode/return,489.7242126464844
27998,episode/length,500.0
27999,episode/return,622.0809936523438
27999,episode/length,500.0
30000,train/consistency_loss_mean,0.000532657625596039
30000,train/consistency_loss_std,5.068884194041342e-05
30000,train/continue_loss_mean,0.0
30000,train/continue_loss_std,0.0
30000,train/grad_norm_mean,0.46557007169723513
30000,train/grad_norm_std,0.10411194867428587
30000,train/policy_log_std_mean,-0.8905788605372111
30000,train/policy_log_std_std,0.3072123029115838
30000,train/policy_loss_mean,-1.976770436477661
30000,train/policy_loss_std,0.19866882575298953
30000,train/reward_loss_mean,0.29015549204349517
30000,train/reward_loss_std,0.005873871614958697
30000,train/total_loss_mean,0.06852363988161086
30000,train/total_loss_std,0.003872666562778078
30000,train/value_loss_mean,0.28854936585426333
30000,train/value_loss_std,0.03784367705363568
30000,train/value_scale_mean,19.04374498901367
30000,train/value_scale_std,1.084648959655754
30000,timing/collect_chunk_s,125.8081084615551
30000,timing/train_chunk_s,21.032452791929245
30000,dense_rhs/training_bucket_horizon,3.0
30000,system/heartbeat,1.0
31992,episode/return,649.5746459960938
31992,episode/length,500.0
31993,episode/return,654.7208251953125
31993,episode/length,500.0
31994,episode/return,629.1482543945312
31994,episode/length,500.0
31995,episode/return,689.8605346679688
31995,episode/length,500.0
31996,episode/return,638.1205444335938
31996,episode/length,500.0
31997,episode/return,690.2659301757812
31997,episode/length,500.0
31998,episode/return,676.5833129882812
31998,episode/length,500.0
31999,episode/return,146.40660095214844
31999,episode/length,500.0
35992,episode/return,674.1671142578125
35992,episode/length,500.0
35993,episode/return,619.7258911132812
35993,episode/length,500.0
35994,episode/return,611.5846557617188
35994,episode/length,500.0
35995,episode/return,638.0248413085938
35995,episode/length,500.0
35996,episode/return,595.95654296875
35996,episode/length,500.0
35997,episode/return,565.7936401367188
35997,episode/length,500.0
35998,episode/return,650.8442993164062
35998,episode/length,500.0
35999,episode/return,625.456298828125
35999,episode/length,500.0
39992,episode/return,685.328857421875
39992,episode/length,500.0
39993,episode/return,704.170654296875
39993,episode/length,500.0
39994,episode/return,714.6314697265625
39994,episode/length,500.0
39995,episode/return,725.2979736328125
39995,episode/length,500.0
39996,episode/return,681.3114013671875
39996,episode/length,500.0
39997,episode/return,720.428955078125
39997,episode/length,500.0
39998,episode/return,671.5674438476562
39998,episode/length,500.0
39999,episode/return,686.7593383789062
39999,episode/length,500.0
40000,train/consistency_loss_mean,0.00040716847439762206
40000,train/consistency_loss_std,3.1460474057823406e-05
40000,train/continue_loss_mean,0.0
40000,train/continue_loss_std,0.0
40000,train/grad_norm_mean,0.4901796044111252
40000,train/grad_norm_std,0.12110121807200594
40000,train/policy_log_std_mean,-0.8993072735468547
40000,train/policy_log_std_std,0.28351688834121663
40000,train/policy_loss_mean,-2.296644718170166
40000,train/policy_loss_std,0.10750730099084624
40000,train/reward_loss_mean,0.3025061796426773
40000,train/reward_loss_std,0.007408689545033559
40000,train/total_loss_mean,0.06733951473236084
40000,train/total_loss_std,0.004639499215055454
40000,train/value_loss_mean,0.2894552597761154
40000,train/value_loss_std,0.04579171568784975
40000,train/value_scale_mean,22.99723415222168
40000,train/value_scale_std,0.9084357586402904
40000,timing/collect_chunk_s,126.0256091398187
40000,timing/train_chunk_s,21.016881929710507
40000,dense_rhs/training_bucket_horizon,3.0
40000,system/heartbeat,1.0
43992,episode/return,722.8732299804688
43992,episode/length,500.0
43993,episode/return,663.1824951171875
43993,episode/length,500.0
43994,episode/return,729.2049560546875
43994,episode/length,500.0
43995,episode/return,726.1350708007812
43995,episode/length,500.0
43996,episode/return,665.4282836914062
43996,episode/length,500.0
43997,episode/return,681.8198852539062
43997,episode/length,500.0
43998,episode/return,725.82568359375
43998,episode/length,500.0
43999,episode/return,738.0902709960938
43999,episode/length,500.0
47992,episode/return,736.0667114257812
47992,episode/length,500.0
47993,episode/return,724.0579833984375
47993,episode/length,500.0
47994,episode/return,728.4886474609375
47994,episode/length,500.0
47995,episode/return,721.4943237304688
47995,episode/length,500.0
47996,episode/return,715.0612182617188
47996,episode/length,500.0
47997,episode/return,737.365234375
47997,episode/length,500.0
47998,episode/return,711.2741088867188
47998,episode/length,500.0
47999,episode/return,685.6846313476562
47999,episode/length,500.0
50000,train/consistency_loss_mean,0.0003311102472944185
50000,train/consistency_loss_std,2.2376793337935216e-05
50000,train/continue_loss_mean,0.0
50000,train/continue_loss_std,0.0
50000,train/grad_norm_mean,0.4911218024253845
50000,train/grad_norm_std,0.13150801717521235
50000,train/policy_log_std_mean,-0.9058492599487304
50000,train/policy_log_std_std,0.27804255495524366
50000,train/policy_loss_mean,-2.4640070692062377
50000,train/policy_loss_std,0.046037101034994456
50000,train/reward_loss_mean,0.31681315481662753
50000,train/reward_loss_std,0.006367577816079077
50000,train/total_loss_mean,0.06876090254485608
50000,train/total_loss_std,0.003959900387438317
50000,train/value_loss_mean,0.30457380212545393
50000,train/value_loss_std,0.03892174333899773
50000,train/value_scale_mean,24.932133938598632
50000,train/value_scale_std,0.45067896067019897
50000,timing/collect_chunk_s,125.5071925916709
50000,timing/train_chunk_s,21.048374503385276
50000,dense_rhs/training_bucket_horizon,3.0
50000,system/heartbeat,1.0
50000,timing/checkpoint_blocking_s,0.4635073393583298
50000,eval/return_mean,717.46337890625
50000,eval/return_std,19.448583602905273
50000,eval/return_max,748.1983032226562
50000,eval/return_min,668.62646484375
50000,dense_rhs/deployment_utility_last_observed_gain,0.0
50000,dense_rhs/deployment_utility_observations,0.0
50000,timing/eval_s,126.05349599802867
50000,eval/selected_horizon,3.0
50000,eval/training_bucket_horizon,3.0
50000,system/heartbeat,1.0
51992,episode/return,728.4944458007812
51992,episode/length,500.0
51993,episode/return,683.8856201171875
51993,episode/length,500.0
51994,episode/return,699.406494140625
51994,episode/length,500.0
51995,episode/return,723.1063232421875
51995,episode/length,500.0
51996,episode/return,704.9080810546875
51996,episode/length,500.0
51997,episode/return,735.9971313476562
51997,episode/length,500.0
51998,episode/return,678.6295166015625
51998,episode/length,500.0
51999,episode/return,706.6715087890625
51999,episode/length,500.0
55992,episode/return,736.1202392578125
55992,episode/length,500.0
55993,episode/return,735.9198608398438
55993,episode/length,500.0
55994,episode/return,734.7459716796875
55994,episode/length,500.0
55995,episode/return,744.4999389648438
55995,episode/length,500.0
55996,episode/return,736.374755859375
55996,episode/length,500.0
55997,episode/return,714.0294189453125
55997,episode/length,500.0
55998,episode/return,684.380126953125
55998,episode/length,500.0
55999,episode/return,698.4149169921875
55999,episode/length,500.0
59992,episode/return,744.4442138671875
59992,episode/length,500.0
59993,episode/return,757.8478393554688
59993,episode/length,500.0
59994,episode/return,759.4979248046875
59994,episode/length,500.0
59995,episode/return,757.1881103515625
59995,episode/length,500.0
59996,episode/return,735.318115234375
59996,episode/length,500.0
59997,episode/return,723.8573608398438
59997,episode/length,500.0
59998,episode/return,749.1331787109375
59998,episode/length,500.0
59999,episode/return,734.6571655273438
59999,episode/length,500.0
60000,train/consistency_loss_mean,0.00028351883662398907
60000,train/consistency_loss_std,1.7195621587437718e-05
60000,train/continue_loss_mean,0.0
60000,train/continue_loss_std,0.0
60000,train/grad_norm_mean,0.48726215121746064
60000,train/grad_norm_std,0.13180166163876098
60000,train/policy_log_std_mean,-0.7987660268147786
60000,train/policy_log_std_std,0.2482545096252499
60000,train/policy_loss_mean,-2.765846266365051
60000,train/policy_loss_std,0.09725190659800739
60000,train/reward_loss_mean,0.32498841874599455
60000,train/reward_loss_std,0.005446240173682636
60000,train/total_loss_mean,0.05658427638113499
60000,train/total_loss_std,0.0017374251909951586
60000,train/value_loss_mean,0.1841505601644516
60000,train/value_loss_std,0.017125205819737085
60000,train/value_scale_mean,23.837422441101076
60000,train/value_scale_std,0.727283383799031
60000,timing/collect_chunk_s,125.75276930024847
60000,timing/train_chunk_s,21.143635641783476
60000,dense_rhs/training_bucket_horizon,3.0
60000,system/heartbeat,1.0
63992,episode/return,744.3905639648438
63992,episode/length,500.0
63993,episode/return,771.880615234375
63993,episode/length,500.0
63994,episode/return,735.6188354492188
63994,episode/length,500.0
63995,episode/return,766.780029296875
63995,episode/length,500.0
63996,episode/return,765.513916015625
63996,episode/length,500.0
63997,episode/return,766.6143188476562
63997,episode/length,500.0
63998,episode/return,753.9728393554688
63998,episode/length,500.0
63999,episode/return,736.0760498046875
63999,episode/length,500.0
67992,episode/return,746.6144409179688
67992,episode/length,500.0
67993,episode/return,755.1995849609375
67993,episode/length,500.0
67994,episode/return,778.33203125
67994,episode/length,500.0
67995,episode/return,747.1067504882812
67995,episode/length,500.0
67996,episode/return,748.9171752929688
67996,episode/length,500.0
67997,episode/return,764.0154418945312
67997,episode/length,500.0
67998,episode/return,762.4116821289062
67998,episode/length,500.0
67999,episode/return,751.5658569335938
67999,episode/length,500.0
70000,train/consistency_loss_mean,0.0002505588249419816
70000,train/consistency_loss_std,1.4994913470257314e-05
70000,train/continue_loss_mean,0.0
70000,train/continue_loss_std,0.0
70000,train/grad_norm_mean,0.47539213581085205
70000,train/grad_norm_std,0.1303583117488678
70000,train/policy_log_std_mean,-0.8421778741200765
70000,train/policy_log_std_std,0.2716774722978717
70000,train/policy_loss_mean,-2.618705784225464
70000,train/policy_loss_std,0.035865317190955134
70000,train/reward_loss_mean,0.32376836371421813
70000,train/reward_loss_std,0.005359355360871594
70000,train/total_loss_mean,0.06274593284726143
70000,train/total_loss_std,0.002960027018503041
70000,train/value_loss_mean,0.2535791848182678
70000,train/value_loss_std,0.03210595839141852
70000,train/value_scale_mean,26.012064489746095
70000,train/value_scale_std,0.6232805683134675
70000,timing/collect_chunk_s,126.74561853334308
70000,timing/train_chunk_s,21.091074652504176
70000,dense_rhs/training_bucket_horizon,3.0
70000,system/heartbeat,1.0
70000,dense_rhs/selected_horizon,2.0
70000,dense_rhs/proposed_horizon,2.0
70000,dense_rhs/phase_id,0.0
70000,dense_rhs/num_active_horizons,7.0
70000,dense_rhs/num_candidate_horizons,3.0
70000,dense_rhs/entropy,1.8877019882202148
70000,dense_rhs/norm_entropy,0.9700868725776672
70000,dense_rhs/best_fitness,0.5357033014297485
70000,dense_rhs/deployment_score_best,0.07231496274471283
70000,dense_rhs/incumbent_deployment_score,9.310179507338034e-07
70000,dense_rhs/proposed_deployment_score,0.07231496274471283
70000,dense_rhs/proposed_transition_cost,0.037501368671655655
70000,dense_rhs/proposed_switch_probability,0.509819507598877
70000,dense_rhs/proposed_expected_net_benefit,0.03481268882751465
70000,dense_rhs/transition_cost_best,0.037501368671655655
70000,dense_rhs/transition_adjusted_score_best,0.034813594073057175
70000,dense_rhs/switch_probability_best,0.509819507598877
70000,dense_rhs/expected_improvement_best,0.5817668437957764
70000,dense_rhs/expected_loss_best,0.5469541549682617
70000,dense_rhs/expected_net_benefit_best,0.03481268882751465
70000,dense_rhs/return_term_best,0.9575880169868469
70000,dense_rhs/roughness_term_best,1.0
70000,dense_rhs/return_std_term_best,0.08600294589996338
70000,dense_rhs/learner_proxy_term_best,1.0
70000,dense_rhs/model_prefix_loss_best,0.23346659541130066
70000,dense_rhs/model_probe_prefix_best,0.1275843381881714
70000,dense_rhs/planner_return_best,154.3107147216797
70000,dense_rhs/roughness_best,0.12169714272022247
70000,dense_rhs/robust_return_best,338.36956787109375
70000,timing/query_model_diag_s,13.991558759007603
70000,timing/query_env_eval_s,44.624784604646266
70000,timing/query_finalize_s,0.926883686799556
70000,timing/query_total_s,59.742860186845064
70000,dense_rhs/candidate_3_fitness,0.03162277489900589
70000,dense_rhs/candidate_3_deployment_score,9.310179507338034e-07
70000,dense_rhs/candidate_3_transition_cost,0.0
70000,dense_rhs/candidate_3_transition_adjusted_score,9.310179507338034e-07
70000,dense_rhs/candidate_3_switch_probability,0.5
70000,dense_rhs/candidate_3_expected_net_benefit,0.0
70000,dense_rhs/candidate_3_return,346.5099182128906
70000,dense_rhs/candidate_3_return_term,1.0
70000,dense_rhs/candidate_3_roughness_term,0.980571448802948
70000,dense_rhs/candidate_3_return_std_term,0.0
70000,dense_rhs/candidate_3_learner_proxy_term,0.9494646191596985
70000,dense_rhs/candidate_2_fitness,0.5357033014297485
70000,dense_rhs/candidate_2_deployment_score,0.07231496274471283
70000,dense_rhs/candidate_2_transition_cost,0.037501368671655655
70000,dense_rhs/candidate_2_transition_adjusted_score,0.034813594073057175
70000,dense_rhs/candidate_2_switch_probability,0.509819507598877
70000,dense_rhs/candidate_2_expected_net_benefit,0.03481268882751465
70000,dense_rhs/candidate_2_return,338.36956787109375
70000,dense_rhs/candidate_2_return_term,0.9575880169868469
70000,dense_rhs/candidate_2_roughness_term,1.0
70000,dense_rhs/candidate_2_return_std_term,0.08600294589996338
70000,dense_rhs/candidate_2_learner_proxy_term,1.0
