step,env_index,episode_index,episode_return,episode_length,selected_horizon
3992,0,0,23.18418312072754,500,3
3993,1,0,26.802398681640625,500,3
3994,2,0,21.52023696899414,500,3
3995,3,0,23.04105567932129,500,3
3996,4,0,27.35098648071289,500,3
3997,5,0,24.199888229370117,500,3
3998,6,0,25.217479705810547,500,3
3999,7,0,23.252532958984375,500,3
7992,0,1,67.46949768066406,500,3
7993,1,1,97.2222671508789,500,3
7994,2,1,63.28277587890625,500,3
7995,3,1,87.6743392944336,500,3
7996,4,1,73.46793365478516,500,3
7997,5,1,76.95477294921875,500,3
7998,6,1,47.76942443847656,500,3
7999,7,1,99.78973388671875,500,3
11992,0,2,173.4119873046875,500,3
11993,1,2,178.78224182128906,500,3
11994,2,2,139.14767456054688,500,3
11995,3,2,172.22657775878906,500,3
11996,4,2,149.6815643310547,500,3
11997,5,2,168.11703491210938,500,3
11998,6,2,172.92848205566406,500,3
11999,7,2,162.9145965576172,500,3
15992,0,3,324.13433837890625,500,3
15993,1,3,344.8774719238281,500,3
15994,2,3,302.3289489746094,500,3
15995,3,3,267.2686462402344,500,3
15996,4,3,301.1304016113281,500,3
15997,5,3,303.8154296875,500,3
15998,6,3,335.4621276855469,500,3
15999,7,3,315.0263366699219,500,3
19992,0,4,490.4318542480469,500,3
19993,1,4,514.163818359375,500,3
19994,2,4,519.962646484375,500,3
19995,3,4,423.5766296386719,500,3
19996,4,4,496.3031311035156,500,3
19997,5,4,541.6910400390625,500,3
19998,6,4,458.6353454589844,500,3
19999,7,4,494.8788146972656,500,3
23992,0,5,519.7933349609375,500,3
23993,1,5,526.0623168945312,500,3
23994,2,5,495.5892028808594,500,3
23995,3,5,497.1968994140625,500,3
23996,4,5,584.9503784179688,500,3
23997,5,5,501.29229736328125,500,3
23998,6,5,499.9772033691406,500,3
23999,7,5,461.6191101074219,500,3
27992,0,6,590.8047485351562,500,3
27993,1,6,619.8085327148438,500,3
27994,2,6,610.6489868164062,500,3
27995,3,6,554.518798828125,500,3
27996,4,6,603.8599853515625,500,3
27997,5,6,619.1090087890625,500,3
27998,6,6,639.0841064453125,500,3
27999,7,6,633.1802368164062,500,3
31992,0,7,525.14111328125,500,3
31993,1,7,580.5773315429688,500,3
31994,2,7,661.9918212890625,500,3
31995,3,7,637.2003784179688,500,3
31996,4,7,629.7599487304688,500,3
31997,5,7,623.1755981445312,500,3
31998,6,7,666.180419921875,500,3
31999,7,7,574.09619140625,500,3
35992,0,8,625.736083984375,500,3
35993,1,8,620.251708984375,500,3
35994,2,8,564.984130859375,500,3
35995,3,8,569.448974609375,500,3
35996,4,8,644.4890747070312,500,3
35997,5,8,591.034423828125,500,3
35998,6,8,618.9046020507812,500,3
35999,7,8,642.0992431640625,500,3
39992,0,9,674.8042602539062,500,3
39993,1,9,702.3244018554688,500,3
39994,2,9,698.2975463867188,500,3
39995,3,9,685.1986083984375,500,3
39996,4,9,688.9490966796875,500,3
39997,5,9,690.0524291992188,500,3
39998,6,9,701.1512451171875,500,3
39999,7,9,713.5192260742188,500,3
43992,0,10,710.0880737304688,500,3
43993,1,10,677.5136108398438,500,3
43994,2,10,697.7229614257812,500,3
43995,3,10,649.943603515625,500,3
43996,4,10,696.9727172851562,500,3
43997,5,10,684.2450561523438,500,3
43998,6,10,701.1426391601562,500,3
43999,7,10,692.132080078125,500,3
47992,0,11,736.9406127929688,500,3
47993,1,11,711.45166015625,500,3
47994,2,11,715.5547485351562,500,3
47995,3,11,666.1087036132812,500,3
47996,4,11,683.8778076171875,500,3
47997,5,11,732.5299682617188,500,3
47998,6,11,705.4638671875,500,3
47999,7,11,725.2512817382812,500,3
51992,0,12,675.454345703125,500,3
51993,1,12,670.4974365234375,500,3
51994,2,12,692.7415161132812,500,3
51995,3,12,677.4783935546875,500,3
51996,4,12,648.00244140625,500,3
51997,5,12,688.8110961914062,500,3
51998,6,12,696.566162109375,500,3
51999,7,12,655.8311157226562,500,3
55992,0,13,722.9969482421875,500,3
55993,1,13,713.640869140625,500,3
55994,2,13,721.3859252929688,500,3
55995,3,13,703.6389770507812,500,3
55996,4,13,705.3824462890625,500,3
55997,5,13,731.4884643554688,500,3
55998,6,13,703.81103515625,500,3
55999,7,13,726.1738891601562,500,3
59992,0,14,714.3153076171875,500,3
59993,1,14,719.1764526367188,500,3
59994,2,14,747.6072998046875,500,3
59995,3,14,699.6795654296875,500,3
59996,4,14,718.84375,500,3
59997,5,14,744.658203125,500,3
59998,6,14,727.4590454101562,500,3
59999,7,14,727.2338256835938,500,3
63992,0,15,732.6550903320312,500,3
63993,1,15,741.3416748046875,500,3
63994,2,15,707.3606567382812,500,3
63995,3,15,733.4608154296875,500,3
63996,4,15,730.7853393554688,500,3
63997,5,15,743.5270385742188,500,3
63998,6,15,720.4059448242188,500,3
63999,7,15,732.7560424804688,500,3
67992,0,16,740.65380859375,500,3
67993,1,16,742.4103393554688,500,3
67994,2,16,756.8359985351562,500,3
67995,3,16,763.4728393554688,500,3
67996,4,16,763.3837890625,500,3
67997,5,16,727.5597534179688,500,3
67998,6,16,769.3281860351562,500,3
67999,7,16,776.4884643554688,500,3
71992,0,17,758.9063720703125,500,3
