step,env_index,episode_index,episode_return,episode_length,selected_horizon
3992,0,0,31.74031639099121,500,3
3993,1,0,24.096830368041992,500,3
3994,2,0,22.330595016479492,500,3
3995,3,0,24.477323532104492,500,3
3996,4,0,23.09773063659668,500,3
3997,5,0,46.56317138671875,500,3
3998,6,0,20.779415130615234,500,3
3999,7,0,23.240922927856445,500,3
7992,0,1,103.5606689453125,500,3
7993,1,1,99.75764465332031,500,3
7994,2,1,95.64830017089844,500,3
7995,3,1,87.88278198242188,500,3
7996,4,1,73.86670684814453,500,3
7997,5,1,90.04463958740234,500,3
7998,6,1,98.61680603027344,500,3
7999,7,1,73.70491790771484,500,3
11992,0,2,223.7950439453125,500,3
11993,1,2,225.93563842773438,500,3
11994,2,2,184.9853515625,500,3
11995,3,2,216.5091094970703,500,3
11996,4,2,207.2487335205078,500,3
11997,5,2,221.56178283691406,500,3
11998,6,2,215.96920776367188,500,3
11999,7,2,170.7345733642578,500,3
15992,0,3,331.1453552246094,500,3
15993,1,3,349.59759521484375,500,3
15994,2,3,367.41253662109375,500,3
15995,3,3,385.01776123046875,500,3
15996,4,3,349.6080627441406,500,3
15997,5,3,329.8321228027344,500,3
15998,6,3,369.2042541503906,500,3
15999,7,3,350.56591796875,500,3
19992,0,4,457.1556396484375,500,3
19993,1,4,425.6646423339844,500,3
19994,2,4,462.93206787109375,500,3
19995,3,4,467.9090270996094,500,3
19996,4,4,422.1006164550781,500,3
19997,5,4,447.02752685546875,500,3
19998,6,4,445.3737487792969,500,3
19999,7,4,446.5162658691406,500,3
23992,0,5,520.476806640625,500,3
23993,1,5,459.0476989746094,500,3
23994,2,5,440.055908203125,500,3
23995,3,5,501.5836486816406,500,3
23996,4,5,385.6596374511719,500,3
23997,5,5,497.5558166503906,500,3
23998,6,5,415.11968994140625,500,3
23999,7,5,466.4854431152344,500,3
27992,0,6,587.0528564453125,500,3
27993,1,6,575.614013671875,500,3
27994,2,6,587.0291137695312,500,3
27995,3,6,562.1412353515625,500,3
27996,4,6,584.7579345703125,500,3
27997,5,6,544.1780395507812,500,3
27998,6,6,558.3502807617188,500,3
27999,7,6,596.2252197265625,500,3
31992,0,7,646.2352294921875,500,3
31993,1,7,620.34765625,500,3
31994,2,7,650.3143310546875,500,3
31995,3,7,627.6217651367188,500,3
31996,4,7,650.651611328125,500,3
31997,5,7,665.8578491210938,500,3
31998,6,7,644.4711303710938,500,3
31999,7,7,585.3860473632812,500,3
35992,0,8,623.15185546875,500,3
35993,1,8,660.5611572265625,500,3
35994,2,8,654.67626953125,500,3
35995,3,8,661.0317993164062,500,3
35996,4,8,654.0946655273438,500,3
35997,5,8,644.0902099609375,500,3
35998,6,8,647.0028076171875,500,3
35999,7,8,672.4551391601562,500,3
39992,0,9,687.5257568359375,500,3
39993,1,9,643.8236083984375,500,3
39994,2,9,681.509521484375,500,3
39995,3,9,615.3450317382812,500,3
39996,4,9,688.7738647460938,500,3
39997,5,9,695.3314819335938,500,3
39998,6,9,671.1270141601562,500,3
39999,7,9,674.1771240234375,500,3
