step,tag,value
3992,episode/return,31.74031639099121
3992,episode/length,500.0
3993,episode/return,24.096830368041992
3993,episode/length,500.0
3994,episode/return,22.330595016479492
3994,episode/length,500.0
3995,episode/return,24.477323532104492
3995,episode/length,500.0
3996,episode/return,23.09773063659668
3996,episode/length,500.0
3997,episode/return,46.56317138671875
3997,episode/length,500.0
3998,episode/return,20.779415130615234
3998,episode/length,500.0
3999,episode/return,23.240922927856445
3999,episode/length,500.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,71.46781216515228
4000,timing/train_chunk_s,242.32765846978873
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,71.46781216515228
4000,timing/train_chunk_s,243.43344887485728
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,71.46781216515228
4000,timing/train_chunk_s,244.54014013847336
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,71.46781216515228
4000,timing/train_chunk_s,245.64676989102736
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,71.46781216515228
4000,timing/train_chunk_s,246.7527917418629
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,71.46781216515228
4000,timing/train_chunk_s,247.85888340184465
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,71.46781216515228
4000,timing/train_chunk_s,248.9655905039981
4000,system/heartbeat,1.0
7992,episode/return,103.5606689453125
7992,episode/length,500.0
7993,episode/return,99.75764465332031
7993,episode/length,500.0
7994,episode/return,95.64830017089844
7994,episode/length,500.0
7995,episode/return,87.88278198242188
7995,episode/length,500.0
7996,episode/return,73.86670684814453
7996,episode/length,500.0
7997,episode/return,90.04463958740234
7997,episode/length,500.0
7998,episode/return,98.61680603027344
7998,episode/length,500.0
7999,episode/return,73.70491790771484
7999,episode/length,500.0
10000,train/consistency_loss_mean,0.0007924111538566648
10000,train/consistency_loss_std,0.0007986313535925573
10000,train/continue_loss_mean,0.0
10000,train/continue_loss_std,0.0
10000,train/grad_norm_mean,0.28307920937538145
